Time,all,pc,wise
2022-10-01,21571,734,20837
2022-10-02,16143,555,15588
2022-10-03,10930,537,10393
2022-10-04,8933,523,8410
2022-10-05,8502,484,8018
2022-10-06,7557,547,7010
2022-10-07,7311,580,6731
2022-10-08,12214,872,11342
2022-10-09,9766,852,8914
2022-10-10,11014,948,10066
2022-10-11,9946,887,9059
2022-10-12,10816,901,9915
2022-10-13,7635,831,6804
2022-10-14,6853,727,6126
2022-10-15,6356,541,5815
2022-10-16,6264,428,5836
2022-10-17,5122,631,4491
2022-10-18,4881,650,4231
2022-10-19,4687,578,4109
2022-10-20,4654,595,4059
2022-10-21,4653,619,4034
2022-10-22,5157,383,4774
2022-10-23,6278,420,5858
2022-10-24,4863,675,4188
2022-10-25,4788,608,4180
2022-10-26,4739,696,4043
2022-10-27,4722,580,4142
2022-10-28,5288,738,4550
2022-10-29,5647,437,5210
2022-10-30,4616,158,4458
2022-10-31,4064,507,3557
2022-11-01,4270,569,3701
2022-11-02,4160,555,3605
2022-11-03,4140,627,3513
2022-11-04,6111,749,5362
2022-11-05,9048,560,8488
2022-11-06,5332,436,4896
2022-11-07,4732,594,4138
2022-11-08,4226,554,3672
2022-11-09,4508,592,3916
2022-11-10,5238,583,4655
2022-11-11,12683,1066,11617
2022-11-12,10707,761,9946
2022-11-13,7644,605,7039
2022-11-14,6102,805,5297
2022-11-15,5365,685,4680
2022-11-16,4887,650,4237
2022-11-17,5257,670,4587
2022-11-18,4842,642,4200
2022-11-19,4714,448,4266
2022-11-20,4768,397,4371
2022-11-21,4324,591,3733
2022-11-22,4475,546,3929
2022-11-23,3985,558,3427
2022-11-24,3904,532,3372
2022-11-25,4521,592,3929
2022-11-26,4270,395,3875
2022-11-27,4706,457,4249
2022-11-28,4289,628,3661
2022-11-29,3934,524,3410
2022-11-30,5317,703,4614
2022-12-01,3952,527,3425
2022-12-02,4235,549,3686
2022-12-03,4238,439,3799
2022-12-04,4350,414,3936
2022-12-05,3872,543,3329
2022-12-06,4023,540,3483
2022-12-07,4352,555,3797
2022-12-08,5084,839,4245
2022-12-09,5084,695,4389
2022-12-10,4423,443,3980
2022-12-11,4509,439,4070
2022-12-12,4345,588,3757
2022-12-13,6298,577,5721
2022-12-14,5155,509,4646
2022-12-15,5205,473,4732
2022-12-16,5395,526,4869
2022-12-17,5532,471,5061
2022-12-18,4822,377,4445
2022-12-19,5235,544,4691
2022-12-20,5247,521,4726
2022-12-21,5201,526,4675
2022-12-22,6686,639,6047
2022-12-23,6877,667,6210
2022-12-24,6312,467,5845
2022-12-25,6085,521,5564
2022-12-26,5592,611,4981
2022-12-27,5223,602,4621
2022-12-28,5664,689,4975
2022-12-29,5517,679,4838
2022-12-30,5436,662,4774
2022-12-31,5582,411,5171
2023-01-01,5590,406,5184
2023-01-02,5392,436,4956
2023-01-03,5235,653,4582
2023-01-04,4981,658,4323
2023-01-05,4630,585,4045
2023-01-06,4862,651,4211
2023-01-07,6250,498,5752
2023-01-08,5240,453,4787
2023-01-09,5027,633,4394
2023-01-10,4495,645,3850
2023-01-11,4714,614,4100
2023-01-12,4513,571,3942
2023-01-13,4544,599,3945
2023-01-14,6205,411,5794
2023-01-15,4505,471,4034
2023-01-16,4197,603,3594
2023-01-17,4076,544,3532
2023-01-18,4016,493,3523
2023-01-19,5364,551,4813
2023-01-20,5077,450,4627
2023-01-21,5531,349,5182
2023-01-22,6642,391,6251
2023-01-23,5833,394,5439
2023-01-24,5786,475,5311
2023-01-25,5703,470,5233
2023-01-26,5493,422,5071
2023-01-27,5041,392,4649
2023-01-28,5180,644,4536
2023-01-29,4797,616,4181
2023-01-30,4677,658,4019
2023-01-31,6071,904,5167
2023-02-01,4897,639,4258
2023-02-02,4311,650,3661
2023-02-03,4608,713,3895
2023-02-04,3980,408,3572
2023-02-05,4808,374,4434
2023-02-06,3654,578,3076
2023-02-07,3469,554,2915
2023-02-08,20947,1032,19915
2023-02-09,14401,1804,12597
2023-02-10,8024,989,7035
2023-02-11,6843,648,6195
2023-02-12,6040,506,5534
2023-02-13,6963,958,6005
2023-02-14,5639,869,4770
2023-02-15,5324,840,4484
2023-02-16,4295,703,3592
2023-02-17,4038,585,3453
2023-02-18,4083,414,3669
2023-02-19,3959,434,3525
2023-02-20,3817,594,3223
2023-02-21,3524,594,2930
2023-02-22,3485,594,2891
2023-02-23,3738,595,3143
2023-02-24,3181,459,2722
2023-02-25,3149,313,2836
2023-02-26,3295,392,2903
2023-02-27,2974,496,2478
2023-02-28,3015,488,2527
2023-03-01,4178,552,3626
2023-03-02,3523,507,3016
2023-03-03,3142,493,2649
2023-03-04,3658,412,3246
2023-03-05,3403,329,3074
2023-03-06,3019,451,2568
2023-03-07,3017,468,2549
2023-03-08,2868,417,2451
2023-03-09,2773,457,2316
2023-03-10,3139,512,2627
2023-03-11,3689,323,3366
2023-03-12,3998,375,3623
2023-03-13,6698,667,6031
2023-03-14,4459,561,3898
2023-03-15,3201,412,2789
2023-03-16,3130,499,2631
2023-03-17,3163,506,2657
2023-03-18,3417,315,3102
2023-03-19,3463,324,3139
2023-03-20,3278,499,2779
2023-03-21,3229,439,2790
2023-03-22,3279,467,2812
2023-03-23,4070,557,3513
2023-03-24,4614,606,4008
2023-03-25,4307,399,3908
2023-03-26,4327,364,3963
2023-03-27,3922,582,3340
2023-03-28,3860,599,3261
2023-03-29,4055,603,3452
2023-03-30,4605,685,3920
2023-03-31,4421,682,3739
2023-04-01,4499,416,4083
2023-04-02,4330,369,3961
2023-04-03,4099,572,3527
2023-04-04,3928,574,3354
2023-04-05,4044,367,3677
2023-04-06,5072,715,4357
2023-04-07,4627,670,3957
2023-04-08,4449,425,4024
2023-04-09,4491,417,4074
2023-04-10,4239,611,3628
2023-04-11,5795,650,5145
2023-04-12,5341,569,4772
2023-04-13,5400,726,4674
2023-04-14,6065,813,5252
2023-04-15,6338,515,5823
2023-04-16,5542,462,5080
2023-04-17,4295,571,3724
2023-04-18,3771,616,3155
2023-04-19,3563,571,2992
2023-04-20,3956,639,3317
2023-04-21,4104,625,3479
2023-04-22,4326,386,3940
