Time,all,pc,wise
2022-10-01,1253,163,1090
2022-10-02,1305,175,1130
2022-10-03,4745,1281,3464
2022-10-04,5349,1435,3914
2022-10-05,2276,392,1884
2022-10-06,1912,367,1545
2022-10-07,1741,287,1454
2022-10-08,1444,278,1166
2022-10-09,1506,287,1219
2022-10-10,1225,234,991
2022-10-11,2466,1283,1183
2022-10-12,1943,732,1211
2022-10-13,1398,270,1128
2022-10-14,1328,251,1077
2022-10-15,1374,182,1192
2022-10-16,1406,212,1194
2022-10-17,1240,234,1006
2022-10-18,1237,223,1014
2022-10-19,1276,243,1033
2022-10-20,1170,204,966
2022-10-21,1274,218,1056
2022-10-22,1277,177,1100
2022-10-23,1229,163,1066
2022-10-24,1194,202,992
2022-10-25,1168,191,977
2022-10-26,1194,209,985
2022-10-27,1177,188,989
2022-10-28,1203,219,984
2022-10-29,1182,177,1005
2022-10-30,1090,99,991
2022-10-31,1179,218,961
2022-11-01,1186,223,963
2022-11-02,1140,177,963
2022-11-03,1574,265,1309
2022-11-04,1784,319,1465
2022-11-05,2358,260,2098
2022-11-06,2187,257,1930
2022-11-07,1667,254,1413
2022-11-08,1493,239,1254
2022-11-09,1398,229,1169
2022-11-10,1340,234,1106
2022-11-11,1368,215,1153
2022-11-12,1452,180,1272
2022-11-13,4400,225,4175
2022-11-14,1392,229,1163
2022-11-15,1254,209,1045
2022-11-16,1202,198,1004
2022-11-17,1256,216,1040
2022-11-18,1199,207,992
2022-11-19,1253,188,1065
2022-11-20,1294,177,1117
2022-11-21,1219,226,993
2022-11-22,1132,172,960
2022-11-23,1154,184,970
2022-11-24,1117,166,951
2022-11-25,1210,226,984
2022-11-26,1325,180,1145
2022-11-27,1268,170,1098
2022-11-28,1191,194,997
2022-11-29,1171,179,992
2022-11-30,1171,186,985
2022-12-01,1178,200,978
2022-12-02,1135,161,974
2022-12-03,1188,173,1015
2022-12-04,1204,179,1025
2022-12-05,1198,187,1011
2022-12-06,1375,211,1164
2022-12-07,1700,276,1424
2022-12-08,1820,267,1553
2022-12-09,1650,243,1407
2022-12-10,1508,218,1290
2022-12-11,2095,186,1909
2022-12-12,1576,239,1337
2022-12-13,2038,354,1684
2022-12-14,1948,247,1701
2022-12-15,2222,236,1986
2022-12-16,2643,243,2400
2022-12-17,3031,222,2809
2022-12-18,2478,191,2287
2022-12-19,3101,225,2876
2022-12-20,2765,250,2515
2022-12-21,2963,231,2732
2022-12-22,3458,267,3191
2022-12-23,3307,285,3022
2022-12-24,3200,302,2898
2022-12-25,2922,213,2709
2022-12-26,2795,268,2527
2022-12-27,2408,274,2134
2022-12-28,2551,239,2312
2022-12-29,2674,305,2369
2022-12-30,2320,316,2004
2022-12-31,2267,195,2072
2023-01-01,2007,220,1787
2023-01-02,2077,264,1813
2023-01-03,1783,237,1546
2023-01-04,1863,270,1593
2023-01-05,1655,245,1410
2023-01-06,1682,215,1467
2023-01-07,1681,194,1487
2023-01-08,1548,175,1373
2023-01-09,1681,254,1427
2023-01-10,1866,354,1512
2023-01-11,1567,219,1348
2023-01-12,1421,223,1198
2023-01-13,1541,233,1308
2023-01-14,1406,188,1218
2023-01-15,1417,180,1237
2023-01-16,1527,205,1322
2023-01-17,1337,202,1135
2023-01-18,1310,197,1113
2023-01-19,1385,198,1187
2023-01-20,1304,180,1124
2023-01-21,1247,150,1097
2023-01-22,1806,187,1619
2023-01-23,2786,231,2555
2023-01-24,3522,237,3285
2023-01-25,2736,239,2497
2023-01-26,2482,202,2280
2023-01-27,2147,226,1921
2023-01-28,1960,239,1721
2023-01-29,1883,253,1630
2023-01-30,3642,298,3344
2023-01-31,1895,265,1630
2023-02-01,1770,273,1497
2023-02-02,1824,253,1571
2023-02-03,1804,240,1564
2023-02-04,1910,219,1691
2023-02-05,1906,195,1711
2023-02-06,1642,243,1399
2023-02-07,1615,250,1365
2023-02-08,1582,257,1325
2023-02-09,1702,243,1459
2023-02-10,1443,256,1187
2023-02-11,1469,176,1293
2023-02-12,1496,193,1303
2023-02-13,1261,215,1046
2023-02-14,1195,204,991
2023-02-15,1455,228,1227
2023-02-16,1271,209,1062
2023-02-17,1220,237,983
2023-02-18,1336,172,1164
2023-02-19,1262,182,1080
2023-02-20,1276,236,1040
2023-02-21,1166,194,972
2023-02-22,1284,228,1056
2023-02-23,1310,222,1088
2023-02-24,1195,209,986
2023-02-25,1178,180,998
2023-02-26,1168,179,989
2023-02-27,1182,213,969
2023-02-28,1154,213,941
2023-03-01,1096,170,926
2023-03-02,1107,172,935
2023-03-03,1580,211,1369
2023-03-04,1844,212,1632
2023-03-05,1779,205,1574
2023-03-06,1565,209,1356
2023-03-07,1373,205,1168
2023-03-08,1316,188,1128
2023-03-09,1291,193,1098
2023-03-10,1209,183,1026
2023-03-11,1356,165,1191
2023-03-12,1340,146,1194
2023-03-13,1253,191,1062
2023-03-14,6586,856,5730
2023-03-15,6681,874,5807
2023-03-16,3574,462,3112
2023-03-17,3601,620,2981
2023-03-18,2943,301,2642
2023-03-19,3908,333,3575
2023-03-20,3871,456,3415
2023-03-21,3313,481,2832
2023-03-22,3030,457,2573
2023-03-23,2620,344,2276
2023-03-24,3133,358,2775
2023-03-25,3074,262,2812
2023-03-26,2813,236,2577
2023-03-27,2372,284,2088
