Time,all,pc,wise
2022-10-01,10240,676,9564
2022-10-02,8785,706,8079
2022-10-03,8600,740,7860
2022-10-04,8722,843,7879
2022-10-05,8962,845,8117
2022-10-06,8460,840,7620
2022-10-07,7956,780,7176
2022-10-08,6400,885,5515
2022-10-09,6897,856,6041
2022-10-10,5155,842,4313
2022-10-11,5158,836,4322
2022-10-12,4922,786,4136
2022-10-13,4845,777,4068
2022-10-14,4858,760,4098
2022-10-15,5878,758,5120
2022-10-16,6668,623,6045
2022-10-17,6368,794,5574
2022-10-18,5204,828,4376
2022-10-19,5161,741,4420
2022-10-20,5452,845,4607
2022-10-21,5119,771,4348
2022-10-22,5854,673,5181
2022-10-23,6726,605,6121
2022-10-24,4980,780,4200
2022-10-25,5658,710,4948
2022-10-26,4999,656,4343
2022-10-27,4962,668,4294
2022-10-28,4830,730,4100
2022-10-29,5531,631,4900
2022-10-30,5694,239,5455
2022-10-31,5923,853,5070
2022-11-01,6065,852,5213
2022-11-02,5139,808,4331
2022-11-03,4787,720,4067
2022-11-04,4762,727,4035
2022-11-05,5295,627,4668
2022-11-06,5098,532,4566
2022-11-07,5008,732,4276
2022-11-08,4949,811,4138
2022-11-09,5085,859,4226
2022-11-10,5309,839,4470
2022-11-11,8990,896,8094
2022-11-12,20729,971,19758
2022-11-13,22869,966,21903
2022-11-14,17057,1342,15715
2022-11-15,10459,1182,9277
2022-11-16,8127,1014,7113
2022-11-17,7843,904,6939
2022-11-18,7286,868,6418
2022-11-19,7922,857,7065
2022-11-20,7660,842,6818
2022-11-21,16285,963,15322
2022-11-22,63478,1396,62082
2022-11-23,82747,2142,80605
2022-11-24,47020,1485,45535
2022-11-25,29240,1457,27783
2022-11-26,30620,1151,29469
2022-11-27,17697,915,16782
2022-11-28,13448,968,12480
2022-11-29,10016,893,9123
2022-11-30,14167,962,13205
2022-12-01,11322,900,10422
2022-12-02,15831,972,14859
2022-12-03,15814,894,14920
2022-12-04,21711,909,20802
2022-12-05,18157,994,17163
2022-12-06,15112,983,14129
2022-12-07,11895,928,10967
2022-12-08,11331,920,10411
2022-12-09,10297,897,9400
2022-12-10,9846,853,8993
2022-12-11,9372,710,8662
2022-12-12,8696,868,7828
2022-12-13,9472,875,8597
2022-12-14,9317,896,8421
2022-12-15,8062,866,7196
2022-12-16,9837,897,8940
2022-12-17,10436,847,9589
