Time,all,pc,wise
2022-10-01,716,95,621
2022-10-02,744,116,628
2022-10-03,755,106,649
2022-10-04,720,104,616
2022-10-05,739,93,646
2022-10-06,783,127,656
2022-10-07,658,97,561
2022-10-08,601,125,476
2022-10-09,681,159,522
2022-10-10,650,144,506
2022-10-11,635,135,500
2022-10-12,663,123,540
2022-10-13,729,144,585
2022-10-14,661,125,536
2022-10-15,684,102,582
2022-10-16,724,108,616
2022-10-17,762,148,614
2022-10-18,772,151,621
2022-10-19,690,123,567
2022-10-20,713,114,599
2022-10-21,777,129,648
2022-10-22,832,129,703
2022-10-23,798,118,680
2022-10-24,693,139,554
2022-10-25,680,112,568
2022-10-26,730,137,593
2022-10-27,943,140,803
2022-10-28,671,125,546
2022-10-29,974,118,856
2022-10-30,749,68,681
2022-10-31,758,99,659
2022-11-01,754,150,604
2022-11-02,986,125,861
2022-11-03,804,137,667
2022-11-04,814,118,696
2022-11-05,841,104,737
2022-11-06,923,121,802
2022-11-07,699,121,578
2022-11-08,801,135,666
2022-11-09,748,127,621
2022-11-10,821,144,677
2022-11-11,823,121,702
2022-11-12,855,112,743
2022-11-13,948,95,853
2022-11-14,824,135,689
2022-11-15,743,127,616
2022-11-16,688,120,568
2022-11-17,804,154,650
2022-11-18,741,120,621
2022-11-19,845,102,743
2022-11-20,789,95,694
2022-11-21,719,142,577
2022-11-22,615,123,492
2022-11-23,663,123,540
2022-11-24,663,112,551
2022-11-25,787,150,637
2022-11-26,767,101,666
2022-11-27,731,89,642
2022-11-28,786,140,646
2022-11-29,1126,157,969
2022-11-30,1282,251,1031
2022-12-01,1033,161,872
2022-12-02,1076,231,845
2022-12-03,883,114,769
2022-12-04,842,95,747
2022-12-05,867,155,712
2022-12-06,820,154,666
2022-12-07,848,140,708
2022-12-08,787,135,652
2022-12-09,938,123,815
2022-12-10,885,127,758
2022-12-11,757,125,632
2022-12-12,669,133,536
2022-12-13,665,108,557
2022-12-14,759,118,641
2022-12-15,1026,146,880
2022-12-16,1018,133,885
2022-12-17,812,85,727
2022-12-18,730,87,643
2022-12-19,588,99,489
2022-12-20,641,116,525
2022-12-21,651,118,533
2022-12-22,700,112,588
2022-12-23,781,110,671
2022-12-24,1015,158,857
2022-12-25,950,106,844
2022-12-26,2720,144,2576
2022-12-27,1643,175,1468
2022-12-28,1325,170,1155
2022-12-29,1091,144,947
2022-12-30,1007,127,880
2022-12-31,973,99,874
2023-01-01,982,99,883
2023-01-02,1008,125,883
2023-01-03,1172,162,1010
2023-01-04,1003,135,868
2023-01-05,991,148,843
2023-01-06,907,151,756
2023-01-07,837,125,712
2023-01-08,831,112,719
2023-01-09,773,104,669
2023-01-10,799,139,660
2023-01-11,776,137,639
2023-01-12,839,137,702
2023-01-13,932,146,786
2023-01-14,949,97,852
2023-01-15,957,112,845
2023-01-16,1058,150,908
2023-01-17,982,123,859
2023-01-18,982,133,849
2023-01-19,884,101,783
2023-01-20,937,104,833
2023-01-21,1021,104,917
2023-01-22,1032,116,916
2023-01-23,992,99,893
2023-01-24,956,85,871
2023-01-25,948,89,859
2023-01-26,948,93,855
2023-01-27,953,102,851
2023-01-28,918,114,804
2023-01-29,928,135,793
2023-01-30,937,121,816
2023-01-31,1011,154,857
2023-02-01,974,129,845
2023-02-02,1016,155,861
2023-02-03,998,155,843
2023-02-04,956,112,844
2023-02-05,957,106,851
2023-02-06,834,170,664
2023-02-07,714,139,575
2023-02-08,771,127,644
2023-02-09,815,155,660
2023-02-10,736,144,592
2023-02-11,786,110,676
2023-02-12,1027,158,869
2023-02-13,886,159,727
2023-02-14,834,168,666
2023-02-15,738,146,592
2023-02-16,746,151,595
2023-02-17,800,133,667
2023-02-18,882,148,734
2023-02-19,731,121,610
2023-02-20,771,139,632
2023-02-21,652,135,517
2023-02-22,662,133,529
2023-02-23,733,137,596
2023-02-24,712,133,579
2023-02-25,743,112,631
2023-02-26,713,114,599
2023-02-27,689,137,552
2023-02-28,661,146,515
2023-03-01,690,120,570
2023-03-02,716,127,589
2023-03-03,670,139,531
2023-03-04,680,106,574
2023-03-05,829,127,702
2023-03-06,750,148,602
2023-03-07,666,133,533
2023-03-08,636,110,526
2023-03-09,603,123,480
2023-03-10,753,114,639
2023-03-11,698,112,586
2023-03-12,608,95,513
2023-03-13,651,139,512
2023-03-14,754,168,586
2023-03-15,634,131,503
2023-03-16,652,127,525
2023-03-17,651,129,522
2023-03-18,730,102,628
2023-03-19,681,106,575
2023-03-20,687,163,524
2023-03-21,649,152,497
2023-03-22,666,121,545
2023-03-23,752,139,613
2023-03-24,716,120,596
2023-03-25,616,83,533
2023-03-26,655,97,558
2023-03-27,636,146,490
2023-03-28,861,187,674
2023-03-29,807,173,634
2023-03-30,661,129,532
2023-03-31,692,142,550
2023-04-01,683,102,581
2023-04-02,702,116,586
2023-04-03,745,148,597
2023-04-04,746,142,604
2023-04-05,665,129,536
2023-04-06,679,144,535
2023-04-07,560,102,458
2023-04-08,654,87,567
2023-04-09,619,93,526
2023-04-10,626,112,514
2023-04-11,668,144,524
2023-04-12,681,129,552
2023-04-13,841,154,687
2023-04-14,686,151,535
2023-04-15,664,101,563
2023-04-16,669,118,551
2023-04-17,729,123,606
2023-04-18,631,158,473
2023-04-19,672,151,521
2023-04-20,679,144,535
2023-04-21,744,151,593
2023-04-22,717,108,609
