Time,all,pc,wise
2022-10-01,2490,284,2206
2022-10-02,2531,271,2260
2022-10-03,2358,316,2042
2022-10-04,2198,259,1939
2022-10-05,2347,284,2063
2022-10-06,2435,329,2106
2022-10-07,2474,319,2155
2022-10-08,2048,363,1685
2022-10-09,2469,343,2126
2022-10-10,2330,349,1981
2022-10-11,2207,326,1881
2022-10-12,2123,399,1724
2022-10-13,2110,367,1743
2022-10-14,2174,361,1813
2022-10-15,2495,273,2222
2022-10-16,2639,274,2365
2022-10-17,2388,395,1993
2022-10-18,2460,389,2071
2022-10-19,2321,330,1991
2022-10-20,2336,329,2007
2022-10-21,3481,352,3129
2022-10-22,2438,313,2125
2022-10-23,2678,253,2425
2022-10-24,2350,360,1990
2022-10-25,2310,363,1947
2022-10-26,2370,360,2010
2022-10-27,2328,405,1923
2022-10-28,2808,347,2461
2022-10-29,3170,309,2861
2022-10-30,3870,148,3722
2022-10-31,3325,443,2882
2022-11-01,3077,395,2682
2022-11-02,2933,380,2553
2022-11-03,2792,371,2421
2022-11-04,3395,360,3035
2022-11-05,2999,344,2655
2022-11-06,2865,285,2580
2022-11-07,2913,430,2483
2022-11-08,3318,533,2785
2022-11-09,3738,499,3239
2022-11-10,3266,454,2812
2022-11-11,3199,371,2828
2022-11-12,3429,355,3074
2022-11-13,3731,307,3424
2022-11-14,2905,439,2466
2022-11-15,2665,327,2338
2022-11-16,2767,326,2441
2022-11-17,2672,302,2370
2022-11-18,2819,313,2506
2022-11-19,2843,278,2565
2022-11-20,2703,253,2450
2022-11-21,2467,313,2154
2022-11-22,2470,326,2144
2022-11-23,2548,316,2232
2022-11-24,2889,268,2621
2022-11-25,3085,406,2679
2022-11-26,2994,270,2724
2022-11-27,3322,265,3057
2022-11-28,2997,298,2699
2022-11-29,2914,299,2615
2022-11-30,2978,313,2665
2022-12-01,2996,341,2655
2022-12-02,2998,313,2685
2022-12-03,3102,296,2806
2022-12-04,3146,324,2822
2022-12-05,2941,329,2612
2022-12-06,2826,343,2483
2022-12-07,2561,315,2246
2022-12-08,2640,293,2347
2022-12-09,2225,247,1978
2022-12-10,2136,260,1876
2022-12-11,2246,256,1990
2022-12-12,2021,245,1776
2022-12-13,1987,211,1776
2022-12-14,2056,242,1814
2022-12-15,2117,278,1839
2022-12-16,2442,290,2152
2022-12-17,2453,264,2189
2022-12-18,2914,287,2627
2022-12-19,2482,247,2235
2022-12-20,2579,256,2323
2022-12-21,2869,310,2559
2022-12-22,2935,350,2585
2022-12-23,3337,327,3010
2022-12-24,3390,287,3103
2022-12-25,3668,330,3338
2022-12-26,3620,388,3232
2022-12-27,3322,361,2961
2022-12-28,3123,326,2797
2022-12-29,3334,388,2946
2022-12-30,3102,341,2761
2022-12-31,3272,323,2949
2023-01-01,3289,321,2968
2023-01-02,3361,323,3038
2023-01-03,3207,420,2787
2023-01-04,3178,369,2809
2023-01-05,2985,367,2618
2023-01-06,2937,369,2568
2023-01-07,3949,324,3625
2023-01-08,3835,347,3488
2023-01-09,3171,364,2807
2023-01-10,3501,389,3112
2023-01-11,3402,406,2996
2023-01-12,3128,358,2770
2023-01-13,3542,408,3134
2023-01-14,4126,332,3794
2023-01-15,3538,271,3267
2023-01-16,2862,319,2543
2023-01-17,2907,316,2591
2023-01-18,2679,282,2397
2023-01-19,2662,273,2389
2023-01-20,2578,257,2321
2023-01-21,3392,625,2767
2023-01-22,3220,324,2896
2023-01-23,3171,242,2929
2023-01-24,3304,245,3059
2023-01-25,2997,237,2760
2023-01-26,2977,222,2755
2023-01-27,2735,216,2519
2023-01-28,2816,310,2506
2023-01-29,3006,296,2710
2023-01-30,2479,312,2167
2023-01-31,2394,287,2107
2023-02-01,2497,298,2199
2023-02-02,2605,296,2309
2023-02-03,2843,374,2469
2023-02-04,2575,267,2308
2023-02-05,2825,236,2589
2023-02-06,2424,293,2131
2023-02-07,2547,346,2201
2023-02-08,2455,335,2120
2023-02-09,2640,326,2314
2023-02-10,2460,318,2142
2023-02-11,2452,273,2179
2023-02-12,2546,240,2306
2023-02-13,2261,310,1951
2023-02-14,2084,281,1803
2023-02-15,2039,335,1704
2023-02-16,2173,332,1841
2023-02-17,2039,239,1800
2023-02-18,2258,282,1976
2023-02-19,2141,256,1885
2023-02-20,2069,299,1770
2023-02-21,1957,267,1690
2023-02-22,1992,290,1702
2023-02-23,2080,333,1747
2023-02-24,3078,689,2389
2023-02-25,2208,253,1955
2023-02-26,2021,205,1816
2023-02-27,2069,285,1784
2023-02-28,1925,327,1598
2023-03-01,1951,301,1650
2023-03-02,1960,305,1655
2023-03-03,1753,264,1489
2023-03-04,1812,176,1636
2023-03-05,1849,248,1601
2023-03-06,1846,271,1575
2023-03-07,1720,276,1444
2023-03-08,1695,250,1445
2023-03-09,1829,253,1576
2023-03-10,1901,262,1639
2023-03-11,1898,225,1673
2023-03-12,2301,268,2033
2023-03-13,1970,313,1657
2023-03-14,1977,282,1695
2023-03-15,1976,264,1712
2023-03-16,1954,251,1703
2023-03-17,2668,315,2353
2023-03-18,2269,190,2079
2023-03-19,2421,228,2193
2023-03-20,2151,307,1844
2023-03-21,2286,282,2004
2023-03-22,2442,329,2113
2023-03-23,2477,329,2148
2023-03-24,2497,364,2133
2023-03-25,2281,259,2022
2023-03-26,2305,220,2085
2023-03-27,2095,324,1771
2023-03-28,3664,430,3234
2023-03-29,3056,420,2636
2023-03-30,2991,681,2310
2023-03-31,2965,580,2385
2023-04-01,2983,304,2679
2023-04-02,2555,247,2308
2023-04-03,2482,361,2121
