Time,all,pc,wise
2022-10-01,2124,302,1822
2022-10-02,2216,361,1855
2022-10-03,2354,363,1991
2022-10-04,2388,389,1999
2022-10-05,2255,381,1874
2022-10-06,2249,354,1895
2022-10-07,1987,323,1664
2022-10-08,2003,431,1572
2022-10-09,2357,470,1887
2022-10-10,2402,507,1895
2022-10-11,2473,518,1955
2022-10-12,2386,442,1944
2022-10-13,2526,482,2044
2022-10-14,2436,434,2002
2022-10-15,2724,426,2298
2022-10-16,2997,431,2566
2022-10-17,2643,482,2161
2022-10-18,2814,566,2248
2022-10-19,2616,513,2103
2022-10-20,2436,468,1968
2022-10-21,2348,416,1932
2022-10-22,2350,385,1965
2022-10-23,2578,364,2214
2022-10-24,2518,595,1923
2022-10-25,2329,468,1861
2022-10-26,2143,456,1687
2022-10-27,2087,395,1692
2022-10-28,2332,433,1899
2022-10-29,2339,406,1933
2022-10-30,2169,152,2017
2022-10-31,3268,721,2547
2022-11-01,3964,860,3104
2022-11-02,2849,549,2300
2022-11-03,3208,602,2606
2022-11-04,6371,986,5385
2022-11-05,4907,689,4218
2022-11-06,6106,645,5461
2022-11-07,5627,871,4756
2022-11-08,4811,946,3865
2022-11-09,4174,737,3437
2022-11-10,3398,623,2775
2022-11-11,2810,549,2261
2022-11-12,4438,671,3767
2022-11-13,4559,613,3946
2022-11-14,3164,586,2578
2022-11-15,2931,606,2325
2022-11-16,2526,540,1986
2022-11-17,2565,532,2033
2022-11-18,2426,386,2040
2022-11-19,2906,423,2483
2022-11-20,3145,473,2672
2022-11-21,2424,454,1970
2022-11-22,2193,392,1801
2022-11-23,2150,431,1719
2022-11-24,2085,414,1671
2022-11-25,2275,490,1785
2022-11-26,2279,340,1939
2022-11-27,2329,319,2010
2022-11-28,2283,426,1857
2022-11-29,2230,361,1869
2022-11-30,2159,437,1722
2022-12-01,2059,426,1633
2022-12-02,2086,380,1706
2022-12-03,2303,346,1957
2022-12-04,2262,349,1913
2022-12-05,2120,434,1686
2022-12-06,2290,436,1854
2022-12-07,1810,360,1450
2022-12-08,1874,395,1479
2022-12-09,1927,332,1595
2022-12-10,1934,352,1582
2022-12-11,1929,282,1647
2022-12-12,2018,454,1564
2022-12-13,1898,375,1523
2022-12-14,1703,375,1328
2022-12-15,1909,324,1585
2022-12-16,2223,442,1781
2022-12-17,2375,355,2020
2022-12-18,2722,386,2336
2022-12-19,2100,358,1742
2022-12-20,2224,389,1835
2022-12-21,2362,386,1976
2022-12-22,2479,425,2054
2022-12-23,2449,378,2071
2022-12-24,2628,397,2231
2022-12-25,2652,426,2226
2022-12-26,2382,385,1997
2022-12-27,2602,478,2124
2022-12-28,2705,530,2175
2022-12-29,2652,448,2204
2022-12-30,2425,405,2020
2022-12-31,2635,425,2210
