Time,all,pc,wise
2022-10-01,10002,540,9462
2022-10-02,10246,538,9708
2022-10-03,10677,619,10058
2022-10-04,10325,614,9711
2022-10-05,11061,684,10377
2022-10-06,11049,681,10368
2022-10-07,9872,623,9249
2022-10-08,8816,852,7964
2022-10-09,8790,860,7930
2022-10-10,8507,819,7688
2022-10-11,8984,865,8119
2022-10-12,8734,859,7875
2022-10-13,8776,874,7902
2022-10-14,9004,850,8154
2022-10-15,10454,659,9795
2022-10-16,10488,676,9812
2022-10-17,10769,928,9841
2022-10-18,10682,884,9798
2022-10-19,9548,870,8678
2022-10-20,9372,865,8507
2022-10-21,10092,867,9225
2022-10-22,12016,703,11313
2022-10-23,13118,791,12327
2022-10-24,11385,891,10494
2022-10-25,11241,906,10335
2022-10-26,12237,917,11320
2022-10-27,12457,876,11581
2022-10-28,10867,856,10011
2022-10-29,11076,670,10406
2022-10-30,11004,208,10796
2022-10-31,9784,846,8938
2022-11-01,9374,841,8533
2022-11-02,9128,865,8263
2022-11-03,9129,852,8277
2022-11-04,10390,892,9498
2022-11-05,10492,617,9875
2022-11-06,9958,537,9421
2022-11-07,8982,866,8116
2022-11-08,9472,861,8611
2022-11-09,9445,857,8588
2022-11-10,11284,876,10408
2022-11-11,12528,907,11621
2022-11-12,12373,696,11677
2022-11-13,12608,645,11963
2022-11-14,10950,895,10055
2022-11-15,9128,870,8258
2022-11-16,9529,864,8665
2022-11-17,10138,877,9261
2022-11-18,9579,876,8703
2022-11-19,11856,684,11172
2022-11-20,13741,578,13163
2022-11-21,13309,872,12437
2022-11-22,11571,851,10720
2022-11-23,11826,850,10976
2022-11-24,11326,802,10524
2022-11-25,12951,913,12038
2022-11-26,13516,726,12790
2022-11-27,12391,645,11746
2022-11-28,15158,868,14290
2022-11-29,15040,858,14182
2022-11-30,10534,834,9700
2022-12-01,10551,789,9762
2022-12-02,10651,852,9799
2022-12-03,9997,715,9282
2022-12-04,10577,599,9978
2022-12-05,9970,837,9133
2022-12-06,10657,855,9802
2022-12-07,9841,860,8981
2022-12-08,10091,817,9274
2022-12-09,12826,858,11968
2022-12-10,12973,600,12373
2022-12-11,11192,586,10606
2022-12-12,10085,817,9268
2022-12-13,10845,861,9984
2022-12-14,10056,842,9214
2022-12-15,11081,853,10228
2022-12-16,12285,849,11436
2022-12-17,11267,600,10667
2022-12-18,9860,592,9268
2022-12-19,11252,843,10409
2022-12-20,10955,843,10112
2022-12-21,12407,863,11544
2022-12-22,12238,848,11390
2022-12-23,10930,844,10086
2022-12-24,10716,637,10079
2022-12-25,12747,671,12076
2022-12-26,12783,873,11910
2022-12-27,12655,891,11764
2022-12-28,11361,855,10506
2022-12-29,13653,895,12758
2022-12-30,16340,884,15456
2022-12-31,14215,783,13432
2023-01-01,13597,797,12800
2023-01-02,14339,843,13496
2023-01-03,14766,907,13859
2023-01-04,14273,911,13362
2023-01-05,14432,911,13521
2023-01-06,14322,892,13430
2023-01-07,14888,752,14136
2023-01-08,14485,723,13762
2023-01-09,13641,906,12735
2023-01-10,12611,878,11733
2023-01-11,12546,876,11670
2023-01-12,12997,857,12140
2023-01-13,12976,866,12110
2023-01-14,17521,852,16669
2023-01-15,15300,726,14574
2023-01-16,12796,906,11890
2023-01-17,11805,849,10956
2023-01-18,11303,730,10573
2023-01-19,10803,645,10158
2023-01-20,10182,546,9636
2023-01-21,10628,389,10239
2023-01-22,11103,451,10652
2023-01-23,11553,447,11106
2023-01-24,11786,475,11311
2023-01-25,12548,515,12033
2023-01-26,10801,509,10292
2023-01-27,13518,693,12825
2023-01-28,13756,862,12894
2023-01-29,13420,897,12523
2023-01-30,14288,916,13372
2023-01-31,15236,1166,14070
2023-02-01,12840,983,11857
2023-02-02,14134,1746,12388
2023-02-03,16181,1378,14803
2023-02-04,12882,860,12022
2023-02-05,13274,718,12556
2023-02-06,12937,976,11961
2023-02-07,11259,943,10316
2023-02-08,10007,953,9054
2023-02-09,11406,982,10424
2023-02-10,11557,1043,10514
2023-02-11,11764,817,10947
2023-02-12,11890,755,11135
2023-02-13,10391,980,9411
2023-02-14,9435,928,8507
2023-02-15,10121,926,9195
2023-02-16,8815,914,7901
2023-02-17,8269,885,7384
2023-02-18,9096,696,8400
2023-02-19,8459,650,7809
2023-02-20,7586,892,6694
2023-02-21,7705,900,6805
2023-02-22,7830,869,6961
2023-02-23,9143,883,8260
2023-02-24,9401,894,8507
2023-02-25,8548,616,7932
2023-02-26,8053,600,7453
2023-02-27,6923,846,6077
2023-02-28,6865,887,5978
2023-03-01,6892,843,6049
2023-03-02,6707,848,5859
2023-03-03,6772,843,5929
2023-03-04,8295,678,7617
2023-03-05,7877,499,7378
2023-03-06,7633,847,6786
2023-03-07,7157,851,6306
2023-03-08,6978,831,6147
2023-03-09,6940,841,6099
2023-03-10,7724,857,6867
2023-03-11,8270,617,7653
2023-03-12,8208,554,7654
2023-03-13,7390,796,6594
2023-03-14,7140,841,6299
2023-03-15,7157,852,6305
2023-03-16,7085,852,6233
2023-03-17,7914,867,7047
2023-03-18,9096,597,8499
2023-03-19,8145,488,7657
2023-03-20,7441,852,6589
2023-03-21,7716,855,6861
2023-03-22,7799,860,6939
2023-03-23,10235,875,9360
2023-03-24,12908,959,11949
2023-03-25,10368,791,9577
2023-03-26,9890,648,9242
2023-03-27,10294,932,9362
2023-03-28,22169,1600,20569
2023-03-29,16980,1421,15559
2023-03-30,15216,1190,14026
2023-03-31,11733,949,10784
2023-04-01,11808,729,11079
2023-04-02,14493,843,13650
2023-04-03,14281,1050,13231
2023-04-04,14315,1058,13257
2023-04-05,12705,752,11953
2023-04-06,10291,942,9349
2023-04-07,9371,889,8482
2023-04-08,10512,670,9842
2023-04-09,13100,668,12432
2023-04-10,10450,918,9532
2023-04-11,9359,912,8447
2023-04-12,8996,889,8107
2023-04-13,8639,871,7768
2023-04-14,8638,860,7778
2023-04-15,9291,630,8661
2023-04-16,9222,526,8696
2023-04-17,8127,846,7281
2023-04-18,8385,865,7520
2023-04-19,9512,911,8601
2023-04-20,10678,1025,9653
2023-04-21,10264,924,9340
2023-04-22,9825,689,9136
