Time,all,pc,wise
2022-10-01,3337,332,3005
2022-10-02,3513,285,3228
2022-10-03,3955,352,3603
2022-10-04,4062,338,3724
2022-10-05,3901,389,3512
2022-10-06,4317,439,3878
2022-10-07,3717,443,3274
2022-10-08,3365,611,2754
2022-10-09,3372,585,2787
2022-10-10,3158,537,2621
2022-10-11,3212,595,2617
2022-10-12,4229,648,3581
2022-10-13,4106,684,3422
2022-10-14,4110,614,3496
2022-10-15,4737,498,4239
2022-10-16,6128,485,5643
2022-10-17,5194,761,4433
2022-10-18,4995,676,4319
2022-10-19,4871,675,4196
2022-10-20,4503,577,3926
2022-10-21,4720,603,4117
2022-10-22,144994,14995,129999
2022-10-23,46514,3250,43264
2022-10-24,14697,1945,12752
2022-10-25,11454,1125,10329
2022-10-26,10059,944,9115
2022-10-27,8321,919,7402
2022-10-28,9836,981,8855
2022-10-29,15354,939,14415
2022-10-30,23063,574,22489
2022-10-31,15064,1209,13855
2022-11-01,19301,2119,17182
2022-11-02,15926,1618,14308
2022-11-03,9867,985,8882
2022-11-04,7815,845,6970
2022-11-05,7939,637,7302
2022-11-06,17232,896,16336
2022-11-07,11080,922,10158
2022-11-08,8086,865,7221
2022-11-09,7297,844,6453
2022-11-10,6292,841,5451
2022-11-11,6155,754,5401
2022-11-12,6272,557,5715
2022-11-13,6839,637,6202
2022-11-14,5838,839,4999
2022-11-15,5623,752,4871
2022-11-16,5635,716,4919
2022-11-17,6427,850,5577
2022-11-18,6264,715,5549
2022-11-19,6146,405,5741
2022-11-20,5719,402,5317
2022-11-21,4840,549,4291
2022-11-22,7672,939,6733
2022-11-23,6574,842,5732
2022-11-24,5142,580,4562
2022-11-25,5467,676,4791
2022-11-26,5753,524,5229
2022-11-27,5604,447,5157
2022-11-28,4891,560,4331
2022-11-29,4451,595,3856
2022-11-30,10259,917,9342
2022-12-01,6317,839,5478
2022-12-02,4491,589,3902
2022-12-03,4494,459,4035
2022-12-04,4416,420,3996
2022-12-05,4154,582,3572
2022-12-06,4740,619,4121
