Time,all,pc,wise
2022-10-01,38908,1421,37487
2022-10-02,44297,1606,42691
2022-10-03,47697,1736,45961
2022-10-04,44652,1823,42829
2022-10-05,44579,1834,42745
2022-10-06,45328,1876,43452
2022-10-07,40610,1888,38722
2022-10-08,33513,2891,30622
2022-10-09,30655,2621,28034
2022-10-10,27289,2498,24791
2022-10-11,28267,2727,25540
2022-10-12,30598,3056,27542
2022-10-13,28511,2558,25953
2022-10-14,29165,2534,26631
2022-10-15,31437,1388,30049
2022-10-16,30672,1339,29333
2022-10-17,32178,2388,29790
2022-10-18,27522,2436,25086
2022-10-19,28360,2546,25814
2022-10-20,26163,2370,23793
2022-10-21,27875,2286,25589
2022-10-22,28544,1298,27246
2022-10-23,29759,1319,28440
2022-10-24,26255,2350,23905
2022-10-25,25557,2241,23316
2022-10-26,25459,2207,23252
2022-10-27,24321,2143,22178
2022-10-28,23755,1915,21840
2022-10-29,25163,1260,23903
2022-10-30,23612,551,23061
2022-10-31,21648,1818,19830
2022-11-01,19529,1728,17801
2022-11-02,20080,1740,18340
2022-11-03,25569,2243,23326
2022-11-04,31640,2247,29393
2022-11-05,35984,1462,34522
2022-11-06,33398,1299,32099
2022-11-07,28407,2165,26242
2022-11-08,26816,2142,24674
2022-11-09,26871,2252,24619
2022-11-10,28657,2205,26452
2022-11-11,29426,2296,27130
2022-11-12,35840,1514,34326
2022-11-13,37734,1458,36276
2022-11-14,30062,2330,27732
2022-11-15,24174,1938,22236
2022-11-16,22045,1833,20212
2022-11-17,25044,2087,22957
2022-11-18,23359,1826,21533
2022-11-19,24966,1165,23801
2022-11-20,26975,1089,25886
2022-11-21,26274,1735,24539
2022-11-22,26185,2004,24181
2022-11-23,22637,1779,20858
2022-11-24,20920,1498,19422
2022-11-25,23596,1828,21768
2022-11-26,23262,1158,22104
2022-11-27,23222,1028,22194
2022-11-28,21976,1355,20621
2022-11-29,28950,1687,27263
2022-11-30,34488,2314,32174
2022-12-01,21346,1591,19755
2022-12-02,22833,1465,21368
2022-12-03,22058,983,21075
2022-12-04,20594,964,19630
2022-12-05,19718,1474,18244
2022-12-06,20524,1448,19076
2022-12-07,17870,1249,16621
2022-12-08,17745,1179,16566
2022-12-09,17536,947,16589
2022-12-10,19206,1019,18187
2022-12-11,20570,950,19620
2022-12-12,17403,1164,16239
2022-12-13,16406,1151,15255
2022-12-14,18391,1302,17089
2022-12-15,18755,1223,17532
2022-12-16,21268,1152,20116
2022-12-17,21870,971,20899
2022-12-18,22851,979,21872
2022-12-19,23154,1329,21825
2022-12-20,42326,1825,40501
2022-12-21,27158,1331,25827
2022-12-22,22760,1206,21554
2022-12-23,23411,1273,22138
2022-12-24,28137,1190,26947
2022-12-25,29544,1061,28483
2022-12-26,29820,1672,28148
2022-12-27,37098,2140,34958
2022-12-28,67703,3793,63910
2022-12-29,66130,3621,62509
2022-12-30,61831,3288,58543
2022-12-31,78029,2629,75400
2023-01-01,82850,2538,80312
2023-01-02,81915,2769,79146
2023-01-03,82897,4513,78384
2023-01-04,76127,4307,71820
2023-01-05,67972,3996,63976
2023-01-06,62740,3846,58894
2023-01-07,61421,2380,59041
2023-01-08,59517,2196,57321
2023-01-09,55208,3406,51802
2023-01-10,50620,3195,47425
2023-01-11,50661,2941,47720
2023-01-12,48182,2948,45234
2023-01-13,44715,2571,42144
2023-01-14,49000,1817,47183
2023-01-15,45454,1670,43784
2023-01-16,42549,2421,40128
2023-01-17,42698,2413,40285
2023-01-18,44087,1992,42095
2023-01-19,45148,1923,43225
2023-01-20,40354,1388,38966
2023-01-21,47645,1060,46585
2023-01-22,47701,1315,46386
2023-01-23,44463,1261,43202
2023-01-24,42822,1332,41490
2023-01-25,40438,1218,39220
2023-01-26,38321,1233,37088
2023-01-27,36391,1293,35098
2023-01-28,42382,2216,40166
2023-01-29,36156,2292,33864
2023-01-30,34835,2346,32489
2023-01-31,34137,2585,31552
2023-02-01,31062,2126,28936
2023-02-02,29786,2108,27678
2023-02-03,29737,1959,27778
2023-02-04,28321,1277,27044
2023-02-05,26862,1024,25838
2023-02-06,22346,1755,20591
2023-02-07,20685,1931,18754
