Time,all,pc,wise
2022-10-01,2116,191,1925
2022-10-02,1859,184,1675
2022-10-03,1657,144,1513
2022-10-04,1695,159,1536
2022-10-05,1602,163,1439
2022-10-06,1609,172,1437
2022-10-07,1225,151,1074
2022-10-08,1110,166,944
2022-10-09,1087,163,924
2022-10-10,1051,162,889
2022-10-11,1016,152,864
2022-10-12,1041,165,876
2022-10-13,1052,158,894
2022-10-14,1072,175,897
2022-10-15,1071,140,931
2022-10-16,1053,131,922
2022-10-17,1014,170,844
2022-10-18,1013,158,855
2022-10-19,1000,140,860
2022-10-20,1002,155,847
2022-10-21,1020,150,870
2022-10-22,1069,133,936
2022-10-23,1024,106,918
2022-10-24,1016,161,855
2022-10-25,1019,161,858
2022-10-26,1024,172,852
2022-10-27,1024,172,852
2022-10-28,1021,151,870
2022-10-29,1121,168,953
2022-10-30,999,74,925
2022-10-31,1029,182,847
2022-11-01,925,150,775
2022-11-02,1198,253,945
2022-11-03,1016,159,857
2022-11-04,1092,184,908
2022-11-05,1147,179,968
2022-11-06,1093,148,945
2022-11-07,1057,175,882
2022-11-08,1006,137,869
2022-11-09,1021,169,852
2022-11-10,1008,159,849
2022-11-11,1176,239,937
2022-11-12,1083,157,926
2022-11-13,1015,129,886
2022-11-14,1016,172,844
2022-11-15,980,166,814
2022-11-16,968,152,816
2022-11-17,929,157,772
2022-11-18,990,175,815
2022-11-19,1005,116,889
2022-11-20,999,139,860
2022-11-21,918,123,795
2022-11-22,836,121,715
2022-11-23,836,133,703
2022-11-24,813,116,697
2022-11-25,949,144,805
2022-11-26,977,127,850
2022-11-27,952,104,848
2022-11-28,861,155,706
2022-11-29,912,139,773
2022-11-30,806,123,683
2022-12-01,810,133,677
2022-12-02,864,120,744
2022-12-03,890,114,776
2022-12-04,968,120,848
2022-12-05,780,131,649
2022-12-06,898,140,758
2022-12-07,868,131,737
2022-12-08,838,154,684
2022-12-09,911,146,765
2022-12-10,1035,155,880
2022-12-11,978,125,853
2022-12-12,779,135,644
2022-12-13,911,161,750
2022-12-14,844,159,685
2022-12-15,841,142,699
2022-12-16,3469,226,3243
2022-12-17,3516,284,3232
2022-12-18,1961,182,1779
2022-12-19,1416,200,1216
2022-12-20,1237,158,1079
2022-12-21,1217,187,1030
2022-12-22,1173,188,985
2022-12-23,1256,191,1065
2022-12-24,1444,154,1290
2022-12-25,1267,129,1138
2022-12-26,1117,169,948
2022-12-27,1137,193,944
2022-12-28,1107,161,946
2022-12-29,1161,193,968
2022-12-30,1170,186,984
2022-12-31,4915,248,4667
2023-01-01,2501,209,2292
2023-01-02,1821,172,1649
2023-01-03,1252,201,1051
2023-01-04,1119,168,951
2023-01-05,1109,180,929
2023-01-06,1114,172,942
2023-01-07,1150,162,988
2023-01-08,1121,152,969
2023-01-09,1050,170,880
2023-01-10,1050,175,875
2023-01-11,998,146,852
2023-01-12,984,135,849
2023-01-13,998,137,861
2023-01-14,997,106,891
2023-01-15,992,118,874
2023-01-16,964,114,850
2023-01-17,903,137,766
2023-01-18,914,137,777
2023-01-19,880,112,768
2023-01-20,940,114,826
2023-01-21,1088,91,997
2023-01-22,1095,95,1000
2023-01-23,1033,99,934
2023-01-24,1014,87,927
2023-01-25,969,93,876
2023-01-26,964,108,856
2023-01-27,949,101,848
2023-01-28,975,129,846
2023-01-29,954,112,842
2023-01-30,886,120,766
2023-01-31,915,129,786
2023-02-01,875,133,742
2023-02-02,915,140,775
2023-02-03,898,140,758
2023-02-04,985,114,871
2023-02-05,1032,133,899
2023-02-06,849,127,722
2023-02-07,857,165,692
2023-02-08,790,131,659
2023-02-09,868,158,710
2023-02-10,992,144,848
2023-02-11,979,125,854
2023-02-12,955,102,853
2023-02-13,819,125,694
2023-02-14,725,125,600
2023-02-15,666,123,543
2023-02-16,701,127,574
2023-02-17,886,155,731
2023-02-18,1085,106,979
2023-02-19,1032,101,931
2023-02-20,969,158,811
2023-02-21,880,146,734
2023-02-22,766,125,641
2023-02-23,878,133,745
2023-02-24,995,150,845
2023-02-25,1003,131,872
2023-02-26,976,97,879
2023-02-27,849,133,716
2023-02-28,755,120,635
2023-03-01,716,118,598
2023-03-02,1246,481,765
2023-03-03,877,127,750
2023-03-04,969,125,844
2023-03-05,945,101,844
2023-03-06,724,125,599
2023-03-07,758,127,631
2023-03-08,646,106,540
2023-03-09,705,151,554
2023-03-10,819,121,698
2023-03-11,928,85,843
2023-03-12,964,114,850
2023-03-13,802,139,663
2023-03-14,795,125,670
2023-03-15,660,121,539
2023-03-16,756,186,570
2023-03-17,835,151,684
2023-03-18,872,83,789
2023-03-19,873,78,795
2023-03-20,705,123,582
2023-03-21,693,144,549
2023-03-22,645,112,533
2023-03-23,724,127,597
2023-03-24,977,166,811
2023-03-25,953,101,852
2023-03-26,1058,121,937
2023-03-27,1027,193,834
2023-03-28,931,152,779
2023-03-29,935,159,776
2023-03-30,1036,188,848
2023-03-31,1274,172,1102
2023-04-01,1725,135,1590
2023-04-02,1581,131,1450
2023-04-03,1209,177,1032
2023-04-04,1252,165,1087
2023-04-05,1898,139,1759
2023-04-06,1157,176,981
2023-04-07,1161,179,982
2023-04-08,1391,118,1273
2023-04-09,1331,131,1200
2023-04-10,1084,163,921
2023-04-11,1048,166,882
2023-04-12,1032,155,877
2023-04-13,967,114,853
2023-04-14,1032,144,888
2023-04-15,1120,110,1010
2023-04-16,1094,102,992
2023-04-17,1018,163,855
2023-04-18,974,133,841
2023-04-19,960,137,823
2023-04-20,865,120,745
2023-04-21,967,139,828
2023-04-22,972,95,877
