Time,all,pc,wise
2022-10-01,1398,193,1205
2022-10-02,1592,204,1388
2022-10-03,1808,233,1575
2022-10-04,1802,243,1559
2022-10-05,1580,205,1375
2022-10-06,1612,207,1405
2022-10-07,1404,228,1176
2022-10-08,1213,240,973
2022-10-09,1231,250,981
2022-10-10,1591,233,1358
2022-10-11,1449,264,1185
2022-10-12,1549,298,1251
2022-10-13,1463,271,1192
2022-10-14,1523,290,1233
2022-10-15,1714,220,1494
2022-10-16,1747,225,1522
2022-10-17,1329,253,1076
2022-10-18,1351,309,1042
2022-10-19,1271,282,989
2022-10-20,1434,268,1166
2022-10-21,1712,290,1422
2022-10-22,1898,237,1661
2022-10-23,2368,448,1920
2022-10-24,1762,403,1359
2022-10-25,1479,333,1146
2022-10-26,1400,338,1062
2022-10-27,1438,321,1117
2022-10-28,1479,293,1186
2022-10-29,1464,237,1227
2022-10-30,1414,133,1281
2022-10-31,1284,287,997
2022-11-01,1229,257,972
2022-11-02,1360,313,1047
2022-11-03,1313,265,1048
2022-11-04,1399,265,1134
2022-11-05,1440,233,1207
2022-11-06,1286,208,1078
2022-11-07,1219,242,977
2022-11-08,1278,279,999
2022-11-09,1437,381,1056
2022-11-10,1232,268,964
2022-11-11,1229,253,976
2022-11-12,1282,207,1075
2022-11-13,1248,172,1076
2022-11-14,1258,265,993
2022-11-15,1219,256,963
2022-11-16,1194,233,961
2022-11-17,1200,245,955
2022-11-18,1164,209,955
2022-11-19,1226,195,1031
2022-11-20,1164,183,981
2022-11-21,1158,208,950
2022-11-22,1143,234,909
2022-11-23,1086,191,895
2022-11-24,1157,204,953
2022-11-25,1221,234,987
2022-11-26,1177,204,973
2022-11-27,1200,194,1006
2022-11-28,1179,222,957
2022-11-29,1165,229,936
2022-11-30,1135,226,909
2022-12-01,1165,259,906
2022-12-02,1120,215,905
2022-12-03,1089,169,920
2022-12-04,1110,179,931
2022-12-05,1129,228,901
2022-12-06,1158,228,930
2022-12-07,1126,209,917
2022-12-08,1103,201,902
2022-12-09,1136,213,923
2022-12-10,1055,152,903
2022-12-11,1078,173,905
2022-12-12,1091,209,882
2022-12-13,1038,176,862
2022-12-14,1079,200,879
2022-12-15,1084,215,869
2022-12-16,1083,225,858
2022-12-17,1053,168,885
2022-12-18,1063,166,897
2022-12-19,1057,182,875
2022-12-20,1056,176,880
2022-12-21,1103,219,884
2022-12-22,1096,191,905
2022-12-23,1069,175,894
2022-12-24,1043,157,886
2022-12-25,1074,169,905
2022-12-26,1155,212,943
2022-12-27,1123,222,901
2022-12-28,1098,186,912
2022-12-29,1108,219,889
2022-12-30,1092,207,885
2022-12-31,1082,180,902
2023-01-01,1057,152,905
2023-01-02,1090,158,932
2023-01-03,1112,208,904
2023-01-04,1065,186,879
2023-01-05,1095,209,886
2023-01-06,1123,233,890
2023-01-07,1082,172,910
2023-01-08,1050,155,895
2023-01-09,1086,193,893
2023-01-10,1080,209,871
2023-01-11,1066,195,871
2023-01-12,1215,299,916
2023-01-13,1107,213,894
2023-01-14,1114,193,921
2023-01-15,1200,223,977
2023-01-16,1676,475,1201
2023-01-17,1517,347,1170
2023-01-18,2121,395,1726
2023-01-19,2953,295,2658
2023-01-20,1593,282,1311
2023-01-21,1536,195,1341
2023-01-22,1715,264,1451
2023-01-23,3404,535,2869
2023-01-24,3695,564,3131
2023-01-25,3171,430,2741
2023-01-26,2850,355,2495
2023-01-27,2442,329,2113
2023-01-28,2203,377,1826
2023-01-29,2261,392,1869
2023-01-30,2098,501,1597
2023-01-31,1981,406,1575
2023-02-01,1844,405,1439
2023-02-02,1898,434,1464
2023-02-03,1852,400,1452
2023-02-04,2045,284,1761
2023-02-05,2841,447,2394
2023-02-06,4340,870,3470
2023-02-07,8322,900,7422
2023-02-08,8894,901,7993
2023-02-09,9039,921,8118
2023-02-10,7481,885,6596
2023-02-11,6138,662,5476
2023-02-12,5868,546,5322
2023-02-13,5645,730,4915
2023-02-14,5428,771,4657
2023-02-15,5611,704,4907
2023-02-16,5862,754,5108
2023-02-17,8621,1758,6863
2023-02-18,6076,689,5387
2023-02-19,4807,535,4272
2023-02-20,4545,810,3735
2023-02-21,5203,859,4344
2023-02-22,5055,707,4348
2023-02-23,5068,772,4296
2023-02-24,4232,692,3540
2023-02-25,3820,465,3355
2023-02-26,3675,364,3311
2023-02-27,3481,552,2929
2023-02-28,3658,537,3121
2023-03-01,3564,555,3009
2023-03-02,3796,699,3097
2023-03-03,3267,667,2600
2023-03-04,2972,355,2617
2023-03-05,2727,318,2409
2023-03-06,2690,448,2242
2023-03-07,3121,423,2698
2023-03-08,2387,405,1982
2023-03-09,2577,371,2206
2023-03-10,2469,411,2058
2023-03-11,2341,273,2068
2023-03-12,2290,301,1989
2023-03-13,2317,400,1917
2023-03-14,2003,414,1589
2023-03-15,1859,403,1456
2023-03-16,1967,408,1559
2023-03-17,2100,459,1641
2023-03-18,2522,302,2220
2023-03-19,2307,253,2054
2023-03-20,3035,496,2539
2023-03-21,16405,3461,12944
2023-03-22,6907,939,5968
2023-03-23,5213,850,4363
2023-03-24,6715,871,5844
2023-03-25,5751,586,5165
2023-03-26,5101,583,4518
2023-03-27,3804,768,3036
2023-03-28,3094,640,2454
2023-03-29,3518,566,2952
2023-03-30,2962,509,2453
2023-03-31,2519,501,2018
2023-04-01,2231,276,1955
2023-04-02,2007,248,1759
2023-04-03,1944,496,1448
2023-04-04,1781,381,1400
2023-04-05,1701,233,1468
2023-04-06,1455,349,1106
2023-04-07,1247,253,994
2023-04-08,1216,197,1019
2023-04-09,1206,177,1029
2023-04-10,1237,285,952
2023-04-11,1218,264,954
2023-04-12,1253,296,957
2023-04-13,1192,260,932
2023-04-14,1183,240,943
2023-04-15,1147,193,954
2023-04-16,1168,207,961
2023-04-17,1175,257,918
2023-04-18,1343,323,1020
2023-04-19,1334,330,1004
2023-04-20,1352,309,1043
2023-04-21,1224,243,981
2023-04-22,1214,218,996
