Time,all,pc,wise
2022-10-01,1275,131,1144
2022-10-02,1430,123,1307
2022-10-03,1579,144,1435
2022-10-04,1512,157,1355
2022-10-05,1449,155,1294
2022-10-06,1421,139,1282
2022-10-07,1344,170,1174
2022-10-08,1652,287,1365
2022-10-09,1543,262,1281
2022-10-10,1185,190,995
2022-10-11,1297,173,1124
2022-10-12,1333,204,1129
2022-10-13,1180,176,1004
2022-10-14,1164,161,1003
2022-10-15,2186,197,1989
2022-10-16,2006,169,1837
2022-10-17,1464,243,1221
2022-10-18,1287,190,1097
2022-10-19,1246,188,1058
2022-10-20,1608,216,1392
2022-10-21,1474,208,1266
2022-10-22,1409,148,1261
2022-10-23,1986,163,1823
2022-10-24,2021,195,1826
2022-10-25,2026,209,1817
2022-10-26,1604,172,1432
2022-10-27,1840,205,1635
2022-10-28,1864,175,1689
2022-10-29,2067,162,1905
2022-10-30,1946,78,1868
2022-10-31,1329,172,1157
2022-11-01,1299,190,1109
2022-11-02,1248,198,1050
2022-11-03,1250,209,1041
2022-11-04,1341,175,1166
2022-11-05,1661,182,1479
2022-11-06,1444,158,1286
2022-11-07,1304,188,1116
2022-11-08,1323,184,1139
2022-11-09,1215,162,1053
2022-11-10,1248,187,1061
2022-11-11,1388,165,1223
2022-11-12,2349,195,2154
2022-11-13,1914,175,1739
2022-11-14,1411,180,1231
2022-11-15,1412,220,1192
2022-11-16,2189,268,1921
2022-11-17,1765,233,1532
2022-11-18,2033,204,1829
2022-11-19,2576,220,2356
2022-11-20,2090,170,1920
2022-11-21,1656,201,1455
2022-11-22,2108,253,1855
2022-11-23,3485,420,3065
2022-11-24,5163,417,4746
2022-11-25,6105,533,5572
2022-11-26,5627,338,5289
2022-11-27,4662,282,4380
2022-11-28,3152,312,2840
2022-11-29,2966,315,2651
2022-11-30,2552,273,2279
2022-12-01,2261,253,2008
2022-12-02,2395,281,2114
2022-12-03,2544,211,2333
2022-12-04,2493,187,2306
2022-12-05,1943,225,1718
2022-12-06,2106,233,1873
2022-12-07,1713,223,1490
2022-12-08,2440,299,2141
2022-12-09,2725,242,2483
2022-12-10,2715,197,2518
2022-12-11,2469,197,2272
2022-12-12,1933,204,1729
2022-12-13,1931,218,1713
2022-12-14,1864,218,1646
2022-12-15,2229,254,1975
2022-12-16,2417,205,2212
2022-12-17,3045,200,2845
2022-12-18,2428,184,2244
2022-12-19,1982,219,1763
2022-12-20,2077,220,1857
2022-12-21,1964,205,1759
2022-12-22,2456,245,2211
2022-12-23,2937,248,2689
2022-12-24,3548,219,3329
2022-12-25,3873,240,3633
2022-12-26,3376,254,3122
2022-12-27,2851,270,2581
2022-12-28,2500,270,2230
2022-12-29,3480,343,3137
2022-12-30,3680,352,3328
2022-12-31,4490,273,4217
2023-01-01,3754,236,3518
2023-01-02,3064,236,2828
2023-01-03,2562,296,2266
2023-01-04,2214,242,1972
2023-01-05,2821,326,2495
2023-01-06,2840,284,2556
2023-01-07,2616,237,2379
2023-01-08,2433,186,2247
2023-01-09,2074,229,1845
2023-01-10,1866,205,1661
2023-01-11,1959,219,1740
2023-01-12,2761,250,2511
2023-01-13,2641,239,2402
2023-01-14,2383,198,2185
2023-01-15,2085,169,1916
2023-01-16,1777,222,1555
2023-01-17,1738,211,1527
2023-01-18,1709,216,1493
2023-01-19,1925,209,1716
2023-01-20,1937,161,1776
2023-01-21,1796,152,1644
2023-01-22,1682,123,1559
2023-01-23,1634,133,1501
2023-01-24,1613,121,1492
2023-01-25,1642,152,1490
2023-01-26,2905,169,2736
2023-01-27,2579,190,2389
2023-01-28,2363,250,2113
2023-01-29,2163,265,1898
2023-01-30,1853,240,1613
2023-01-31,1739,251,1488
2023-02-01,1687,216,1471
2023-02-02,1880,219,1661
2023-02-03,1775,212,1563
2023-02-04,1896,159,1737
2023-02-05,1801,154,1647
2023-02-06,1520,204,1316
2023-02-07,1285,197,1088
2023-02-08,1312,195,1117
2023-02-09,1569,198,1371
2023-02-10,1641,212,1429
2023-02-11,1569,187,1382
2023-02-12,1526,188,1338
2023-02-13,1338,237,1101
2023-02-14,1233,236,997
2023-02-15,1212,202,1010
2023-02-16,1518,239,1279
2023-02-17,1722,319,1403
2023-02-18,1903,195,1708
2023-02-19,2565,168,2397
2023-02-20,2209,208,2001
2023-02-21,3612,617,2995
2023-02-22,3900,662,3238
2023-02-23,3759,651,3108
2023-02-24,3488,569,2919
2023-02-25,3457,364,3093
2023-02-26,3323,335,2988
2023-02-27,2639,405,2234
2023-02-28,2428,358,2070
2023-03-01,2345,318,2027
