Time,all,pc,wise
2022-10-01,462,97,365
2022-10-02,522,99,423
2022-10-03,541,104,437
2022-10-04,472,95,377
2022-10-05,525,95,430
2022-10-06,481,102,379
2022-10-07,531,123,408
2022-10-08,417,108,309
2022-10-09,464,95,369
2022-10-10,469,121,348
2022-10-11,531,101,430
2022-10-12,485,102,383
2022-10-13,460,99,361
2022-10-14,500,112,388
2022-10-15,556,87,469
2022-10-16,610,89,521
2022-10-17,640,127,513
2022-10-18,620,101,519
2022-10-19,596,95,501
2022-10-20,559,123,436
2022-10-21,553,127,426
2022-10-22,472,89,383
2022-10-23,496,78,418
2022-10-24,456,116,340
2022-10-25,475,114,361
2022-10-26,492,123,369
2022-10-27,556,104,452
2022-10-28,758,135,623
2022-10-29,817,112,705
2022-10-30,734,76,658
2022-10-31,729,140,589
2022-11-01,529,102,427
2022-11-02,525,112,413
2022-11-03,633,139,494
2022-11-04,651,118,533
2022-11-05,918,106,812
2022-11-06,921,133,788
2022-11-07,638,148,490
2022-11-08,601,118,483
2022-11-09,612,121,491
2022-11-10,498,99,399
2022-11-11,486,102,384
2022-11-12,536,97,439
2022-11-13,528,99,429
2022-11-14,498,112,386
2022-11-15,489,120,369
2022-11-16,559,137,422
2022-11-17,486,114,372
2022-11-18,513,87,426
2022-11-19,565,106,459
2022-11-20,491,87,404
2022-11-21,509,114,395
2022-11-22,435,97,338
2022-11-23,450,116,334
2022-11-24,424,101,323
2022-11-25,453,97,356
2022-11-26,504,95,409
2022-11-27,529,89,440
2022-11-28,493,106,387
2022-11-29,536,125,411
2022-11-30,641,85,556
2022-12-01,461,85,376
2022-12-02,487,89,398
2022-12-03,493,102,391
2022-12-04,510,101,409
2022-12-05,413,97,316
2022-12-06,445,121,324
2022-12-07,459,110,349
2022-12-08,410,112,298
2022-12-09,435,89,346
2022-12-10,441,104,337
2022-12-11,421,80,341
2022-12-12,370,74,296
2022-12-13,382,97,285
2022-12-14,356,108,248
2022-12-15,354,95,259
2022-12-16,418,123,295
2022-12-17,390,78,312
2022-12-18,404,102,302
2022-12-19,389,104,285
2022-12-20,376,89,287
2022-12-21,410,114,296
2022-12-22,432,99,333
2022-12-23,444,95,349
2022-12-24,432,87,345
2022-12-25,409,102,307
2022-12-26,436,87,349
2022-12-27,464,83,381
2022-12-28,469,95,374
2022-12-29,399,80,319
2022-12-30,405,82,323
2022-12-31,359,82,277
2023-01-01,385,76,309
2023-01-02,399,87,312
2023-01-03,448,83,365
2023-01-04,540,108,432
2023-01-05,454,114,340
2023-01-06,461,101,360
2023-01-07,442,89,353
2023-01-08,423,85,338
2023-01-09,423,120,303
2023-01-10,378,91,287
2023-01-11,402,114,288
2023-01-12,442,104,338
2023-01-13,497,97,400
2023-01-14,429,99,330
2023-01-15,399,82,317
2023-01-16,410,104,306
2023-01-17,583,110,473
2023-01-18,525,112,413
2023-01-19,477,83,394
2023-01-20,515,85,430
2023-01-21,359,74,285
2023-01-22,425,74,351
2023-01-23,545,80,465
2023-01-24,642,83,559
2023-01-25,652,93,559
2023-01-26,556,104,452
2023-01-27,475,87,388
2023-01-28,436,106,330
2023-01-29,429,108,321
2023-01-30,454,114,340
2023-01-31,454,127,327
2023-02-01,391,99,292
2023-02-02,444,121,323
2023-02-03,448,125,323
2023-02-04,417,91,326
2023-02-05,422,101,321
2023-02-06,396,97,299
2023-02-07,392,108,284
2023-02-08,397,95,302
2023-02-09,467,116,351
2023-02-10,410,93,317
2023-02-11,429,78,351
2023-02-12,438,101,337
2023-02-13,353,80,273
2023-02-14,358,83,275
2023-02-15,355,93,262
2023-02-16,367,106,261
2023-02-17,336,91,245
2023-02-18,379,104,275
2023-02-19,378,72,306
2023-02-20,336,87,249
2023-02-21,343,108,235
2023-02-22,379,106,273
2023-02-23,385,108,277
2023-02-24,388,99,289
2023-02-25,396,95,301
2023-02-26,349,82,267
2023-02-27,347,85,262
2023-02-28,408,102,306
2023-03-01,551,83,468
2023-03-02,596,121,475
2023-03-03,512,133,379
2023-03-04,449,97,352
2023-03-05,427,99,328
2023-03-06,422,89,333
2023-03-07,516,112,404
2023-03-08,360,85,275
2023-03-09,425,99,326
2023-03-10,385,78,307
2023-03-11,430,99,331
2023-03-12,450,116,334
2023-03-13,416,114,302
2023-03-14,462,116,346
2023-03-15,457,108,349
2023-03-16,438,83,355
2023-03-17,396,95,301
2023-03-18,369,89,280
2023-03-19,363,85,278
2023-03-20,404,91,313
2023-03-21,429,112,317
2023-03-22,448,110,338
2023-03-23,400,129,271
2023-03-24,357,82,275
2023-03-25,398,95,303
2023-03-26,355,78,277
2023-03-27,371,93,278
2023-03-28,402,120,282
2023-03-29,354,106,248
2023-03-30,351,89,262
2023-03-31,339,93,246
2023-04-01,358,97,261
2023-04-02,338,89,249
2023-04-03,382,97,285
2023-04-04,384,97,287
2023-04-05,389,87,302
2023-04-06,380,95,285
2023-04-07,377,99,278
2023-04-08,601,97,504
2023-04-09,593,106,487
2023-04-10,412,114,298
2023-04-11,395,108,287
2023-04-12,338,89,249
2023-04-13,417,114,303
2023-04-14,347,106,241
2023-04-15,391,82,309
2023-04-16,342,85,257
2023-04-17,329,104,225
2023-04-18,368,80,288
2023-04-19,288,80,208
2023-04-20,302,78,224
2023-04-21,344,99,245
2023-04-22,340,87,253
