Time,all,pc,wise
2022-10-01,3267,397,2870
2022-10-02,3470,377,3093
2022-10-03,3384,385,2999
2022-10-04,3481,422,3059
2022-10-05,3340,369,2971
2022-10-06,3333,361,2972
2022-10-07,3065,406,2659
2022-10-08,2807,445,2362
2022-10-09,2873,434,2439
2022-10-10,2652,433,2219
2022-10-11,2660,423,2237
2022-10-12,2885,461,2424
2022-10-13,3108,476,2632
2022-10-14,3379,485,2894
2022-10-15,3877,378,3499
2022-10-16,4016,399,3617
2022-10-17,3824,519,3305
2022-10-18,4773,716,4057
2022-10-19,3832,533,3299
2022-10-20,3532,484,3048
2022-10-21,4299,513,3786
2022-10-22,3900,355,3545
2022-10-23,3725,374,3351
2022-10-24,3382,499,2883
2022-10-25,3312,450,2862
2022-10-26,3415,464,2951
2022-10-27,3364,442,2922
2022-10-28,3364,467,2897
2022-10-29,3317,333,2984
2022-10-30,3228,137,3091
2022-10-31,3057,381,2676
2022-11-01,3016,456,2560
2022-11-02,3045,434,2611
2022-11-03,3110,482,2628
2022-11-04,3472,408,3064
2022-11-05,3414,350,3064
2022-11-06,3559,358,3201
2022-11-07,3532,502,3030
2022-11-08,3440,462,2978
2022-11-09,4477,619,3858
2022-11-10,3866,507,3359
2022-11-11,3732,437,3295
2022-11-12,3972,400,3572
2022-11-13,3818,350,3468
2022-11-14,3333,430,2903
2022-11-15,3351,378,2973
2022-11-16,3525,488,3037
2022-11-17,3253,402,2851
2022-11-18,3426,408,3018
2022-11-19,3683,327,3356
2022-11-20,3696,332,3364
2022-11-21,3432,425,3007
2022-11-22,3195,392,2803
2022-11-23,2993,367,2626
2022-11-24,3274,380,2894
2022-11-25,3348,515,2833
2022-11-26,3361,360,3001
2022-11-27,3418,290,3128
2022-11-28,3177,385,2792
2022-11-29,2957,408,2549
2022-11-30,2761,364,2397
2022-12-01,3814,448,3366
2022-12-02,4773,537,4236
2022-12-03,3110,298,2812
2022-12-04,2984,310,2674
2022-12-05,2755,372,2383
2022-12-06,2853,391,2462
2022-12-07,2623,364,2259
2022-12-08,2683,369,2314
2022-12-09,2397,321,2076
2022-12-10,2493,281,2212
2022-12-11,2414,293,2121
2022-12-12,2212,340,1872
2022-12-13,2220,327,1893
2022-12-14,2133,326,1807
2022-12-15,2323,343,1980
2022-12-16,2415,324,2091
2022-12-17,2465,276,2189
2022-12-18,2456,285,2171
2022-12-19,2201,284,1917
2022-12-20,3360,323,3037
2022-12-21,2599,299,2300
2022-12-22,2674,343,2331
2022-12-23,4107,341,3766
2022-12-24,3008,291,2717
2022-12-25,2776,274,2502
2022-12-26,2828,377,2451
2022-12-27,2970,383,2587
2022-12-28,2927,366,2561
2022-12-29,2815,380,2435
2022-12-30,2898,394,2504
2022-12-31,3298,336,2962
2023-01-01,3131,288,2843
2023-01-02,2886,298,2588
2023-01-03,3367,411,2956
2023-01-04,3998,443,3555
2023-01-05,3040,493,2547
2023-01-06,3169,473,2696
2023-01-07,3123,377,2746
2023-01-08,3045,326,2719
2023-01-09,2987,506,2481
2023-01-10,2656,451,2205
2023-01-11,2820,378,2442
2023-01-12,2788,405,2383
2023-01-13,2766,402,2364
2023-01-14,3272,329,2943
2023-01-15,2729,352,2377
2023-01-16,2887,468,2419
2023-01-17,2808,364,2444
2023-01-18,2888,346,2542
2023-01-19,2800,332,2468
2023-01-20,2908,287,2621
2023-01-21,2687,209,2478
2023-01-22,2862,233,2629
2023-01-23,2832,231,2601
2023-01-24,3455,239,3216
2023-01-25,3375,321,3054
2023-01-26,3078,287,2791
2023-01-27,2778,253,2525
2023-01-28,3181,360,2821
2023-01-29,2756,437,2319
2023-01-30,2647,420,2227
2023-01-31,5136,1018,4118
2023-02-01,3137,487,2650
2023-02-02,3935,488,3447
2023-02-03,2864,448,2416
2023-02-04,4430,496,3934
2023-02-05,3740,450,3290
2023-02-06,3023,571,2452
2023-02-07,2926,557,2369
2023-02-08,2735,523,2212
2023-02-09,2482,442,2040
2023-02-10,2525,431,2094
2023-02-11,2533,323,2210
2023-02-12,2452,296,2156
2023-02-13,2425,451,1974
2023-02-14,2355,377,1978
2023-02-15,2474,439,2035
2023-02-16,2362,411,1951
2023-02-17,2253,336,1917
2023-02-18,2417,302,2115
2023-02-19,2339,295,2044
2023-02-20,2285,400,1885
2023-02-21,2304,392,1912
2023-02-22,2584,482,2102
2023-02-23,4111,541,3570
2023-02-24,12928,1429,11499
2023-02-25,14606,1144,13462
2023-02-26,13264,924,12340
2023-02-27,9310,1391,7919
2023-02-28,7755,954,6801
2023-03-01,5946,868,5078
2023-03-02,4762,817,3945
2023-03-03,4091,679,3412
2023-03-04,3433,367,3066
2023-03-05,3140,295,2845
2023-03-06,2800,437,2363
2023-03-07,2574,476,2098
2023-03-08,2365,378,1987
2023-03-09,2394,405,1989
2023-03-10,2412,436,1976
2023-03-11,2829,313,2516
2023-03-12,2687,350,2337
2023-03-13,2312,372,1940
2023-03-14,2334,391,1943
2023-03-15,2453,399,2054
2023-03-16,2466,422,2044
2023-03-17,3003,495,2508
2023-03-18,3001,301,2700
2023-03-19,2766,313,2453
2023-03-20,2485,471,2014
2023-03-21,2472,386,2086
2023-03-22,2421,419,2002
2023-03-23,2359,402,1957
2023-03-24,2467,468,1999
2023-03-25,2518,321,2197
2023-03-26,2456,271,2185
2023-03-27,2509,473,2036
2023-03-28,2374,451,1923
2023-03-29,2468,447,2021
2023-03-30,2390,445,1945
2023-03-31,2399,383,2016
2023-04-01,2801,321,2480
2023-04-02,2770,302,2468
2023-04-03,2524,473,2051
2023-04-04,2430,375,2055
2023-04-05,2485,298,2187
2023-04-06,2273,374,1899
2023-04-07,2217,380,1837
2023-04-08,2298,236,2062
2023-04-09,2364,264,2100
2023-04-10,2343,385,1958
2023-04-11,2653,464,2189
2023-04-12,2626,512,2114
2023-04-13,2548,385,2163
2023-04-14,2429,389,2040
2023-04-15,3544,295,3249
2023-04-16,2397,253,2144
2023-04-17,2259,346,1913
2023-04-18,2481,400,2081
2023-04-19,2534,422,2112
2023-04-20,2636,417,2219
2023-04-21,2719,447,2272
2023-04-22,2885,332,2553
