Time,all,pc,wise
2022-10-01,794,82,712
2022-10-02,845,102,743
2022-10-03,842,80,762
2022-10-04,916,108,808
2022-10-05,971,121,850
2022-10-06,933,110,823
2022-10-07,862,108,754
2022-10-08,809,101,708
2022-10-09,783,116,667
2022-10-10,786,120,666
2022-10-11,727,116,611
2022-10-12,672,112,560
2022-10-13,698,127,571
2022-10-14,733,123,610
2022-10-15,715,106,609
2022-10-16,830,108,722
2022-10-17,695,123,572
2022-10-18,673,129,544
2022-10-19,702,139,563
2022-10-20,875,114,761
2022-10-21,769,116,653
2022-10-22,814,87,727
2022-10-23,822,106,716
2022-10-24,746,91,655
2022-10-25,777,127,650
2022-10-26,772,110,662
2022-10-27,750,99,651
2022-10-28,757,108,649
2022-10-29,784,97,687
2022-10-30,802,68,734
2022-10-31,657,97,560
2022-11-01,653,104,549
2022-11-02,763,101,662
2022-11-03,785,104,681
2022-11-04,708,108,600
2022-11-05,882,106,776
2022-11-06,855,85,770
2022-11-07,662,116,546
2022-11-08,781,108,673
2022-11-09,652,102,550
2022-11-10,669,97,572
2022-11-11,684,95,589
2022-11-12,760,97,663
2022-11-13,820,93,727
2022-11-14,742,131,611
2022-11-15,683,101,582
2022-11-16,689,89,600
2022-11-17,761,102,659
2022-11-18,788,89,699
2022-11-19,947,97,850
2022-11-20,986,91,895
2022-11-21,925,114,811
2022-11-22,810,123,687
2022-11-23,652,101,551
2022-11-24,733,95,638
2022-11-25,897,101,796
2022-11-26,872,118,754
2022-11-27,833,99,734
2022-11-28,713,114,599
2022-11-29,793,97,696
2022-11-30,696,99,597
2022-12-01,763,110,653
2022-12-02,733,85,648
2022-12-03,756,83,673
2022-12-04,777,97,680
2022-12-05,706,101,605
2022-12-06,722,112,610
2022-12-07,725,102,623
2022-12-08,733,101,632
2022-12-09,625,89,536
2022-12-10,633,87,546
2022-12-11,679,74,605
2022-12-12,579,104,475
2022-12-13,574,89,485
2022-12-14,613,101,512
2022-12-15,653,104,549
2022-12-16,665,91,574
2022-12-17,627,102,525
2022-12-18,685,74,611
2022-12-19,627,99,528
2022-12-20,695,102,593
2022-12-21,717,93,624
2022-12-22,707,87,620
2022-12-23,699,104,595
2022-12-24,690,99,591
2022-12-25,970,97,873
2022-12-26,954,121,833
2022-12-27,788,114,674
2022-12-28,792,116,676
2022-12-29,746,123,623
2022-12-30,743,99,644
2022-12-31,757,95,662
2023-01-01,779,87,692
2023-01-02,1019,104,915
2023-01-03,1005,114,891
2023-01-04,1006,150,856
2023-01-05,973,131,842
2023-01-06,807,120,687
2023-01-07,754,102,652
2023-01-08,801,89,712
2023-01-09,769,123,646
2023-01-10,756,131,625
2023-01-11,677,114,563
2023-01-12,714,87,627
2023-01-13,669,102,567
2023-01-14,719,102,617
2023-01-15,888,104,784
2023-01-16,664,104,560
2023-01-17,607,104,503
2023-01-18,607,93,514
2023-01-19,580,87,493
2023-01-20,564,82,482
2023-01-21,832,85,747
2023-01-22,957,89,868
2023-01-23,965,93,872
2023-01-24,954,95,859
2023-01-25,940,89,851
2023-01-26,894,97,797
2023-01-27,1032,112,920
2023-01-28,1129,182,947
2023-01-29,1158,183,975
2023-01-30,998,135,863
2023-01-31,1025,168,857
2023-02-01,913,148,765
2023-02-02,859,135,724
2023-02-03,867,148,719
2023-02-04,802,118,684
2023-02-05,857,95,762
2023-02-06,938,142,796
2023-02-07,1563,270,1293
2023-02-08,1068,155,913
2023-02-09,983,148,835
2023-02-10,790,120,670
2023-02-11,792,112,680
2023-02-12,714,93,621
2023-02-13,768,158,610
2023-02-14,699,129,570
2023-02-15,636,101,535
2023-02-16,648,133,515
2023-02-17,585,114,471
2023-02-18,623,87,536
2023-02-19,604,78,526
2023-02-20,608,112,496
2023-02-21,604,118,486
2023-02-22,599,102,497
2023-02-23,621,120,501
2023-02-24,530,82,448
2023-02-25,584,95,489
2023-02-26,587,82,505
2023-02-27,562,104,458
2023-02-28,572,108,464
2023-03-01,511,102,409
2023-03-02,478,102,376
2023-03-03,490,95,395
2023-03-04,504,97,407
2023-03-05,552,97,455
2023-03-06,509,101,408
2023-03-07,508,93,415
2023-03-08,527,76,451
2023-03-09,460,91,369
2023-03-10,561,104,457
2023-03-11,534,91,443
2023-03-12,549,78,471
2023-03-13,574,108,466
2023-03-14,546,87,459
2023-03-15,624,118,506
2023-03-16,594,104,490
2023-03-17,610,85,525
2023-03-18,630,102,528
2023-03-19,636,89,547
2023-03-20,619,112,507
2023-03-21,603,110,493
2023-03-22,585,102,483
2023-03-23,588,95,493
2023-03-24,689,112,577
2023-03-25,656,85,571
2023-03-26,635,91,544
2023-03-27,572,89,483
2023-03-28,637,95,542
2023-03-29,647,102,545
2023-03-30,644,102,542
2023-03-31,559,102,457
2023-04-01,629,87,542
2023-04-02,680,82,598
2023-04-03,683,101,582
2023-04-04,656,99,557
2023-04-05,666,87,579
2023-04-06,576,116,460
2023-04-07,536,99,437
2023-04-08,633,93,540
2023-04-09,631,78,553
2023-04-10,583,108,475
2023-04-11,682,114,568
2023-04-12,607,121,486
2023-04-13,634,129,505
2023-04-14,544,104,440
2023-04-15,546,74,472
2023-04-16,554,82,472
2023-04-17,596,89,507
2023-04-18,547,93,454
2023-04-19,536,110,426
2023-04-20,530,87,443
2023-04-21,556,102,454
2023-04-22,570,83,487
