Time,all,pc,wise
2022-10-01,5527,426,5101
2022-10-02,5940,552,5388
2022-10-03,6074,493,5581
2022-10-04,6045,471,5574
2022-10-05,5847,504,5343
2022-10-06,5806,496,5310
2022-10-07,6096,442,5654
2022-10-08,4990,647,4343
2022-10-09,6268,768,5500
2022-10-10,5370,749,4621
2022-10-11,5203,734,4469
2022-10-12,5261,761,4500
2022-10-13,5021,701,4320
2022-10-14,4979,636,4343
2022-10-15,5111,516,4595
2022-10-16,5277,490,4787
2022-10-17,4887,726,4161
2022-10-18,4882,744,4138
2022-10-19,5034,689,4345
2022-10-20,5192,682,4510
2022-10-21,5170,698,4472
2022-10-22,5364,569,4795
2022-10-23,5349,485,4864
2022-10-24,5078,692,4386
2022-10-25,4887,636,4251
2022-10-26,4779,636,4143
2022-10-27,5119,664,4455
2022-10-28,5128,568,4560
2022-10-29,4739,296,4443
2022-10-30,4769,133,4636
2022-10-31,4475,347,4128
2022-11-01,9497,911,8586
2022-11-02,8503,870,7633
2022-11-03,6983,675,6308
2022-11-04,6814,591,6223
2022-11-05,6061,363,5698
2022-11-06,6357,346,6011
2022-11-07,5172,713,4459
2022-11-08,4970,661,4309
2022-11-09,4700,597,4103
2022-11-10,4455,572,3883
2022-11-11,5156,636,4520
2022-11-12,5753,513,5240
2022-11-13,6340,400,5940
2022-11-14,4904,611,4293
2022-11-15,4610,549,4061
2022-11-16,4846,588,4258
2022-11-17,4884,561,4323
2022-11-18,5184,574,4610
2022-11-19,5047,439,4608
2022-11-20,5308,367,4941
2022-11-21,4637,541,4096
2022-11-22,5818,628,5190
2022-11-23,6168,627,5541
2022-11-24,6108,513,5595
2022-11-25,7105,735,6370
2022-11-26,6762,516,6246
2022-11-27,7061,470,6591
2022-11-28,6375,644,5731
2022-11-29,6907,623,6284
2022-11-30,5159,504,4655
2022-12-01,4769,533,4236
2022-12-02,5075,595,4480
2022-12-03,4896,394,4502
2022-12-04,4812,378,4434
2022-12-05,4508,530,3978
2022-12-06,5072,575,4497
2022-12-07,4408,569,3839
2022-12-08,4609,585,4024
2022-12-09,4842,597,4245
2022-12-10,4826,433,4393
2022-12-11,6943,537,6406
2022-12-12,4748,538,4210
2022-12-13,4538,592,3946
2022-12-14,4790,538,4252
2022-12-15,7764,816,6948
2022-12-16,7955,608,7347
2022-12-17,5554,397,5157
2022-12-18,4860,369,4491
2022-12-19,4547,454,4093
2022-12-20,6822,647,6175
2022-12-21,5718,665,5053
2022-12-22,5125,513,4612
2022-12-23,4662,490,4172
2022-12-24,4497,366,4131
2022-12-25,5084,378,4706
2022-12-26,4600,526,4074
2022-12-27,4554,487,4067
2022-12-28,4622,552,4070
2022-12-29,4730,563,4167
2022-12-30,4908,572,4336
2022-12-31,5058,409,4649
2023-01-01,5106,440,4666
2023-01-02,5081,428,4653
2023-01-03,4844,583,4261
2023-01-04,4803,609,4194
2023-01-05,4774,578,4196
2023-01-06,4928,575,4353
2023-01-07,4771,389,4382
2023-01-08,4735,408,4327
2023-01-09,4890,561,4329
2023-01-10,4877,589,4288
2023-01-11,5963,670,5293
2023-01-12,7571,827,6744
2023-01-13,5898,608,5290
2023-01-14,5913,416,5497
2023-01-15,5750,443,5307
2023-01-16,5190,597,4593
2023-01-17,4767,502,4265
2023-01-18,4742,459,4283
2023-01-19,4516,397,4119
