Time,all,pc,wise
2022-10-01,2176,168,2008
2022-10-02,2148,194,1954
2022-10-03,2219,172,2047
2022-10-04,2065,172,1893
2022-10-05,1930,173,1757
2022-10-06,2063,202,1861
2022-10-07,1964,195,1769
2022-10-08,2322,253,2069
2022-10-09,2121,218,1903
2022-10-10,1921,223,1698
2022-10-11,1685,193,1492
2022-10-12,1701,228,1473
2022-10-13,1854,243,1611
2022-10-14,1812,223,1589
2022-10-15,2112,180,1932
2022-10-16,2270,187,2083
2022-10-17,1992,213,1779
2022-10-18,1982,245,1737
2022-10-19,1868,236,1632
2022-10-20,1905,219,1686
2022-10-21,2303,225,2078
2022-10-22,2098,205,1893
2022-10-23,2227,169,2058
2022-10-24,1948,212,1736
2022-10-25,1989,237,1752
2022-10-26,2063,247,1816
2022-10-27,2110,262,1848
2022-10-28,1901,198,1703
2022-10-29,2108,219,1889
2022-10-30,1984,85,1899
2022-10-31,1841,219,1622
2022-11-01,1801,215,1586
2022-11-02,1870,265,1605
2022-11-03,2027,327,1700
2022-11-04,1892,209,1683
2022-11-05,3671,216,3455
2022-11-06,2511,207,2304
2022-11-07,2153,240,1913
2022-11-08,2086,251,1835
2022-11-09,1920,251,1669
2022-11-10,1903,207,1696
2022-11-11,7467,675,6792
2022-11-12,5363,336,5027
2022-11-13,3424,213,3211
2022-11-14,2816,302,2514
2022-11-15,4022,324,3698
2022-11-16,2898,243,2655
2022-11-17,2340,259,2081
2022-11-18,3000,236,2764
2022-11-19,4709,288,4421
2022-11-20,4314,226,4088
2022-11-21,3031,274,2757
2022-11-22,2655,253,2402
2022-11-23,2328,240,2088
2022-11-24,2197,243,1954
2022-11-25,2925,274,2651
2022-11-26,2726,209,2517
2022-11-27,2611,219,2392
2022-11-28,2123,220,1903
2022-11-29,2229,213,2016
2022-11-30,2170,229,1941
2022-12-01,2077,194,1883
2022-12-02,2165,213,1952
2022-12-03,2719,216,2503
2022-12-04,2690,220,2470
2022-12-05,2268,226,2042
2022-12-06,2496,243,2253
2022-12-07,1946,209,1737
2022-12-08,3292,257,3035
2022-12-09,2307,253,2054
2022-12-10,2197,188,2009
2022-12-11,2060,183,1877
2022-12-12,7004,318,6686
2022-12-13,2508,223,2285
2022-12-14,2141,229,1912
2022-12-15,2123,212,1911
2022-12-16,2049,202,1847
2022-12-17,2140,195,1945
2022-12-18,2272,207,2065
2022-12-19,1930,193,1737
2022-12-20,2075,207,1868
2022-12-21,2306,218,2088
2022-12-22,4383,234,4149
2022-12-23,2532,248,2284
2022-12-24,2380,226,2154
2022-12-25,2458,194,2264
2022-12-26,2562,237,2325
2022-12-27,2645,262,2383
2022-12-28,2541,231,2310
2022-12-29,2470,216,2254
2022-12-30,2301,198,2103
2022-12-31,2984,198,2786
2023-01-01,2834,187,2647
2023-01-02,2718,166,2552
2023-01-03,2953,245,2708
2023-01-04,2830,222,2608
2023-01-05,2612,257,2355
2023-01-06,2656,254,2402
2023-01-07,4002,256,3746
2023-01-08,4022,250,3772
2023-01-09,2590,276,2314
2023-01-10,2314,254,2060
2023-01-11,2117,240,1877
2023-01-12,2152,264,1888
2023-01-13,2129,240,1889
2023-01-14,2393,186,2207
2023-01-15,2399,159,2240
2023-01-16,3645,251,3394
2023-01-17,2218,267,1951
2023-01-18,2101,200,1901
2023-01-19,1830,165,1665
2023-01-20,1865,163,1702
2023-01-21,1797,140,1657
2023-01-22,6654,216,6438
2023-01-23,3660,207,3453
2023-01-24,2633,159,2474
2023-01-25,2381,162,2219
2023-01-26,2197,170,2027
2023-01-27,2024,183,1841
2023-01-28,2030,218,1812
2023-01-29,1814,208,1606
2023-01-30,1792,187,1605
2023-01-31,2838,468,2370
2023-02-01,2255,284,1971
2023-02-02,1947,229,1718
2023-02-03,1866,219,1647
2023-02-04,2361,253,2108
2023-02-05,2056,239,1817
2023-02-06,1831,304,1527
2023-02-07,1872,248,1624
2023-02-08,3299,273,3026
2023-02-09,2104,267,1837
2023-02-10,3681,315,3366
2023-02-11,2510,213,2297
2023-02-12,2343,191,2152
2023-02-13,3834,538,3296
2023-02-14,2563,361,2202
2023-02-15,2276,374,1902
2023-02-16,2080,341,1739
2023-02-17,1914,295,1619
2023-02-18,2312,205,2107
2023-02-19,1894,184,1710
2023-02-20,2221,318,1903
2023-02-21,1591,231,1360
2023-02-22,1614,228,1386
2023-02-23,1600,223,1377
2023-02-24,1724,236,1488
2023-02-25,1805,179,1626
2023-02-26,1645,175,1470
2023-02-27,1574,212,1362
2023-02-28,1578,234,1344
2023-03-01,2286,236,2050
2023-03-02,1910,233,1677
