Time,all,pc,wise
2022-10-01,4439,274,4165
2022-10-02,4050,329,3721
2022-10-03,4264,298,3966
2022-10-04,3860,302,3558
2022-10-05,3832,309,3523
2022-10-06,3845,333,3512
2022-10-07,3731,333,3398
2022-10-08,3476,434,3042
2022-10-09,4039,470,3569
2022-10-10,3384,507,2877
2022-10-11,3907,569,3338
2022-10-12,3667,482,3185
2022-10-13,3715,451,3264
2022-10-14,3825,451,3374
2022-10-15,4353,349,4004
2022-10-16,4978,369,4609
2022-10-17,4533,594,3939
2022-10-18,4235,492,3743
2022-10-19,3981,527,3454
2022-10-20,3946,512,3434
2022-10-21,4351,586,3765
2022-10-22,4681,423,4258
2022-10-23,4774,454,4320
2022-10-24,4130,577,3553
2022-10-25,3900,524,3376
2022-10-26,3582,561,3021
2022-10-27,3837,569,3268
2022-10-28,3528,363,3165
2022-10-29,3863,360,3503
2022-10-30,3770,139,3631
2022-10-31,3186,367,2819
2022-11-01,4068,383,3685
2022-11-02,5011,730,4281
2022-11-03,4236,510,3726
2022-11-04,4282,524,3758
2022-11-05,4188,377,3811
2022-11-06,8145,490,7655
2022-11-07,7300,847,6453
2022-11-08,4572,577,3995
2022-11-09,4358,523,3835
2022-11-10,4013,453,3560
2022-11-11,4012,465,3547
2022-11-12,4795,409,4386
2022-11-13,4690,374,4316
2022-11-14,3849,464,3385
2022-11-15,3672,464,3208
2022-11-16,3444,378,3066
2022-11-17,3569,397,3172
2022-11-18,4123,386,3737
2022-11-19,4275,324,3951
2022-11-20,3951,318,3633
2022-11-21,3297,397,2900
2022-11-22,3104,383,2721
2022-11-23,2873,355,2518
2022-11-24,2904,341,2563
2022-11-25,3288,426,2862
2022-11-26,3322,284,3038
2022-11-27,3432,318,3114
2022-11-28,3125,378,2747
2022-11-29,3069,360,2709
2022-11-30,3434,354,3080
2022-12-01,4075,355,3720
2022-12-02,4176,381,3795
2022-12-03,4515,327,4188
2022-12-04,4598,346,4252
2022-12-05,3748,367,3381
2022-12-06,4159,336,3823
2022-12-07,3947,417,3530
2022-12-08,4250,797,3453
2022-12-09,3438,392,3046
2022-12-10,3391,290,3101
2022-12-11,3418,281,3137
2022-12-12,3067,312,2755
2022-12-13,3142,371,2771
2022-12-14,3099,374,2725
2022-12-15,3102,354,2748
2022-12-16,3204,307,2897
2022-12-17,3523,262,3261
2022-12-18,3508,281,3227
2022-12-19,2776,262,2514
2022-12-20,2885,316,2569
2022-12-21,2925,304,2621
2022-12-22,3390,360,3030
2022-12-23,4604,380,4224
2022-12-24,4301,301,4000
2022-12-25,4206,273,3933
2022-12-26,3593,347,3246
2022-12-27,3622,378,3244
2022-12-28,3403,372,3031
2022-12-29,3408,357,3051
2022-12-30,2975,341,2634
2022-12-31,2783,287,2496
2023-01-01,3323,254,3069
2023-01-02,3450,287,3163
2023-01-03,2941,457,2484
2023-01-04,2993,388,2605
2023-01-05,3073,414,2659
2023-01-06,2930,383,2547
2023-01-07,2935,302,2633
2023-01-08,2928,287,2641
2023-01-09,2990,420,2570
2023-01-10,2843,448,2395
2023-01-11,3603,346,3257
2023-01-12,3023,440,2583
2023-01-13,2893,391,2502
2023-01-14,2902,302,2600
2023-01-15,2946,267,2679
2023-01-16,2733,363,2370
2023-01-17,2463,316,2147
2023-01-18,2498,278,2220
2023-01-19,2556,291,2265
2023-01-20,2452,208,2244
2023-01-21,3322,215,3107
2023-01-22,3032,198,2834
2023-01-23,3620,239,3381
2023-01-24,3567,267,3300
2023-01-25,3435,276,3159
2023-01-26,3350,253,3097
2023-01-27,3330,234,3096
2023-01-28,3712,347,3365
2023-01-29,3626,377,3249
2023-01-30,4362,507,3855
2023-01-31,4152,543,3609
2023-02-01,3664,399,3265
2023-02-02,3405,426,2979
2023-02-03,3230,451,2779
2023-02-04,3234,315,2919
2023-02-05,3385,298,3087
2023-02-06,3160,475,2685
2023-02-07,3156,484,2672
2023-02-08,2663,402,2261
2023-02-09,2758,388,2370
2023-02-10,2646,399,2247
2023-02-11,2562,282,2280
2023-02-12,2649,309,2340
2023-02-13,2662,409,2253
2023-02-14,2403,412,1991
2023-02-15,2319,354,1965
2023-02-16,2635,364,2271
2023-02-17,2506,350,2156
2023-02-18,2571,278,2293
2023-02-19,2610,259,2351
2023-02-20,2811,433,2378
2023-02-21,2581,388,2193
2023-02-22,2475,374,2101
2023-02-23,2676,431,2245
2023-02-24,2534,383,2151
2023-02-25,2580,233,2347
2023-02-26,2531,262,2269
2023-02-27,2213,312,1901
2023-02-28,2148,327,1821
2023-03-01,2125,290,1835
2023-03-02,2112,290,1822
2023-03-03,2476,338,2138
2023-03-04,2569,237,2332
2023-03-05,2881,274,2607
2023-03-06,2520,330,2190
2023-03-07,2252,304,1948
2023-03-08,2042,264,1778
2023-03-09,2528,367,2161
2023-03-10,2871,367,2504
2023-03-11,4222,285,3937
2023-03-12,3072,285,2787
2023-03-13,2298,285,2013
2023-03-14,2891,374,2517
2023-03-15,2514,341,2173
2023-03-16,2430,349,2081
2023-03-17,2857,366,2491
2023-03-18,4108,290,3818
2023-03-19,3841,358,3483
2023-03-20,2931,431,2500
2023-03-21,2784,391,2393
2023-03-22,2897,402,2495
2023-03-23,3016,375,2641
