index,包贝尔
2023-01-22,1711
2023-01-23,231632
2023-01-24,81300
2023-01-25,157417
2023-01-26,4114
2023-01-27,2350
2023-01-28,103985
2023-01-29,4776
2023-01-30,2604
2023-01-31,676
2023-02-01,2665
2023-02-02,4163
2023-02-03,1223
2023-02-04,6209
2023-02-05,1526
2023-02-06,14720
2023-02-07,20450
2023-02-08,773
2023-02-09,1137
2023-02-10,310
2023-02-11,1901
2023-02-12,386
2023-02-13,834
2023-02-14,11968
2023-02-15,10667
2023-02-16,11775
2023-02-17,887
2023-02-18,1342
2023-02-19,402
2023-02-20,808
2023-02-21,2036
2023-02-22,1193
2023-02-23,3985
2023-02-24,1384
2023-02-25,364
2023-02-26,362
2023-02-27,4162
2023-02-28,722
2023-03-01,2149
2023-03-02,928
2023-03-03,1543
2023-03-04,1855
2023-03-05,350
2023-03-06,3787
2023-03-07,899
2023-03-08,8339
2023-03-09,1048
2023-03-10,1959
2023-03-11,3483
2023-03-12,5507
2023-03-13,47359
2023-03-14,897223
2023-03-15,556517
2023-03-16,46585
2023-03-17,13995
2023-03-18,7572
2023-03-19,97101
2023-03-20,13122
2023-03-21,10716
2023-03-22,3819
2023-03-23,3194
2023-03-24,1683
2023-03-25,9490
2023-03-26,2456
2023-03-27,1570
2023-03-28,2379
2023-03-29,995
2023-03-30,128303
2023-03-31,33159
2023-04-01,2157
2023-04-02,3977
2023-04-03,1268
2023-04-04,6837
2023-04-05,3076
2023-04-06,621693
2023-04-07,54268
2023-04-08,1794
2023-04-09,26347
2023-04-10,1558
2023-04-11,3791
2023-04-12,118323
2023-04-13,3680
2023-04-14,494534
2023-04-15,21656
2023-04-16,2343
2023-04-17,2675
2023-04-18,532296
2023-04-19,7544
2023-04-20,2082
2023-04-21,2185
2023-04-22,16839
