index,吴京
2023-01-22,344547
2023-01-23,275070
2023-01-24,254065
2023-01-25,784264
2023-01-26,1104178
2023-01-27,2246004
2023-01-28,559532
2023-01-29,479852
2023-01-30,937096
2023-01-31,509727
2023-02-01,821743
2023-02-02,472128
2023-02-03,348325
2023-02-04,181556
2023-02-05,139029
2023-02-06,226803
2023-02-07,154056
2023-02-08,147160
2023-02-09,60486
2023-02-10,117638
2023-02-11,47445
2023-02-12,70228
2023-02-13,144305
2023-02-14,78106
2023-02-15,55939
2023-02-16,49226
2023-02-17,52300
2023-02-18,27303
2023-02-19,25267
2023-02-20,37890
2023-02-21,93603
2023-02-22,27773
2023-02-23,34478
2023-02-24,61231
2023-02-25,128499
2023-02-26,36885
2023-02-27,22101
2023-02-28,65253
2023-03-01,52494
2023-03-02,178580
2023-03-03,263712
2023-03-04,17541
2023-03-05,13861
2023-03-06,43259
2023-03-07,38889
2023-03-08,27073
2023-03-09,74920
2023-03-10,85575
2023-03-11,16521
2023-03-12,26890
2023-03-13,42497
2023-03-14,18700
2023-03-15,565496
2023-03-16,96328
2023-03-17,219869
2023-03-18,29421
2023-03-19,31769
2023-03-20,164529
2023-03-21,12890
2023-03-22,20017
2023-03-23,42903
2023-03-24,15890
2023-03-25,13330
2023-03-26,10599
2023-03-27,13332
2023-03-28,20650
2023-03-29,8953
2023-03-30,14954
2023-03-31,92932
2023-04-01,72624
2023-04-02,56521
2023-04-03,300481
2023-04-04,128033
2023-04-05,19987
2023-04-06,40029
2023-04-07,75660
2023-04-08,108540
2023-04-09,148774
2023-04-10,79007
2023-04-11,30882
2023-04-12,51838
2023-04-13,13321
2023-04-14,54616
2023-04-15,23251
2023-04-16,34546
2023-04-17,41430
2023-04-18,21250
2023-04-19,14414
2023-04-20,18190
2023-04-21,165349
2023-04-22,159592
