index,张智霖
2023-01-22,6456
2023-01-23,2431
2023-01-24,3510
2023-01-25,33634
2023-01-26,10187
2023-01-27,24853
2023-01-28,9616
2023-01-29,5476
2023-01-30,7522
2023-01-31,3695
2023-02-01,55614
2023-02-02,9988
2023-02-03,4980
2023-02-04,5584
2023-02-05,4237
2023-02-06,3626
2023-02-07,5530
2023-02-08,104711
2023-02-09,23830
2023-02-10,9719
2023-02-11,5287
2023-02-12,4705
2023-02-13,5938
2023-02-14,8719
2023-02-15,34413
2023-02-16,5712
2023-02-17,14420
2023-02-18,7192
2023-02-19,1913
2023-02-20,14964
2023-02-21,7981
2023-02-22,6637
2023-02-23,5265
2023-02-24,4493
2023-02-25,5667
2023-02-26,1362
2023-02-27,1420
2023-02-28,7190
2023-03-01,6007
2023-03-02,3442
2023-03-03,1568
2023-03-04,4145
2023-03-05,2363
2023-03-06,3177
2023-03-07,1714
2023-03-08,2414
2023-03-09,2427
2023-03-10,1479
2023-03-11,1847
2023-03-12,1335
2023-03-13,4805
2023-03-14,2816
2023-03-15,2025
2023-03-16,1248
2023-03-17,1562
2023-03-18,2272
2023-03-19,2475
2023-03-20,15437
2023-03-21,7027
2023-03-22,4357
2023-03-23,13862
2023-03-24,2426
2023-03-25,1634
2023-03-26,2844
2023-03-27,2731
2023-03-28,50060
2023-03-29,41906
2023-03-30,4525
2023-03-31,25980
2023-04-01,21734
2023-04-02,45100
2023-04-03,7104
2023-04-04,5660
2023-04-05,3125
2023-04-06,3263
2023-04-07,1612
2023-04-08,2042
2023-04-09,2375
2023-04-10,3196
2023-04-11,2518
2023-04-12,3094
2023-04-13,2744
2023-04-14,2433
2023-04-15,2656
2023-04-16,37182
2023-04-17,108936
2023-04-18,183180
2023-04-19,45272
2023-04-20,23742
2023-04-21,11142
2023-04-22,1816
