index,张杰
2023-01-22,211804
2023-01-23,81235
2023-01-24,98780
2023-01-25,110228
2023-01-26,243093
2023-01-27,62096
2023-01-28,77520
2023-01-29,247007
2023-01-30,332583
2023-01-31,379238
2023-02-01,274475
2023-02-02,415977
2023-02-03,568902
2023-02-04,394046
2023-02-05,442011
2023-02-06,292865
2023-02-07,158052
2023-02-08,174556
2023-02-09,335422
2023-02-10,765477
2023-02-11,317321
2023-02-12,206587
2023-02-13,93309
2023-02-14,346488
2023-02-15,425017
2023-02-16,499705
2023-02-17,1684341
2023-02-18,365402
2023-02-19,506025
2023-02-20,721989
2023-02-21,423577
2023-02-22,193609
2023-02-23,435486
2023-02-24,1054058
2023-02-25,331781
2023-02-26,697270
2023-02-27,187958
2023-02-28,231974
2023-03-01,239250
2023-03-02,403126
2023-03-03,648275
2023-03-04,504927
2023-03-05,585089
2023-03-06,1183578
2023-03-07,217192
2023-03-08,609783
2023-03-09,230353
2023-03-10,1001637
2023-03-11,103254
2023-03-12,92588
2023-03-13,542960
2023-03-14,951522
2023-03-15,186933
2023-03-16,1923996
2023-03-17,851733
2023-03-18,249765
2023-03-19,135507
2023-03-20,437757
2023-03-21,982712
2023-03-22,758535
2023-03-23,1095288
2023-03-24,811904
2023-03-25,180928
2023-03-26,119317
2023-03-27,660745
2023-03-28,625289
2023-03-29,684826
2023-03-30,1467695
2023-03-31,1081903
2023-04-01,1482620
2023-04-02,1818180
2023-04-03,1395710
2023-04-04,566224
2023-04-05,737157
2023-04-06,1443970
2023-04-07,1081793
2023-04-08,495839
2023-04-09,421292
2023-04-10,998107
2023-04-11,721928
2023-04-12,560404
2023-04-13,812238
2023-04-14,533219
2023-04-15,937012
2023-04-16,1375028
2023-04-17,861651
2023-04-18,797364
2023-04-19,589461
2023-04-20,975407
2023-04-21,1078764
2023-04-22,1572012
