index,张翰
2023-01-22,16541
2023-01-23,15759
2023-01-24,13677
2023-01-25,18931
2023-01-26,14374
2023-01-27,11980
2023-01-28,14447
2023-01-29,12890
2023-01-30,16007
2023-01-31,18824
2023-02-01,16130
2023-02-02,13891
2023-02-03,16111
2023-02-04,15068
2023-02-05,16857
2023-02-06,11684
2023-02-07,20934
2023-02-08,20553
2023-02-09,13280
2023-02-10,11936
2023-02-11,13095
2023-02-12,12521
2023-02-13,21563
2023-02-14,16849
2023-02-15,15562
2023-02-16,26879
2023-02-17,473037
2023-02-18,46589
2023-02-19,25197
2023-02-20,26542
2023-02-21,34690
2023-02-22,26049
2023-02-23,70483
2023-02-24,318124
2023-02-25,22175
2023-02-26,29697
2023-02-27,19088
2023-02-28,19943
2023-03-01,21413
2023-03-02,15698
2023-03-03,14759
2023-03-04,13308
2023-03-05,27737
2023-03-06,19162
2023-03-07,18089
2023-03-08,240189
2023-03-09,20114
2023-03-10,14309
2023-03-11,12437
2023-03-12,12078
2023-03-13,13035
2023-03-14,19928
2023-03-15,14717
2023-03-16,12271
2023-03-17,21994
2023-03-18,18318
2023-03-19,13356
2023-03-20,15011
2023-03-21,18255
2023-03-22,13991
2023-03-23,16335
2023-03-24,16503
2023-03-25,13638
2023-03-26,12557
2023-03-27,19174
2023-03-28,13130
2023-03-29,14012
2023-03-30,18923
2023-03-31,15684
2023-04-01,16903
2023-04-02,13951
2023-04-03,18806
2023-04-04,13472
2023-04-05,13761
2023-04-06,14005
2023-04-07,12628
2023-04-08,15522
2023-04-09,12639
2023-04-10,13429
2023-04-11,11932
2023-04-12,13464
2023-04-13,12336
2023-04-14,13441
2023-04-15,24932
2023-04-16,24951
2023-04-17,26593
2023-04-18,26655
2023-04-19,58242
2023-04-20,144617
2023-04-21,35635
2023-04-22,116377
