index,徐峥
2023-01-22,782
2023-01-23,2146
2023-01-24,2709
2023-01-25,1312
2023-01-26,2376
2023-01-27,14265
2023-01-28,48200
2023-01-29,243700
2023-01-30,11093
2023-01-31,103294
2023-02-01,3327
2023-02-02,22202
2023-02-03,6780
2023-02-04,2325
2023-02-05,1485
2023-02-06,2121
2023-02-07,1538
2023-02-08,1940
2023-02-09,3036
2023-02-10,7250
2023-02-11,2794
2023-02-12,970
2023-02-13,1398
2023-02-14,2834
2023-02-15,2511
2023-02-16,3338
2023-02-17,980
2023-02-18,8943
2023-02-19,2315
2023-02-20,5273
2023-02-21,1537
2023-02-22,4259
2023-02-23,4834
2023-02-24,3556
2023-02-25,1490
2023-02-26,1261
2023-02-27,6530
2023-02-28,1951
2023-03-01,2198
2023-03-02,1257
2023-03-03,4076
2023-03-04,1403
2023-03-05,1387
2023-03-06,5064
2023-03-07,384
2023-03-08,578
2023-03-09,812
2023-03-10,814
2023-03-11,1569
2023-03-12,12029
2023-03-13,1302
2023-03-14,805
2023-03-15,680
2023-03-16,1612
2023-03-17,2650
2023-03-18,8402
2023-03-19,33806
2023-03-20,29101
2023-03-21,24097
2023-03-22,657815
2023-03-23,150778
2023-03-24,13403
2023-03-25,4503
2023-03-26,3857
2023-03-27,32300
2023-03-28,27121
2023-03-29,10296
2023-03-30,3050
2023-03-31,1034
2023-04-01,3471
2023-04-02,3670
2023-04-03,2302
2023-04-04,280122
2023-04-05,6960
2023-04-06,11228
2023-04-07,32308
2023-04-08,307453
2023-04-09,50606
2023-04-10,16163
2023-04-11,16112
2023-04-12,38625
2023-04-13,461232
2023-04-14,79615
2023-04-15,129889
2023-04-16,17822
2023-04-17,11970
2023-04-18,12448
2023-04-19,145918
2023-04-20,14444
2023-04-21,23782
2023-04-22,50933
