index,杨洋
2023-01-22,821097
2023-01-23,610311
2023-01-24,371667
2023-01-25,596125
2023-01-26,740879
2023-01-27,1102858
2023-01-28,1379707
2023-01-29,905639
2023-01-30,731800
2023-01-31,1693232
2023-02-01,1056362
2023-02-02,561816
2023-02-03,389729
2023-02-04,353362
2023-02-05,727430
2023-02-06,1214154
2023-02-07,770528
2023-02-08,602654
2023-02-09,491154
2023-02-10,364674
2023-02-11,496169
2023-02-12,305126
2023-02-13,534713
2023-02-14,848517
2023-02-15,336336
2023-02-16,526729
2023-02-17,314479
2023-02-18,419935
2023-02-19,1123446
2023-02-20,594086
2023-02-21,787914
2023-02-22,452066
2023-02-23,512144
2023-02-24,290232
2023-02-25,923278
2023-02-26,888388
2023-02-27,911424
2023-02-28,637678
2023-03-01,558459
2023-03-02,317214
2023-03-03,659212
2023-03-04,913522
2023-03-05,306410
2023-03-06,2330878
2023-03-07,1029838
2023-03-08,637015
2023-03-09,299650
2023-03-10,1110044
2023-03-11,653533
2023-03-12,327211
2023-03-13,276458
2023-03-14,1086751
2023-03-15,1272924
2023-03-16,700805
2023-03-17,2553644
2023-03-18,725155
2023-03-19,831790
2023-03-20,635335
2023-03-21,1205690
2023-03-22,948887
2023-03-23,2060837
2023-03-24,2899199
2023-03-25,618757
2023-03-26,314565
2023-03-27,2368757
2023-03-28,2047714
2023-03-29,2982060
2023-03-30,1592478
2023-03-31,1040394
2023-04-01,1247071
2023-04-02,905179
2023-04-03,593509
2023-04-04,558514
2023-04-05,582313
2023-04-06,1782388
2023-04-07,2288937
2023-04-08,3555113
2023-04-09,1371104
2023-04-10,514026
2023-04-11,660348
2023-04-12,368699
2023-04-13,2311837
2023-04-14,802471
2023-04-15,2061626
2023-04-16,1378163
2023-04-17,932959
2023-04-18,735144
2023-04-19,1113710
2023-04-20,738593
2023-04-21,603622
2023-04-22,278785
