index,白客
2023-01-22,45311
2023-01-23,87584
2023-01-24,28379
2023-01-25,5023
2023-01-26,5255
2023-01-27,1846
2023-01-28,14105
2023-01-29,2554
2023-01-30,6548
2023-01-31,7672
2023-02-01,3181
2023-02-02,5145
2023-02-03,126463
2023-02-04,80707
2023-02-05,230587
2023-02-06,197981
2023-02-07,62712
2023-02-08,178255
2023-02-09,79183
2023-02-10,12554
2023-02-11,36173
2023-02-12,8380
2023-02-13,43968
2023-02-14,22199
2023-02-15,31275
2023-02-16,209622
2023-02-17,717203
2023-02-18,158930
2023-02-19,12358
2023-02-20,54719
2023-02-21,136862
2023-02-22,20654
2023-02-23,135319
2023-02-24,135967
2023-02-25,21027
2023-02-26,7221
2023-02-27,7121
2023-02-28,12623
2023-03-01,9750
2023-03-02,69115
2023-03-03,144607
2023-03-04,4829
2023-03-05,14672
2023-03-06,26617
2023-03-07,20191
2023-03-08,4817
2023-03-09,3038
2023-03-10,49900
2023-03-11,3659
2023-03-12,6691
2023-03-13,15014
2023-03-14,34054
2023-03-15,87726
2023-03-16,230668
2023-03-17,119036
2023-03-18,33734
2023-03-19,7512
2023-03-20,312710
2023-03-21,240294
2023-03-22,111279
2023-03-23,18184
2023-03-24,186145
2023-03-25,379478
2023-03-26,43351
2023-03-27,30305
2023-03-28,43851
2023-03-29,107502
2023-03-30,17066
2023-03-31,54978
2023-04-01,13292
2023-04-02,3774
2023-04-03,3108
2023-04-04,20481
2023-04-05,3490
2023-04-06,2362
2023-04-07,8922
2023-04-08,2181
2023-04-09,1991
2023-04-10,1972
2023-04-11,1749
2023-04-12,945
2023-04-13,1473
2023-04-14,2137
2023-04-15,2788
2023-04-16,1303
2023-04-17,4611
2023-04-18,2855
2023-04-19,1872
2023-04-20,1050
2023-04-21,649
2023-04-22,871
