index,蒋劲夫
2023-01-22,160
2023-01-23,119
2023-01-24,174
2023-01-25,101
2023-01-26,58
2023-01-27,4444
2023-01-28,139
2023-01-29,145
2023-01-30,65
2023-01-31,14261
2023-02-01,9512
2023-02-02,2029
2023-02-03,1848
2023-02-04,1426
2023-02-05,219
2023-02-06,2686
2023-02-07,232
2023-02-08,567
2023-02-09,294
2023-02-10,114
2023-02-11,230
2023-02-12,447
2023-02-13,381
2023-02-14,742
2023-02-15,195
2023-02-16,128
2023-02-17,141
2023-02-18,122
2023-02-19,147
2023-02-20,121
2023-02-21,3328
2023-02-22,767
2023-02-23,342
2023-02-24,108
2023-02-25,471
2023-02-26,101
2023-02-27,208
2023-02-28,362
2023-03-01,132
2023-03-02,321
2023-03-03,72
2023-03-04,288
2023-03-05,102
2023-03-06,88
2023-03-07,151
2023-03-08,64
2023-03-09,67
2023-03-10,47
2023-03-11,88
2023-03-12,67
2023-03-13,89
2023-03-14,164
2023-03-15,192
2023-03-16,184
2023-03-17,253
2023-03-18,78
2023-03-19,101
2023-03-20,1031
2023-03-21,152
2023-03-22,209
2023-03-23,185
2023-03-24,292
2023-03-25,81
2023-03-26,127
2023-03-27,131
2023-03-28,166
2023-03-29,98
2023-03-30,29
2023-03-31,82
2023-04-01,350
2023-04-02,94
2023-04-03,57
2023-04-04,970
2023-04-05,167
2023-04-06,134
2023-04-07,92
2023-04-08,112
2023-04-09,96
2023-04-10,38
2023-04-11,455
2023-04-12,89
2023-04-13,79
2023-04-14,169
2023-04-15,3610
2023-04-16,165
2023-04-17,229
2023-04-18,952
2023-04-19,2069
2023-04-20,1021
2023-04-21,369
2023-04-22,490
