index,邓超
2023-01-22,1797913
2023-01-23,907688
2023-01-24,575328
2023-01-25,261204
2023-01-26,329359
2023-01-27,525337
2023-01-28,172047
2023-01-29,34541
2023-01-30,102662
2023-01-31,204441
2023-02-01,235616
2023-02-02,68399
2023-02-03,773574
2023-02-04,218637
2023-02-05,93442
2023-02-06,139089
2023-02-07,61324
2023-02-08,772862
2023-02-09,316429
2023-02-10,323619
2023-02-11,48782
2023-02-12,84986
2023-02-13,347336
2023-02-14,153283
2023-02-15,599339
2023-02-16,306024
2023-02-17,738347
2023-02-18,153114
2023-02-19,289204
2023-02-20,407908
2023-02-21,246954
2023-02-22,415996
2023-02-23,525824
2023-02-24,881900
2023-02-25,187639
2023-02-26,33558
2023-02-27,160268
2023-02-28,579273
2023-03-01,116838
2023-03-02,141654
2023-03-03,676402
2023-03-04,259107
2023-03-05,161453
2023-03-06,185378
2023-03-07,278377
2023-03-08,129894
2023-03-09,189256
2023-03-10,539751
2023-03-11,201862
2023-03-12,32202
2023-03-13,24572
2023-03-14,50446
2023-03-15,21724
2023-03-16,43382
2023-03-17,160319
2023-03-18,45832
2023-03-19,29252
2023-03-20,57624
2023-03-21,615827
2023-03-22,138879
2023-03-23,72065
2023-03-24,306750
2023-03-25,943887
2023-03-26,448165
2023-03-27,619398
2023-03-28,122244
2023-03-29,168566
2023-03-30,134500
2023-03-31,205732
2023-04-01,157881
2023-04-02,24668
2023-04-03,22208
2023-04-04,49890
2023-04-05,49111
2023-04-06,35959
2023-04-07,251642
2023-04-08,69360
2023-04-09,52330
2023-04-10,21760
2023-04-11,221079
2023-04-12,118450
2023-04-13,70199
2023-04-14,419168
2023-04-15,153664
2023-04-16,54766
2023-04-17,87211
2023-04-18,67990
2023-04-19,182037
2023-04-20,195113
2023-04-21,260715
2023-04-22,109120
