index,陈伟霆
2023-01-22,124628
2023-01-23,22431
2023-01-24,19225
2023-01-25,60827
2023-01-26,114923
2023-01-27,39642
2023-01-28,29783
2023-01-29,22100
2023-01-30,164874
2023-01-31,81586
2023-02-01,108048
2023-02-02,44794
2023-02-03,24968
2023-02-04,27805
2023-02-05,205606
2023-02-06,22184
2023-02-07,25674
2023-02-08,74747
2023-02-09,34480
2023-02-10,216377
2023-02-11,24254
2023-02-12,26822
2023-02-13,84288
2023-02-14,190124
2023-02-15,70676
2023-02-16,130403
2023-02-17,33901
2023-02-18,26737
2023-02-19,24907
2023-02-20,26636
2023-02-21,24623
2023-02-22,24360
2023-02-23,35394
2023-02-24,25730
2023-02-25,67548
2023-02-26,143114
2023-02-27,169206
2023-02-28,159762
2023-03-01,218209
2023-03-02,449856
2023-03-03,329291
2023-03-04,443757
2023-03-05,177325
2023-03-06,154174
2023-03-07,37492
2023-03-08,36152
2023-03-09,37708
2023-03-10,186126
2023-03-11,493524
2023-03-12,151246
2023-03-13,82578
2023-03-14,1086951
2023-03-15,400508
2023-03-16,59197
2023-03-17,294449
2023-03-18,55979
2023-03-19,244390
2023-03-20,36446
2023-03-21,77272
2023-03-22,35038
2023-03-23,155937
2023-03-24,29511
2023-03-25,24676
2023-03-26,369366
2023-03-27,291845
2023-03-28,58298
2023-03-29,76810
2023-03-30,1217625
2023-03-31,557234
2023-04-01,503881
2023-04-02,53303
2023-04-03,62667
2023-04-04,45547
2023-04-05,97210
2023-04-06,999414
2023-04-07,434354
2023-04-08,55616
2023-04-09,66827
2023-04-10,622298
2023-04-11,247749
2023-04-12,160672
2023-04-13,327762
2023-04-14,687406
2023-04-15,207307
2023-04-16,111437
2023-04-17,310197
2023-04-18,103768
2023-04-19,846128
2023-04-20,138410
2023-04-21,187097
2023-04-22,78731
