index,陈建斌
2023-01-22,126060
2023-01-23,14843
2023-01-24,13450
2023-01-25,4271
2023-01-26,4581
2023-01-27,6036
2023-01-28,7108
2023-01-29,4230
2023-01-30,4692
2023-01-31,2897
2023-02-01,7470
2023-02-02,7494
2023-02-03,1715
2023-02-04,2052
2023-02-05,768
2023-02-06,3921
2023-02-07,1881
2023-02-08,3265
2023-02-09,3878
2023-02-10,2336
2023-02-11,1558
2023-02-12,1028
2023-02-13,18128
2023-02-14,10383
2023-02-15,11706
2023-02-16,5609
2023-02-17,6089
2023-02-18,1986
2023-02-19,1525
2023-02-20,4306
2023-02-21,3875
2023-02-22,1695
2023-02-23,1810
2023-02-24,2142
2023-02-25,7722
2023-02-26,559
2023-02-27,1754
2023-02-28,2092
2023-03-01,1303
2023-03-02,1891
2023-03-03,1516
2023-03-04,3314
2023-03-05,1986
2023-03-06,2628
2023-03-07,2982
2023-03-08,2080
2023-03-09,4349
2023-03-10,5185
2023-03-11,1042
2023-03-12,1104
2023-03-13,3446
2023-03-14,4337
2023-03-15,3623
2023-03-16,4220
2023-03-17,6203
2023-03-18,7730
2023-03-19,9008
2023-03-20,8817
2023-03-21,3070
2023-03-22,1831
2023-03-23,1697
2023-03-24,7081
2023-03-25,716
2023-03-26,1897
2023-03-27,10844
2023-03-28,2224
2023-03-29,17424
2023-03-30,4142
2023-03-31,92371
2023-04-01,11028
2023-04-02,3222
2023-04-03,120311
2023-04-04,78026
2023-04-05,15712
2023-04-06,211301
2023-04-07,138037
2023-04-08,67932
2023-04-09,57164
2023-04-10,66705
2023-04-11,86286
2023-04-12,219398
2023-04-13,84017
2023-04-14,66595
2023-04-15,20534
2023-04-16,20461
2023-04-17,34088
2023-04-18,17488
2023-04-19,24094
2023-04-20,11304
2023-04-21,43230
2023-04-22,3611
