index,韩庚
2023-01-22,63309
2023-01-23,6875
2023-01-24,7669
2023-01-25,1612
2023-01-26,1439
2023-01-27,2033
2023-01-28,9768
2023-01-29,6857
2023-01-30,5055
2023-01-31,4339
2023-02-01,3326
2023-02-02,2881
2023-02-03,2268
2023-02-04,3447
2023-02-05,3306
2023-02-06,2250
2023-02-07,4587
2023-02-08,18660
2023-02-09,69999
2023-02-10,38032
2023-02-11,14423
2023-02-12,5991
2023-02-13,5505
2023-02-14,8954
2023-02-15,3338
2023-02-16,2736
2023-02-17,3947
2023-02-18,49546
2023-02-19,64325
2023-02-20,6878
2023-02-21,6566
2023-02-22,421854
2023-02-23,4962
2023-02-24,2404
2023-02-25,246586
2023-02-26,20832
2023-02-27,4274
2023-02-28,128078
2023-03-01,3562
2023-03-02,1308
2023-03-03,1739
2023-03-04,1840
2023-03-05,2022
2023-03-06,4717
2023-03-07,42751
2023-03-08,14169
2023-03-09,2333
2023-03-10,62784
2023-03-11,4154
2023-03-12,2823
2023-03-13,38526
2023-03-14,3336
2023-03-15,2781
2023-03-16,2372
2023-03-17,1806
2023-03-18,14893
2023-03-19,54281
2023-03-20,4137
2023-03-21,1687
2023-03-22,3809
2023-03-23,63042
2023-03-24,72356
2023-03-25,4918
2023-03-26,3678
2023-03-27,11493
2023-03-28,281883
2023-03-29,22856
2023-03-30,5666
2023-03-31,10075
2023-04-01,6056
2023-04-02,32752
2023-04-03,3407
2023-04-04,51591
2023-04-05,6052
2023-04-06,4887
2023-04-07,9134
2023-04-08,34348
2023-04-09,48913
2023-04-10,215309
2023-04-11,125662
2023-04-12,18316
2023-04-13,15890
2023-04-14,83870
2023-04-15,61302
2023-04-16,13300
2023-04-17,41787
2023-04-18,13309
2023-04-19,16665
2023-04-20,38994
2023-04-21,253684
2023-04-22,60951
