index,马天宇
2023-01-22,112172
2023-01-23,26877
2023-01-24,6554
2023-01-25,16859
2023-01-26,6950
2023-01-27,7271
2023-01-28,7635
2023-01-29,9491
2023-01-30,19595
2023-01-31,21886
2023-02-01,16360
2023-02-02,12571
2023-02-03,21425
2023-02-04,14793
2023-02-05,9594
2023-02-06,63330
2023-02-07,38228
2023-02-08,32728
2023-02-09,10648
2023-02-10,39514
2023-02-11,29550
2023-02-12,7009
2023-02-13,31156
2023-02-14,88027
2023-02-15,5381
2023-02-16,5801
2023-02-17,13193
2023-02-18,7518
2023-02-19,7445
2023-02-20,367439
2023-02-21,13515
2023-02-22,5031
2023-02-23,18078
2023-02-24,8103
2023-02-25,4868
2023-02-26,4892
2023-02-27,6955
2023-02-28,10606
2023-03-01,156671
2023-03-02,67587
2023-03-03,29675
2023-03-04,37388
2023-03-05,10286
2023-03-06,10612
2023-03-07,5446
2023-03-08,5051
2023-03-09,6970
2023-03-10,15996
2023-03-11,10795
2023-03-12,5473
2023-03-13,4811
2023-03-14,5885
2023-03-15,6861
2023-03-16,16246
2023-03-17,43801
2023-03-18,8131
2023-03-19,6670
2023-03-20,91847
2023-03-21,7757
2023-03-22,8206
2023-03-23,8444
2023-03-24,6527
2023-03-25,22801
2023-03-26,15987
2023-03-27,109619
2023-03-28,172968
2023-03-29,44349
2023-03-30,88078
2023-03-31,35628
2023-04-01,17724
2023-04-02,6069
2023-04-03,6137
2023-04-04,5818
2023-04-05,4161
2023-04-06,7362
2023-04-07,12703
2023-04-08,11636
2023-04-09,14093
2023-04-10,20615
2023-04-11,6734
2023-04-12,4814
2023-04-13,10207
2023-04-14,36122
2023-04-15,13071
2023-04-16,15409
2023-04-17,8946
2023-04-18,6524
2023-04-19,8383
2023-04-20,13627
2023-04-21,7094
2023-04-22,32302
