index,黄渤
2023-01-22,135419
2023-01-23,204333
2023-01-24,723875
2023-01-25,376985
2023-01-26,345860
2023-01-27,276734
2023-01-28,153968
2023-01-29,136733
2023-01-30,163677
2023-01-31,232342
2023-02-01,237082
2023-02-02,117841
2023-02-03,107713
2023-02-04,137388
2023-02-05,28833
2023-02-06,30807
2023-02-07,17377
2023-02-08,55359
2023-02-09,106441
2023-02-10,28588
2023-02-11,29192
2023-02-12,41294
2023-02-13,29052
2023-02-14,15838
2023-02-15,50707
2023-02-16,88335
2023-02-17,19165
2023-02-18,10534
2023-02-19,28880
2023-02-20,1595621
2023-02-21,232601
2023-02-22,39215
2023-02-23,3931502
2023-02-24,286978
2023-02-25,272773
2023-02-26,51135
2023-02-27,17197
2023-02-28,14816
2023-03-01,15557
2023-03-02,8120
2023-03-03,83666
2023-03-04,10471
2023-03-05,8613
2023-03-06,9771
2023-03-07,7026
2023-03-08,33102
2023-03-09,22138
2023-03-10,9695
2023-03-11,8300
2023-03-12,11225
2023-03-13,15138
2023-03-14,64714
2023-03-15,19625
2023-03-16,6481
2023-03-17,28585
2023-03-18,6061
2023-03-19,23560
2023-03-20,40240
2023-03-21,6439
2023-03-22,13635
2023-03-23,7750
2023-03-24,5226
2023-03-25,9778
2023-03-26,11071
2023-03-27,6132
2023-03-28,3509
2023-03-29,172052
2023-03-30,60106
2023-03-31,14724
2023-04-01,6235
2023-04-02,2059
2023-04-03,87334
2023-04-04,10933
2023-04-05,5854
2023-04-06,208165
2023-04-07,42892
2023-04-08,14741
2023-04-09,4985
2023-04-10,22269
2023-04-11,3545952
2023-04-12,564648
2023-04-13,150054
2023-04-14,79555
2023-04-15,24375
2023-04-16,17350
2023-04-17,23495
2023-04-18,279254
2023-04-19,66765
2023-04-20,47996
2023-04-21,14216
2023-04-22,21240
