Time,all,pc,wise
2022-10-01,12809,792,12017
2022-10-02,13155,864,12291
2022-10-03,14442,885,13557
2022-10-04,17809,879,16930
2022-10-05,18800,893,17907
2022-10-06,16739,891,15848
2022-10-07,12695,867,11828
2022-10-08,11062,903,10159
2022-10-09,10893,915,9978
2022-10-10,10505,905,9600
2022-10-11,11409,903,10506
2022-10-12,10913,930,9983
2022-10-13,10308,904,9404
2022-10-14,10173,893,9280
2022-10-15,12285,876,11409
2022-10-16,12563,851,11712
2022-10-17,10401,904,9497
2022-10-18,10191,909,9282
2022-10-19,9659,881,8778
2022-10-20,9920,880,9040
2022-10-21,11590,879,10711
2022-10-22,12073,858,11215
2022-10-23,11854,850,11004
2022-10-24,9876,888,8988
2022-10-25,10219,907,9312
2022-10-26,9717,911,8806
2022-10-27,9822,884,8938
2022-10-28,10533,933,9600
2022-10-29,11560,884,10676
2022-10-30,10613,307,10306
2022-10-31,9074,869,8205
2022-11-01,10393,899,9494
2022-11-02,12775,980,11795
2022-11-03,13352,968,12384
2022-11-04,12412,931,11481
2022-11-05,13980,900,13080
2022-11-06,14665,883,13782
2022-11-07,39907,2159,37748
2022-11-08,19146,1156,17990
2022-11-09,12588,963,11625
2022-11-10,12255,927,11328
2022-11-11,13157,948,12209
2022-11-12,17603,917,16686
2022-11-13,16245,878,15367
2022-11-14,12923,945,11978
2022-11-15,11799,924,10875
2022-11-16,12336,994,11342
2022-11-17,11515,954,10561
2022-11-18,12663,910,11753
2022-11-19,15074,892,14182
2022-11-20,15868,869,14999
2022-11-21,13623,948,12675
2022-11-22,11540,934,10606
2022-11-23,10609,909,9700
2022-11-24,10467,891,9576
2022-11-25,14038,950,13088
2022-11-26,13428,860,12568
2022-11-27,12683,848,11835
2022-11-28,11298,898,10400
2022-11-29,13084,937,12147
2022-11-30,15960,1087,14873
2022-12-01,12242,920,11322
2022-12-02,11774,918,10856
2022-12-03,11961,884,11077
2022-12-04,11776,871,10905
2022-12-05,10111,867,9244
2022-12-06,11210,907,10303
2022-12-07,9574,857,8717
2022-12-08,11135,916,10219
2022-12-09,14802,968,13834
2022-12-10,11939,851,11088
2022-12-11,11421,861,10560
2022-12-12,10426,907,9519
2022-12-13,11365,944,10421
2022-12-14,11235,911,10324
2022-12-15,14131,935,13196
2022-12-16,17559,982,16577
2022-12-17,14540,868,13672
2022-12-18,14555,870,13685
2022-12-19,13649,947,12702
2022-12-20,11667,912,10755
2022-12-21,11874,933,10941
2022-12-22,11897,929,10968
2022-12-23,11702,915,10787
2022-12-24,11764,885,10879
2022-12-25,11790,854,10936
2022-12-26,12563,971,11592
2022-12-27,13269,956,12313
2022-12-28,13491,1000,12491
2022-12-29,14435,1043,13392
2022-12-30,13692,944,12748
2022-12-31,19014,929,18085
2023-01-01,16706,915,15791
2023-01-02,15340,902,14438
2023-01-03,15084,1133,13951
2023-01-04,14969,1033,13936
2023-01-05,15165,1120,14045
2023-01-06,14129,983,13146
2023-01-07,12873,889,11984
2023-01-08,12683,879,11804
2023-01-09,13020,916,12104
2023-01-10,12712,940,11772
2023-01-11,12816,933,11883
2023-01-12,12706,910,11796
2023-01-13,12894,918,11976
2023-01-14,13180,911,12269
2023-01-15,13157,864,12293
2023-01-16,11645,883,10762
