Time,all,pc,wise
2022-10-01,6565,457,6108
2022-10-02,7069,488,6581
2022-10-03,7435,558,6877
2022-10-04,7576,554,7022
2022-10-05,7470,535,6935
2022-10-06,8029,512,7517
2022-10-07,7796,644,7152
2022-10-08,9935,827,9108
2022-10-09,8483,740,7743
2022-10-10,7628,744,6884
2022-10-11,7142,766,6376
2022-10-12,7791,766,7025
2022-10-13,7110,715,6395
2022-10-14,7209,782,6427
2022-10-15,7119,504,6615
2022-10-16,7547,582,6965
2022-10-17,7067,723,6344
2022-10-18,6784,744,6040
2022-10-19,6856,709,6147
2022-10-20,7666,810,6856
2022-10-21,7630,706,6924
2022-10-22,8074,580,7494
2022-10-23,8245,611,7634
2022-10-24,9259,848,8411
2022-10-25,7973,806,7167
2022-10-26,7099,734,6365
2022-10-27,8979,679,8300
2022-10-28,7547,712,6835
2022-10-29,8351,585,7766
2022-10-30,7681,234,7447
2022-10-31,8142,698,7444
2022-11-01,7870,744,7126
2022-11-02,8399,842,7557
2022-11-03,8147,769,7378
2022-11-04,8482,852,7630
2022-11-05,8891,617,8274
2022-11-06,8820,619,8201
2022-11-07,7990,825,7165
2022-11-08,7611,836,6775
2022-11-09,7412,857,6555
2022-11-10,7056,850,6206
2022-11-11,7180,810,6370
2022-11-12,8587,721,7866
2022-11-13,8447,622,7825
2022-11-14,8001,782,7219
2022-11-15,7579,785,6794
2022-11-16,7369,785,6584
2022-11-17,7691,775,6916
2022-11-18,7931,841,7090
2022-11-19,8223,689,7534
2022-11-20,7874,600,7274
2022-11-21,7376,839,6537
2022-11-22,7119,836,6283
2022-11-23,6986,806,6180
2022-11-24,7257,752,6505
2022-11-25,7594,755,6839
2022-11-26,7602,540,7062
2022-11-27,8221,540,7681
2022-11-28,7576,797,6779
2022-11-29,7644,836,6808
2022-11-30,7207,771,6436
2022-12-01,7245,740,6505
2022-12-02,7412,760,6652
2022-12-03,7378,620,6758
2022-12-04,7371,651,6720
2022-12-05,6432,628,5804
2022-12-06,7516,734,6782
2022-12-07,7146,633,6513
2022-12-08,7906,744,7162
2022-12-09,7310,858,6452
2022-12-10,6939,541,6398
2022-12-11,7094,557,6537
2022-12-12,6525,684,5841
2022-12-13,6434,744,5690
2022-12-14,6084,631,5453
2022-12-15,6252,586,5666
2022-12-16,6579,606,5973
2022-12-17,7066,706,6360
2022-12-18,6830,479,6351
2022-12-19,6476,554,5922
2022-12-20,7144,558,6586
2022-12-21,8325,679,7646
2022-12-22,8126,671,7455
2022-12-23,8508,706,7802
2022-12-24,8055,611,7444
2022-12-25,9951,561,9390
2022-12-26,9662,720,8942
2022-12-27,9297,844,8453
2022-12-28,9105,827,8278
2022-12-29,8697,844,7853
2022-12-30,8414,774,7640
2022-12-31,9462,690,8772
2023-01-01,9143,580,8563
2023-01-02,9676,695,8981
2023-01-03,9110,843,8267
2023-01-04,9426,871,8555
2023-01-05,9544,870,8674
2023-01-06,9131,859,8272
2023-01-07,9640,737,8903
2023-01-08,9248,627,8621
2023-01-09,9785,870,8915
2023-01-10,10311,869,9442
2023-01-11,9817,863,8954
2023-01-12,10522,883,9639
2023-01-13,10685,889,9796
2023-01-14,10238,699,9539
2023-01-15,12738,842,11896
2023-01-16,10975,855,10120
2023-01-17,10029,813,9216
2023-01-18,8720,738,7982
2023-01-19,8167,679,7488
2023-01-20,8919,580,8339
2023-01-21,11095,487,10608
2023-01-22,10048,578,9470
2023-01-23,10016,478,9538
2023-01-24,10754,530,10224
2023-01-25,10954,532,10422
2023-01-26,10953,564,10389
2023-01-27,9648,551,9097
2023-01-28,9396,695,8701
2023-01-29,8355,737,7618
2023-01-30,7431,808,6623
2023-01-31,14712,1473,13239
2023-02-01,10818,895,9923
2023-02-02,9374,884,8490
2023-02-03,8606,851,7755
2023-02-04,8386,577,7809
2023-02-05,8648,616,8032
2023-02-06,7756,857,6899
2023-02-07,7876,852,7024
2023-02-08,7945,878,7067
2023-02-09,7500,857,6643
2023-02-10,8576,855,7721
2023-02-11,9175,667,8508
2023-02-12,7689,617,7072
2023-02-13,6794,844,5950
2023-02-14,6439,848,5591
2023-02-15,6419,734,5685
2023-02-16,7186,817,6369
2023-02-17,6605,747,5858
2023-02-18,6970,547,6423
2023-02-19,6852,478,6374
2023-02-20,6405,771,5634
2023-02-21,6445,850,5595
2023-02-22,6665,834,5831
2023-02-23,7246,873,6373
2023-02-24,9565,929,8636
2023-02-25,9859,735,9124
2023-02-26,8562,659,7903
2023-02-27,8005,855,7150
2023-02-28,7430,857,6573
2023-03-01,6435,729,5706
2023-03-02,6306,751,5555
2023-03-03,6304,771,5533
2023-03-04,6437,527,5910
2023-03-05,7169,561,6608
2023-03-06,5699,687,5012
2023-03-07,5680,690,4990
2023-03-08,5463,710,4753
2023-03-09,5926,675,5251
2023-03-10,10873,943,9930
2023-03-11,10038,819,9219
2023-03-12,9533,734,8799
2023-03-13,8268,900,7368
2023-03-14,7867,998,6869
2023-03-15,10808,900,9908
2023-03-16,7681,863,6818
2023-03-17,7971,833,7138
2023-03-18,7384,630,6754
2023-03-19,7123,519,6604
2023-03-20,6419,755,5664
2023-03-21,6452,699,5753
2023-03-22,6580,758,5822
2023-03-23,6706,716,5990
2023-03-24,6985,811,6174
2023-03-25,12072,859,11213
2023-03-26,20124,910,19214
2023-03-27,15825,1275,14550
2023-03-28,11541,958,10583
2023-03-29,10466,930,9536
2023-03-30,9840,915,8925
2023-03-31,8680,895,7785
2023-04-01,8152,656,7496
2023-04-02,8407,591,7816
2023-04-03,7590,864,6726
2023-04-04,7993,868,7125
2023-04-05,8099,617,7482
2023-04-06,7313,853,6460
2023-04-07,6566,799,5767
2023-04-08,6740,597,6143
2023-04-09,6960,608,6352
2023-04-10,6445,819,5626
2023-04-11,6358,796,5562
2023-04-12,6280,721,5559
2023-04-13,6231,822,5409
2023-04-14,6250,780,5470
2023-04-15,6512,623,5889
2023-04-16,6773,551,6222
2023-04-17,6230,684,5546
2023-04-18,6347,799,5548
2023-04-19,7934,845,7089
2023-04-20,8442,880,7562
2023-04-21,7821,900,6921
2023-04-22,8102,651,7451
