Time,all,pc,wise
2022-10-01,25983,857,25126
2022-10-02,17019,755,16264
2022-10-03,12002,668,11334
2022-10-04,9729,614,9115
2022-10-05,8824,600,8224
2022-10-06,8124,616,7508
2022-10-07,7539,561,6978
2022-10-08,16109,892,15217
2022-10-09,14311,908,13403
2022-10-10,10999,923,10076
2022-10-11,12660,948,11712
2022-10-12,11658,924,10734
2022-10-13,8906,864,8042
2022-10-14,7838,822,7016
2022-10-15,8261,647,7614
2022-10-16,7084,479,6605
2022-10-17,6255,676,5579
2022-10-18,5965,699,5266
2022-10-19,6038,690,5348
2022-10-20,6008,696,5312
2022-10-21,5946,673,5273
2022-10-22,6318,529,5789
2022-10-23,6133,420,5713
2022-10-24,5546,645,4901
2022-10-25,6366,656,5710
2022-10-26,5699,651,5048
2022-10-27,5176,606,4570
2022-10-28,5431,696,4735
2022-10-29,5758,437,5321
2022-10-30,4722,191,4531
2022-10-31,4188,515,3673
2022-11-01,4632,558,4074
2022-11-02,4642,496,4146
2022-11-03,4579,630,3949
2022-11-04,6041,675,5366
2022-11-05,8033,513,7520
2022-11-06,5480,433,5047
2022-11-07,5117,580,4537
2022-11-08,4790,543,4247
2022-11-09,4827,583,4244
2022-11-10,7294,704,6590
2022-11-11,14599,1139,13460
2022-11-12,12683,843,11840
2022-11-13,9953,540,9413
2022-11-14,7489,846,6643
2022-11-15,6639,723,5916
2022-11-16,6228,675,5553
2022-11-17,6384,701,5683
2022-11-18,6298,662,5636
2022-11-19,6247,502,5745
2022-11-20,5841,375,5466
2022-11-21,5171,603,4568
2022-11-22,5563,572,4991
2022-11-23,4534,488,4046
2022-11-24,4420,546,3874
2022-11-25,4787,546,4241
2022-11-26,4643,464,4179
2022-11-27,5068,502,4566
2022-11-28,4534,555,3979
2022-11-29,4703,599,4104
2022-11-30,4541,457,4084
2022-12-01,4222,479,3743
2022-12-02,4405,498,3907
2022-12-03,4412,445,3967
2022-12-04,4294,355,3939
2022-12-05,4139,502,3637
2022-12-06,4415,496,3919
2022-12-07,3947,487,3460
2022-12-08,4587,828,3759
2022-12-09,4388,597,3791
2022-12-10,4186,383,3803
2022-12-11,4306,374,3932
2022-12-12,4227,456,3771
2022-12-13,5605,544,5061
2022-12-14,4598,419,4179
2022-12-15,4673,473,4200
2022-12-16,4622,485,4137
2022-12-17,4274,312,3962
2022-12-18,4255,305,3950
2022-12-19,5568,465,5103
2022-12-20,4703,405,4298
2022-12-21,4490,405,4085
2022-12-22,4885,451,4434
2022-12-23,4711,395,4316
2022-12-24,5450,411,5039
2022-12-25,5012,389,4623
2022-12-26,4747,462,4285
2022-12-27,5058,507,4551
2022-12-28,5312,532,4780
2022-12-29,5334,540,4794
2022-12-30,5136,582,4554
2022-12-31,5891,389,5502
2023-01-01,5279,375,4904
2023-01-02,5332,383,4949
2023-01-03,4851,543,4308
2023-01-04,4919,547,4372
2023-01-05,4836,630,4206
2023-01-06,5016,482,4534
2023-01-07,5675,402,5273
2023-01-08,4692,380,4312
2023-01-09,4993,588,4405
2023-01-10,4711,575,4136
2023-01-11,4410,464,3946
2023-01-12,4334,501,3833
2023-01-13,4545,447,4098
2023-01-14,5230,344,4886
2023-01-15,4546,350,4196
2023-01-16,4113,456,3657
2023-01-17,3871,414,3457
2023-01-18,3852,437,3415
2023-01-19,3755,372,3383
2023-01-20,3993,333,3660
2023-01-21,4436,225,4211
2023-01-22,4756,260,4496
2023-01-23,5261,281,4980
2023-01-24,5548,344,5204
2023-01-25,5221,355,4866
2023-01-26,5248,364,4884
2023-01-27,5745,479,5266
2023-01-28,7036,710,6326
2023-01-29,5581,679,4902
2023-01-30,5294,752,4542
2023-01-31,8840,896,7944
2023-02-01,5247,613,4634
2023-02-02,4917,670,4247
2023-02-03,4971,600,4371
