Time,all,pc,wise
2022-10-01,3614,296,3318
2022-10-02,4115,305,3810
2022-10-03,3953,326,3627
2022-10-04,3616,340,3276
2022-10-05,3748,349,3399
2022-10-06,3514,319,3195
2022-10-07,3480,357,3123
2022-10-08,3390,515,2875
2022-10-09,3228,439,2789
2022-10-10,2923,412,2511
2022-10-11,2971,437,2534
2022-10-12,2951,425,2526
2022-10-13,3476,484,2992
2022-10-14,3926,609,3317
2022-10-15,3480,357,3123
2022-10-16,3783,358,3425
2022-10-17,12617,894,11723
2022-10-18,4934,588,4346
2022-10-19,3861,504,3357
2022-10-20,3624,524,3100
2022-10-21,3496,473,3023
2022-10-22,3629,336,3293
2022-10-23,3573,340,3233
2022-10-24,4198,552,3646
2022-10-25,3674,470,3204
2022-10-26,3683,493,3190
2022-10-27,4226,568,3658
2022-10-28,3524,470,3054
2022-10-29,3436,313,3123
2022-10-30,4821,161,4660
2022-10-31,4389,498,3891
2022-11-01,3984,510,3474
2022-11-02,3889,482,3407
2022-11-03,4022,558,3464
2022-11-04,3496,430,3066
2022-11-05,3284,349,2935
2022-11-06,3490,371,3119
2022-11-07,3364,482,2882
2022-11-08,3309,492,2817
2022-11-09,3258,473,2785
2022-11-10,3263,518,2745
2022-11-11,3744,578,3166
2022-11-12,3802,375,3427
2022-11-13,3514,333,3181
2022-11-14,3133,495,2638
2022-11-15,2794,442,2352
2022-11-16,2786,406,2380
2022-11-17,2951,430,2521
2022-11-18,3112,465,2647
2022-11-19,3157,332,2825
2022-11-20,3277,290,2987
2022-11-21,3565,419,3146
2022-11-22,4031,408,3623
2022-11-23,3252,386,2866
2022-11-24,2935,420,2515
2022-11-25,2860,371,2489
2022-11-26,2846,276,2570
2022-11-27,3603,367,3236
2022-11-28,3382,448,2934
2022-11-29,3594,546,3048
2022-11-30,3156,488,2668
2022-12-01,3482,445,3037
2022-12-02,3264,430,2834
2022-12-03,3090,343,2747
2022-12-04,3230,357,2873
2022-12-05,2893,430,2463
2022-12-06,3233,453,2780
2022-12-07,3191,488,2703
2022-12-08,4651,1309,3342
2022-12-09,4445,746,3699
2022-12-10,13665,662,13003
2022-12-11,19416,863,18553
2022-12-12,9879,836,9043
2022-12-13,7590,796,6794
2022-12-14,5820,532,5288
2022-12-15,5042,583,4459
2022-12-16,4953,586,4367
2022-12-17,5019,492,4527
2022-12-18,4716,433,4283
2022-12-19,4099,464,3635
2022-12-20,4295,524,3771
2022-12-21,4160,518,3642
2022-12-22,3961,495,3466
2022-12-23,3962,476,3486
2022-12-24,3632,344,3288
2022-12-25,3867,378,3489
2022-12-26,4007,454,3553
2022-12-27,3687,481,3206
2022-12-28,3477,478,2999
2022-12-29,3835,555,3280
2022-12-30,3641,504,3137
2022-12-31,3625,360,3265
2023-01-01,3902,366,3536
2023-01-02,4206,430,3776
2023-01-03,4438,599,3839
2023-01-04,3845,523,3322
2023-01-05,3739,555,3184
2023-01-06,3648,487,3161
2023-01-07,3562,375,3187
2023-01-08,3740,383,3357
2023-01-09,3912,595,3317
2023-01-10,3960,518,3442
2023-01-11,5591,679,4912
2023-01-12,5109,620,4489
2023-01-13,3334,434,2900
2023-01-14,3021,296,2725
2023-01-15,4341,478,3863
2023-01-16,3643,493,3150
2023-01-17,3302,450,2852
2023-01-18,3021,321,2700
2023-01-19,2952,305,2647
2023-01-20,2604,264,2340
2023-01-21,3805,236,3569
2023-01-22,3056,247,2809
2023-01-23,3457,270,3187
2023-01-24,3623,273,3350
2023-01-25,3562,304,3258
2023-01-26,3154,296,2858
2023-01-27,2963,265,2698
2023-01-28,3096,383,2713
2023-01-29,3525,400,3125
2023-01-30,3165,414,2751
2023-01-31,3618,557,3061
2023-02-01,3467,519,2948
2023-02-02,3492,479,3013
2023-02-03,3430,495,2935
2023-02-04,3417,350,3067
2023-02-05,3203,298,2905
2023-02-06,2885,450,2435
2023-02-07,3028,515,2513
2023-02-08,3211,443,2768
2023-02-09,3188,473,2715
2023-02-10,2720,403,2317
2023-02-11,2840,326,2514
2023-02-12,2931,293,2638
2023-02-13,3096,533,2563
2023-02-14,3374,540,2834
2023-02-15,2861,530,2331
2023-02-16,3086,461,2625
2023-02-17,3225,546,2679
2023-02-18,3067,344,2723
2023-02-19,2997,301,2696
2023-02-20,2704,478,2226
2023-02-21,2410,434,1976
2023-02-22,2253,447,1806
2023-02-23,2405,412,1993
2023-02-24,42748,2977,39771
2023-02-25,12725,703,12022
2023-02-26,7102,395,6707
2023-02-27,4782,699,4083
2023-02-28,3774,524,3250
2023-03-01,3554,453,3101
2023-03-02,3019,499,2520
2023-03-03,3792,459,3333
2023-03-04,3485,315,3170
2023-03-05,3225,310,2915
2023-03-06,6346,555,5791
2023-03-07,3888,426,3462
2023-03-08,3333,372,2961
2023-03-09,3521,478,3043
2023-03-10,3889,563,3326
2023-03-11,3209,333,2876
2023-03-12,3649,364,3285
2023-03-13,3555,423,3132
2023-03-14,3323,488,2835
2023-03-15,7697,888,6809
2023-03-16,5474,740,4734
2023-03-17,4043,592,3451
2023-03-18,5834,400,5434
2023-03-19,4228,381,3847
2023-03-20,5145,732,4413
2023-03-21,3699,506,3193
2023-03-22,9878,957,8921
2023-03-23,9939,918,9021
2023-03-24,8354,903,7451
2023-03-25,6899,636,6263
2023-03-26,8699,716,7983
2023-03-27,27718,1535,26183
2023-03-28,48193,3591,44602
2023-03-29,48036,3519,44517
2023-03-30,52191,3482,48709
2023-03-31,67712,4899,62813
2023-04-01,56118,2528,53590
2023-04-02,55445,2617,52828
2023-04-03,51287,3799,47488
2023-04-04,56448,3954,52494
2023-04-05,66681,2993,63688
2023-04-06,54169,4409,49760
2023-04-07,43972,3633,40339
2023-04-08,49594,2361,47233
2023-04-09,60707,2537,58170
2023-04-10,50987,4122,46865
2023-04-11,42137,3342,38795
2023-04-12,38956,3166,35790
2023-04-13,36223,3153,33070
2023-04-14,45113,2791,42322
2023-04-15,34551,1695,32856
2023-04-16,28356,1295,27061
2023-04-17,21474,1979,19495
2023-04-18,20268,1883,18385
2023-04-19,17937,1569,16368
2023-04-20,16226,1471,14755
2023-04-21,16799,1486,15313
2023-04-22,17949,984,16965
