Time,all,pc,wise
2022-10-01,3691,304,3387
2022-10-02,3893,327,3566
2022-10-03,3872,377,3495
2022-10-04,6390,777,5613
2022-10-05,5314,639,4675
2022-10-06,4762,431,4331
2022-10-07,4297,430,3867
2022-10-08,3705,482,3223
2022-10-09,3547,414,3133
2022-10-10,3317,420,2897
2022-10-11,3327,488,2839
2022-10-12,3215,425,2790
2022-10-13,3420,482,2938
2022-10-14,3225,437,2788
2022-10-15,3825,352,3473
2022-10-16,3829,385,3444
2022-10-17,3711,411,3300
2022-10-18,3478,408,3070
2022-10-19,3338,406,2932
2022-10-20,3733,457,3276
2022-10-21,3765,411,3354
2022-10-22,6592,395,6197
2022-10-23,3969,358,3611
2022-10-24,3817,436,3381
2022-10-25,3702,529,3173
2022-10-26,3503,485,3018
2022-10-27,3602,465,3137
2022-10-28,3753,447,3306
2022-10-29,3857,375,3482
2022-10-30,3526,173,3353
2022-10-31,3559,406,3153
2022-11-01,3784,501,3283
2022-11-02,3547,439,3108
2022-11-03,3726,518,3208
2022-11-04,3938,492,3446
2022-11-05,4063,405,3658
2022-11-06,4053,326,3727
2022-11-07,4147,420,3727
2022-11-08,3936,416,3520
2022-11-09,3870,442,3428
2022-11-10,4011,462,3549
2022-11-11,5131,547,4584
2022-11-12,5620,442,5178
2022-11-13,5715,431,5284
2022-11-14,4811,527,4284
2022-11-15,4915,507,4408
2022-11-16,4260,442,3818
2022-11-17,4972,481,4491
2022-11-18,5910,510,5400
2022-11-19,4741,363,4378
2022-11-20,4551,310,4241
2022-11-21,4421,409,4012
2022-11-22,3991,431,3560
2022-11-23,3811,430,3381
2022-11-24,4025,420,3605
2022-11-25,4067,484,3583
2022-11-26,4328,433,3895
2022-11-27,4514,367,4147
2022-11-28,4920,507,4413
2022-11-29,4647,428,4219
2022-11-30,3987,389,3598
2022-12-01,3958,445,3513
2022-12-02,3865,414,3451
2022-12-03,4165,385,3780
2022-12-04,4074,369,3705
2022-12-05,3487,425,3062
2022-12-06,4464,488,3976
2022-12-07,3806,425,3381
2022-12-08,3532,400,3132
2022-12-09,3730,380,3350
2022-12-10,3873,350,3523
2022-12-11,4078,341,3737
2022-12-12,4373,431,3942
2022-12-13,4221,443,3778
2022-12-14,4116,648,3468
2022-12-15,4076,433,3643
2022-12-16,4526,426,4100
2022-12-17,4613,440,4173
2022-12-18,5713,375,5338
2022-12-19,5803,504,5299
2022-12-20,4278,426,3852
2022-12-21,4672,465,4207
2022-12-22,4997,459,4538
2022-12-23,5182,519,4663
2022-12-24,4995,434,4561
2022-12-25,5147,366,4781
2022-12-26,4669,475,4194
2022-12-27,4842,495,4347
2022-12-28,4818,543,4275
2022-12-29,4831,546,4285
2022-12-30,4699,554,4145
2022-12-31,4995,385,4610
2023-01-01,4509,378,4131
2023-01-02,4530,402,4128
