Time,all,pc,wise
2022-10-01,11961,857,11104
2022-10-02,12948,864,12084
2022-10-03,12158,843,11315
2022-10-04,11433,859,10574
2022-10-05,12821,918,11903
2022-10-06,18050,1253,16797
2022-10-07,13245,1112,12133
2022-10-08,10472,995,9477
2022-10-09,9446,951,8495
2022-10-10,8446,904,7542
2022-10-11,7441,897,6544
2022-10-12,7491,893,6598
2022-10-13,8524,927,7597
2022-10-14,10250,939,9311
2022-10-15,10448,903,9545
2022-10-16,10150,876,9274
2022-10-17,7859,926,6933
2022-10-18,7090,861,6229
2022-10-19,6700,858,5842
2022-10-20,6521,842,5679
2022-10-21,6537,852,5685
2022-10-22,6628,692,5936
2022-10-23,6830,662,6168
2022-10-24,6622,794,5828
2022-10-25,5633,662,4971
2022-10-26,5605,658,4947
2022-10-27,5456,637,4819
2022-10-28,5185,640,4545
2022-10-29,5364,600,4764
2022-10-30,4918,175,4743
2022-10-31,4423,592,3831
2022-11-01,5291,747,4544
2022-11-02,5218,678,4540
2022-11-03,4672,540,4132
2022-11-04,4294,533,3761
2022-11-05,4155,471,3684
2022-11-06,4139,436,3703
2022-11-07,4014,490,3524
2022-11-08,3810,499,3311
2022-11-09,3834,616,3218
2022-11-10,4141,538,3603
2022-11-11,4433,512,3921
2022-11-12,5118,541,4577
2022-11-13,4718,422,4296
2022-11-14,4381,478,3903
2022-11-15,4476,521,3955
2022-11-16,4382,619,3763
2022-11-17,4284,583,3701
2022-11-18,4272,537,3735
2022-11-19,4796,468,4328
2022-11-20,4836,425,4411
2022-11-21,6642,856,5786
2022-11-22,6367,876,5491
2022-11-23,6269,859,5410
2022-11-24,7298,870,6428
2022-11-25,6786,847,5939
2022-11-26,5974,526,5448
2022-11-27,5697,465,5232
2022-11-28,5113,571,4542
2022-11-29,5394,543,4851
2022-11-30,5037,521,4516
2022-12-01,4734,547,4187
2022-12-02,4416,482,3934
2022-12-03,5395,509,4886
2022-12-04,5308,428,4880
2022-12-05,4794,627,4167
2022-12-06,5424,582,4842
2022-12-07,4871,495,4376
2022-12-08,4899,555,4344
2022-12-09,5286,561,4725
2022-12-10,5431,434,4997
2022-12-11,4850,399,4451
2022-12-12,4326,414,3912
2022-12-13,4537,493,4044
2022-12-14,4260,566,3694
2022-12-15,4645,537,4108
2022-12-16,4787,493,4294
2022-12-17,6016,419,5597
2022-12-18,4488,422,4066
2022-12-19,4153,431,3722
2022-12-20,4033,430,3603
2022-12-21,3970,434,3536
2022-12-22,4225,485,3740
2022-12-23,4146,419,3727
2022-12-24,4552,405,4147
2022-12-25,4424,319,4105
2022-12-26,4317,516,3801
2022-12-27,4756,532,4224
2022-12-28,4854,484,4370
2022-12-29,4913,510,4403
2022-12-30,5180,563,4617
2022-12-31,5443,437,5006
2023-01-01,5212,374,4838
2023-01-02,5410,493,4917
2023-01-03,6214,780,5434
2023-01-04,5779,651,5128
2023-01-05,5910,653,5257
2023-01-06,8815,940,7875
