Time,all,pc,wise
2022-10-01,1088,163,925
2022-10-02,1122,151,971
2022-10-03,1068,150,918
2022-10-04,1047,139,908
2022-10-05,1151,155,996
2022-10-06,1065,151,914
2022-10-07,1087,163,924
2022-10-08,1249,184,1065
2022-10-09,1671,190,1481
2022-10-10,1509,202,1307
2022-10-11,1233,204,1029
2022-10-12,1212,204,1008
2022-10-13,1200,194,1006
2022-10-14,1263,207,1056
2022-10-15,1446,197,1249
2022-10-16,1364,173,1191
2022-10-17,1290,225,1065
2022-10-18,1345,195,1150
2022-10-19,1206,180,1026
2022-10-20,1476,195,1281
2022-10-21,1203,188,1015
2022-10-22,1417,154,1263
2022-10-23,1382,155,1227
2022-10-24,1184,188,996
2022-10-25,1145,187,958
2022-10-26,1117,168,949
2022-10-27,1120,188,932
2022-10-28,1108,169,939
2022-10-29,1129,162,967
2022-10-30,1074,87,987
2022-10-31,1137,220,917
2022-11-01,1089,180,909
2022-11-02,1089,187,902
2022-11-03,1093,182,911
2022-11-04,1122,204,918
2022-11-05,1110,154,956
2022-11-06,1130,173,957
2022-11-07,1112,187,925
2022-11-08,1095,173,922
2022-11-09,1079,162,917
2022-11-10,1053,166,887
2022-11-11,1074,159,915
2022-11-12,1132,162,970
2022-11-13,1279,179,1100
2022-11-14,1169,198,971
2022-11-15,1115,191,924
2022-11-16,1077,166,911
2022-11-17,1072,159,913
2022-11-18,1143,166,977
2022-11-19,1198,157,1041
2022-11-20,1238,137,1101
2022-11-21,1064,154,910
2022-11-22,1074,190,884
2022-11-23,980,129,851
2022-11-24,1015,137,878
2022-11-25,1050,168,882
2022-11-26,1035,120,915
2022-11-27,1051,116,935
2022-11-28,1043,155,888
2022-11-29,1041,139,902
2022-11-30,1097,170,927
2022-12-01,993,151,842
2022-12-02,1007,129,878
2022-12-03,1031,139,892
2022-12-04,1061,148,913
2022-12-05,983,154,829
2022-12-06,1026,137,889
2022-12-07,1014,165,849
2022-12-08,1000,157,843
2022-12-09,1006,151,855
2022-12-10,986,139,847
2022-12-11,962,120,842
2022-12-12,1007,150,857
2022-12-13,1006,159,847
2022-12-14,1001,152,849
2022-12-15,994,135,859
2022-12-16,1035,173,862
