Time,all,pc,wise
2022-10-01,8765,532,8233
2022-10-02,9872,594,9278
2022-10-03,10664,675,9989
2022-10-04,13136,690,12446
2022-10-05,11987,689,11298
2022-10-06,11242,771,10471
2022-10-07,9856,653,9203
2022-10-08,8589,872,7717
2022-10-09,7723,852,6871
2022-10-10,7089,861,6228
2022-10-11,7475,868,6607
2022-10-12,7485,865,6620
2022-10-13,8213,864,7349
2022-10-14,8074,855,7219
2022-10-15,9086,681,8405
2022-10-16,9064,620,8444
2022-10-17,7394,772,6622
2022-10-18,7952,900,7052
2022-10-19,7227,866,6361
2022-10-20,7315,862,6453
2022-10-21,7348,799,6549
2022-10-22,8461,661,7800
2022-10-23,8385,631,7754
2022-10-24,7371,819,6552
2022-10-25,7392,848,6544
2022-10-26,8564,891,7673
2022-10-27,9391,869,8522
2022-10-28,9056,859,8197
2022-10-29,9802,613,9189
2022-10-30,8480,220,8260
2022-10-31,7903,856,7047
2022-11-01,7471,841,6630
2022-11-02,7881,854,7027
2022-11-03,8164,857,7307
2022-11-04,9396,865,8531
2022-11-05,12057,851,11206
2022-11-06,11302,853,10449
2022-11-07,9622,886,8736
2022-11-08,8515,849,7666
2022-11-09,8424,845,7579
2022-11-10,7976,783,7193
2022-11-11,9666,853,8813
2022-11-12,16520,857,15663
2022-11-13,24072,858,23214
2022-11-14,13748,924,12824
2022-11-15,11824,927,10897
2022-11-16,10116,901,9215
2022-11-17,10338,881,9457
2022-11-18,13212,886,12326
2022-11-19,19844,860,18984
2022-11-20,16083,782,15301
2022-11-21,11961,872,11089
2022-11-22,11160,871,10289
2022-11-23,10247,866,9381
2022-11-24,11020,898,10122
2022-11-25,12609,879,11730
2022-11-26,14856,843,14013
2022-11-27,14527,758,13769
2022-11-28,12586,889,11697
2022-11-29,12335,879,11456
2022-11-30,12234,881,11353
2022-12-01,10126,854,9272
2022-12-02,10312,844,9468
2022-12-03,11345,724,10621
2022-12-04,10883,749,10134
2022-12-05,10085,852,9233
2022-12-06,10452,797,9655
2022-12-07,9242,791,8451
2022-12-08,12020,885,11135
2022-12-09,11203,862,10341
2022-12-10,11754,707,11047
2022-12-11,10940,630,10310
2022-12-12,9683,845,8838
2022-12-13,9518,791,8727
2022-12-14,9402,805,8597
2022-12-15,10496,867,9629
2022-12-16,11451,853,10598
2022-12-17,12693,723,11970
2022-12-18,12797,709,12088
2022-12-19,11592,860,10732
2022-12-20,11821,855,10966
2022-12-21,11755,850,10905
2022-12-22,12224,833,11391
2022-12-23,16206,864,15342
2022-12-24,15624,855,14769
2022-12-25,13838,782,13056
2022-12-26,14084,878,13206
2022-12-27,13362,890,12472
2022-12-28,12568,865,11703
2022-12-29,12952,887,12065
2022-12-30,14062,892,13170
2022-12-31,23284,898,22386
2023-01-01,20152,884,19268
2023-01-02,16740,883,15857
2023-01-03,15107,936,14171
2023-01-04,14227,914,13313
2023-01-05,15031,927,14104
2023-01-06,14487,931,13556
2023-01-07,13999,853,13146
2023-01-08,13219,853,12366
2023-01-09,12362,910,11452
2023-01-10,12141,888,11253
2023-01-11,12155,902,11253
2023-01-12,12306,895,11411
2023-01-13,12375,883,11492
2023-01-14,12545,833,11712
2023-01-15,13547,846,12701
2023-01-16,10953,850,10103
2023-01-17,10012,796,9216
2023-01-18,9608,747,8861
2023-01-19,9609,673,8936
2023-01-20,9344,605,8739
2023-01-21,10949,470,10479
2023-01-22,10174,451,9723
2023-01-23,10364,447,9917
2023-01-24,11680,524,11156
2023-01-25,11463,707,10756
2023-01-26,11727,563,11164
2023-01-27,10148,616,9532
2023-01-28,10267,797,9470
2023-01-29,9562,740,8822
2023-01-30,9551,766,8785
2023-01-31,11756,910,10846
2023-02-01,11333,871,10462
2023-02-02,10412,848,9564
2023-02-03,10145,862,9283
2023-02-04,10220,661,9559
2023-02-05,9406,578,8828
2023-02-06,8254,769,7485
2023-02-07,7888,869,7019
2023-02-08,8932,893,8039
2023-02-09,8150,865,7285
2023-02-10,7698,851,6847
2023-02-11,8533,605,7928
2023-02-12,8301,698,7603
2023-02-13,6501,769,5732
2023-02-14,6127,789,5338
2023-02-15,5887,792,5095
2023-02-16,6397,755,5642
2023-02-17,6220,771,5449
2023-02-18,7098,546,6552
2023-02-19,7011,471,6540
2023-02-20,5937,737,5200
2023-02-21,6491,796,5695
2023-02-22,6426,841,5585
2023-02-23,6844,859,5985
2023-02-24,6897,849,6048
2023-02-25,7845,693,7152
2023-02-26,7203,546,6657
2023-02-27,6412,855,5557
2023-02-28,12011,922,11089
2023-03-01,9437,938,8499
2023-03-02,7218,882,6336
2023-03-03,6812,855,5957
2023-03-04,7641,644,6997
2023-03-05,7594,588,7006
2023-03-06,5975,802,5173
2023-03-07,5908,813,5095
2023-03-08,5764,782,4982
2023-03-09,6093,813,5280
2023-03-10,6399,808,5591
2023-03-11,7362,561,6801
2023-03-12,6933,501,6432
2023-03-13,5888,740,5148
2023-03-14,5648,810,4838
2023-03-15,6058,856,5202
2023-03-16,5477,848,4629
2023-03-17,5634,716,4918
2023-03-18,6319,554,5765
2023-03-19,6366,535,5831
2023-03-20,5332,777,4555
2023-03-21,5478,858,4620
2023-03-22,5969,852,5117
2023-03-23,6165,974,5191
2023-03-24,6063,834,5229
2023-03-25,10157,740,9417
2023-03-26,14267,913,13354
2023-03-27,10365,929,9436
2023-03-28,9224,934,8290
2023-03-29,8362,901,7461
2023-03-30,8211,894,7317
2023-03-31,7330,870,6460
2023-04-01,7932,637,7295
2023-04-02,7636,533,7103
2023-04-03,6467,848,5619
2023-04-04,6424,852,5572
2023-04-05,7313,634,6679
2023-04-06,6107,850,5257
2023-04-07,5931,740,5191
2023-04-08,6573,574,5999
2023-04-09,6812,512,6300
2023-04-10,5905,842,5063
2023-04-11,6165,848,5317
2023-04-12,6174,893,5281
2023-04-13,6149,854,5295
2023-04-14,6830,834,5996
2023-04-15,9221,723,8498
2023-04-16,8118,611,7507
2023-04-17,6502,846,5656
2023-04-18,6395,822,5573
2023-04-19,6166,845,5321
2023-04-20,6080,830,5250
2023-04-21,7058,805,6253
2023-04-22,9690,712,8978
