Time,all,pc,wise
2022-10-01,3546,395,3151
2022-10-02,3706,423,3283
2022-10-03,3969,380,3589
2022-10-04,3800,422,3378
2022-10-05,3822,453,3369
2022-10-06,3646,459,3187
2022-10-07,3705,482,3223
2022-10-08,3519,490,3029
2022-10-09,3163,434,2729
2022-10-10,3202,558,2644
2022-10-11,3200,555,2645
2022-10-12,3191,546,2645
2022-10-13,3430,568,2862
2022-10-14,3210,519,2691
2022-10-15,3539,430,3109
2022-10-16,3606,451,3155
2022-10-17,3643,532,3111
2022-10-18,5431,597,4834
2022-10-19,4223,533,3690
2022-10-20,15795,2154,13641
2022-10-21,10521,1454,9067
2022-10-22,6148,716,5432
2022-10-23,5784,512,5272
2022-10-24,4943,585,4358
2022-10-25,4620,637,3983
2022-10-26,4105,569,3536
2022-10-27,3919,588,3331
2022-10-28,3801,605,3196
2022-10-29,3706,409,3297
2022-10-30,3474,173,3301
2022-10-31,4071,718,3353
2022-11-01,3651,591,3060
2022-11-02,3568,595,2973
2022-11-03,4589,871,3718
2022-11-04,7404,1096,6308
2022-11-05,5177,678,4499
2022-11-06,4420,395,4025
2022-11-07,3763,493,3270
2022-11-08,3500,529,2971
2022-11-09,3295,467,2828
2022-11-10,3185,488,2697
2022-11-11,3018,495,2523
2022-11-12,3638,425,3213
2022-11-13,3639,408,3231
2022-11-14,3450,509,2941
2022-11-15,3245,532,2713
2022-11-16,3364,465,2899
2022-11-17,4220,820,3400
2022-11-18,4760,870,3890
2022-11-19,5072,726,4346
2022-11-20,4287,475,3812
2022-11-21,3381,574,2807
2022-11-22,3380,504,2876
2022-11-23,3049,437,2612
2022-11-24,3003,454,2549
2022-11-25,3138,451,2687
2022-11-26,3222,375,2847
2022-11-27,3467,383,3084
2022-11-28,3295,450,2845
2022-11-29,3133,420,2713
2022-11-30,3500,437,3063
2022-12-01,3808,541,3267
2022-12-02,3380,434,2946
2022-12-03,3952,426,3526
2022-12-04,3970,485,3485
2022-12-05,4264,634,3630
2022-12-06,3980,544,3436
2022-12-07,3590,540,3050
2022-12-08,3469,535,2934
2022-12-09,3513,504,3009
2022-12-10,3068,375,2693
2022-12-11,3031,360,2671
2022-12-12,3029,557,2472
2022-12-13,3038,529,2509
2022-12-14,3039,433,2606
2022-12-15,2924,437,2487
2022-12-16,3008,430,2578
2022-12-17,3117,357,2760
2022-12-18,3254,361,2893
2022-12-19,2807,408,2399
2022-12-20,3195,430,2765
2022-12-21,3419,417,3002
2022-12-22,3589,437,3152
2022-12-23,13191,850,12341
2022-12-24,5188,481,4707
2022-12-25,4290,440,3850
2022-12-26,4266,583,3683
2022-12-27,4033,554,3479
2022-12-28,5408,650,4758
2022-12-29,4606,529,4077
2022-12-30,3919,456,3463
2022-12-31,4319,392,3927
