Time,all,pc,wise
2022-10-01,10695,876,9819
2022-10-02,11007,771,10236
2022-10-03,10265,737,9528
2022-10-04,10371,720,9651
2022-10-05,9936,779,9157
2022-10-06,14645,1179,13466
2022-10-07,16178,1305,14873
2022-10-08,10190,982,9208
2022-10-09,11336,923,10413
2022-10-10,8905,885,8020
2022-10-11,8193,847,7346
2022-10-12,8938,904,8034
2022-10-13,8129,851,7278
2022-10-14,7951,863,7088
2022-10-15,8718,684,8034
2022-10-16,8740,693,8047
2022-10-17,8066,845,7221
2022-10-18,9434,865,8569
2022-10-19,9759,868,8891
2022-10-20,11637,889,10748
2022-10-21,10768,971,9797
2022-10-22,10940,848,10092
2022-10-23,10573,777,9796
2022-10-24,18528,1370,17158
2022-10-25,13552,999,12553
2022-10-26,10829,948,9881
2022-10-27,11080,1144,9936
2022-10-28,9916,980,8936
2022-10-29,9944,959,8985
2022-10-30,9013,254,8759
2022-10-31,8120,857,7263
2022-11-01,7950,785,7165
2022-11-02,7866,788,7078
2022-11-03,10526,859,9667
2022-11-04,8083,802,7281
2022-11-05,8237,653,7584
2022-11-06,8637,763,7874
2022-11-07,9547,855,8692
2022-11-08,11476,991,10485
2022-11-09,11239,887,10352
2022-11-10,10971,954,10017
2022-11-11,9413,857,8556
2022-11-12,10281,785,9496
2022-11-13,10742,848,9894
2022-11-14,8592,802,7790
2022-11-15,8441,816,7625
2022-11-16,8721,845,7876
2022-11-17,8319,772,7547
2022-11-18,8389,782,7607
2022-11-19,8795,597,8198
2022-11-20,8555,661,7894
2022-11-21,8696,740,7956
2022-11-22,9055,765,8290
2022-11-23,11232,875,10357
2022-11-24,11133,1117,10016
2022-11-25,35079,2249,32830
2022-11-26,70962,5454,65508
2022-11-27,31896,2038,29858
2022-11-28,20641,1960,18681
2022-11-29,17787,1708,16079
2022-11-30,13812,1147,12665
2022-12-01,11279,954,10325
2022-12-02,11115,1054,10061
2022-12-03,11723,908,10815
2022-12-04,12184,892,11292
2022-12-05,13060,1131,11929
2022-12-06,13145,962,12183
2022-12-07,10411,896,9515
2022-12-08,10578,890,9688
2022-12-09,11399,922,10477
2022-12-10,11502,857,10645
2022-12-11,10096,834,9262
2022-12-12,9491,834,8657
2022-12-13,9654,881,8773
2022-12-14,8794,861,7933
2022-12-15,8435,820,7615
2022-12-16,8682,842,7840
2022-12-17,8946,743,8203
2022-12-18,9274,692,8582
2022-12-19,8288,766,7522
2022-12-20,8049,718,7331
2022-12-21,7961,690,7271
2022-12-22,8258,716,7542
2022-12-23,8525,735,7790
2022-12-24,9009,774,8235
2022-12-25,8265,609,7656
2022-12-26,7965,974,6991
2022-12-27,7650,830,6820
2022-12-28,8018,811,7207
2022-12-29,7848,813,7035
2022-12-30,8099,861,7238
2022-12-31,7810,614,7196
2023-01-01,8338,664,7674
2023-01-02,9292,730,8562
2023-01-03,8698,847,7851
2023-01-04,8944,900,8044
2023-01-05,9370,1226,8144
2023-01-06,8886,860,8026
2023-01-07,9277,814,8463
2023-01-08,9143,783,8360
2023-01-09,8760,861,7899
2023-01-10,8667,831,7836
2023-01-11,8822,870,7952
2023-01-12,8788,788,8000
2023-01-13,9102,879,8223
2023-01-14,9394,687,8707
2023-01-15,8724,676,8048
2023-01-16,7984,656,7328
2023-01-17,7753,605,7148
2023-01-18,8438,546,7892
2023-01-19,7666,504,7162
2023-01-20,7792,450,7342
2023-01-21,5730,316,5414
2023-01-22,6609,333,6276
2023-01-23,7209,447,6762
2023-01-24,7633,412,7221
2023-01-25,7563,475,7088
2023-01-26,7500,479,7021
2023-01-27,7106,515,6591
2023-01-28,7399,685,6714
2023-01-29,7090,703,6387
2023-01-30,6976,796,6180
2023-01-31,6828,772,6056
2023-02-01,6736,693,6043
2023-02-02,6496,639,5857
2023-02-03,6350,671,5679
2023-02-04,6408,541,5867
2023-02-05,6144,450,5694
2023-02-06,6123,675,5448
2023-02-07,6529,682,5847
2023-02-08,6483,693,5790
2023-02-09,6219,707,5512
2023-02-10,6375,713,5662
2023-02-11,5951,501,5450
2023-02-12,6467,499,5968
2023-02-13,6373,741,5632
2023-02-14,5839,782,5057
2023-02-15,5626,642,4984
