Time,all,pc,wise
2022-10-01,4836,461,4375
2022-10-02,4931,462,4469
2022-10-03,5497,507,4990
2022-10-04,5303,538,4765
2022-10-05,5666,526,5140
2022-10-06,7368,543,6825
2022-10-07,5198,597,4601
2022-10-08,4928,651,4277
2022-10-09,4789,653,4136
2022-10-10,5052,600,4452
2022-10-11,4287,639,3648
2022-10-12,4490,608,3882
2022-10-13,4770,636,4134
2022-10-14,5040,656,4384
2022-10-15,5841,699,5142
2022-10-16,6002,594,5408
2022-10-17,5547,696,4851
2022-10-18,6433,866,5567
2022-10-19,5658,783,4875
2022-10-20,5833,819,5014
2022-10-21,6250,791,5459
2022-10-22,6739,560,6179
2022-10-23,6101,547,5554
2022-10-24,5878,642,5236
2022-10-25,5990,726,5264
2022-10-26,5569,642,4927
2022-10-27,6022,723,5299
2022-10-28,5874,682,5192
2022-10-29,5637,564,5073
2022-10-30,5013,194,4819
2022-10-31,4668,564,4104
2022-11-01,4701,622,4079
2022-11-02,4756,575,4181
2022-11-03,4853,689,4164
2022-11-04,5204,737,4467
2022-11-05,5504,554,4950
2022-11-06,5446,564,4882
2022-11-07,4924,640,4284
2022-11-08,5416,690,4726
2022-11-09,5339,685,4654
2022-11-10,5027,685,4342
2022-11-11,4869,667,4202
2022-11-12,6223,631,5592
2022-11-13,5847,580,5267
2022-11-14,4843,591,4252
2022-11-15,5559,881,4678
2022-11-16,5552,741,4811
2022-11-17,5571,786,4785
2022-11-18,4988,619,4369
2022-11-19,5149,533,4616
2022-11-20,5052,540,4512
2022-11-21,4869,582,4287
2022-11-22,4702,614,4088
2022-11-23,4468,530,3938
2022-11-24,4268,551,3717
2022-11-25,4828,611,4217
2022-11-26,5658,504,5154
2022-11-27,5610,524,5086
2022-11-28,5298,616,4682
2022-11-29,5125,636,4489
2022-11-30,4874,611,4263
2022-12-01,4874,630,4244
2022-12-02,4702,619,4083
2022-12-03,5111,588,4523
2022-12-04,5538,549,4989
2022-12-05,5328,682,4646
2022-12-06,5963,662,5301
2022-12-07,4722,611,4111
2022-12-08,5124,630,4494
2022-12-09,5256,685,4571
2022-12-10,4710,504,4206
2022-12-11,5447,551,4896
2022-12-12,4990,582,4408
2022-12-13,4812,650,4162
2022-12-14,4546,625,3921
2022-12-15,4469,521,3948
2022-12-16,4964,563,4401
2022-12-17,5300,547,4753
2022-12-18,4913,448,4465
2022-12-19,4630,506,4124
2022-12-20,5086,614,4472
2022-12-21,5056,623,4433
2022-12-22,5072,620,4452
2022-12-23,4992,578,4414
2022-12-24,5461,471,4990
2022-12-25,5318,501,4817
2022-12-26,4405,549,3856
2022-12-27,5063,628,4435
2022-12-28,5680,668,5012
2022-12-29,5423,631,4792
2022-12-30,4912,661,4251
2022-12-31,6821,566,6255
2023-01-01,5015,524,4491
2023-01-02,5252,639,4613
2023-01-03,4952,737,4215
2023-01-04,4491,752,3739
2023-01-05,4739,673,4066
2023-01-06,4783,729,4054
2023-01-07,4507,569,3938
2023-01-08,4841,504,4337
2023-01-09,5121,712,4409
2023-01-10,4952,744,4208
2023-01-11,4461,785,3676
2023-01-12,4275,659,3616
2023-01-13,4846,765,4081
2023-01-14,4222,488,3734
2023-01-15,3992,462,3530
2023-01-16,3949,533,3416
2023-01-17,3736,530,3206
2023-01-18,3451,454,2997
2023-01-19,3414,381,3033
2023-01-20,3376,369,3007
2023-01-21,3069,256,2813
2023-01-22,4061,354,3707
2023-01-23,5978,506,5472
2023-01-24,5105,493,4612
2023-01-25,4434,428,4006
2023-01-26,4147,412,3735
2023-01-27,3712,361,3351
2023-01-28,3906,498,3408
2023-01-29,4005,580,3425
2023-01-30,4341,775,3566
2023-01-31,4498,715,3783
2023-02-01,4026,574,3452
2023-02-02,3861,625,3236
2023-02-03,3793,571,3222
2023-02-04,3870,487,3383
2023-02-05,3596,442,3154
