Time,all,pc,wise
2022-10-01,26759,1063,25696
2022-10-02,23726,1070,22656
2022-10-03,23503,1042,22461
2022-10-04,22024,996,21028
2022-10-05,21766,1009,20757
2022-10-06,22491,1150,21341
2022-10-07,21058,1022,20036
2022-10-08,17254,1378,15876
2022-10-09,16062,1202,14860
2022-10-10,14470,1125,13345
2022-10-11,14966,1267,13699
2022-10-12,18522,1716,16806
2022-10-13,17127,1479,15648
2022-10-14,18746,1400,17346
2022-10-15,19181,1034,18147
2022-10-16,18871,978,17893
2022-10-17,16671,1442,15229
2022-10-18,16990,1366,15624
2022-10-19,15990,1318,14672
2022-10-20,16749,1213,15536
2022-10-21,17271,1378,15893
2022-10-22,19655,1001,18654
2022-10-23,19540,997,18543
2022-10-24,26574,1605,24969
2022-10-25,25874,1893,23981
2022-10-26,20581,1668,18913
2022-10-27,18870,1506,17364
2022-10-28,21533,1569,19964
2022-10-29,22067,1183,20884
2022-10-30,20575,527,20048
2022-10-31,17990,1466,16524
2022-11-01,19723,1470,18253
2022-11-02,20548,1614,18934
2022-11-03,19919,1452,18467
2022-11-04,20849,1485,19364
2022-11-05,25351,1334,24017
2022-11-06,23928,1144,22784
2022-11-07,20897,1500,19397
2022-11-08,19957,1449,18508
2022-11-09,21932,1521,20411
2022-11-10,19944,1509,18435
2022-11-11,24690,1745,22945
2022-11-12,33224,1461,31763
2022-11-13,29745,1360,28385
2022-11-14,23001,1606,21395
2022-11-15,20805,1468,19337
2022-11-16,21149,1496,19653
2022-11-17,21754,1583,20171
2022-11-18,33282,1599,31683
2022-11-19,51187,1956,49231
2022-11-20,39634,1471,38163
2022-11-21,29416,1778,27638
2022-11-22,27906,1669,26237
2022-11-23,22750,1677,21073
2022-11-24,21079,1520,19559
2022-11-25,25277,1554,23723
2022-11-26,34441,1488,32953
2022-11-27,32080,1318,30762
2022-11-28,24175,1653,22522
2022-11-29,22236,1473,20763
2022-11-30,22868,1483,21385
2022-12-01,18855,1353,17502
2022-12-02,19487,1315,18172
2022-12-03,21566,1064,20502
2022-12-04,21820,1002,20818
2022-12-05,18636,1306,17330
2022-12-06,19723,1320,18403
2022-12-07,17203,1312,15891
2022-12-08,16469,1171,15298
2022-12-09,19234,1225,18009
2022-12-10,25818,1337,24481
2022-12-11,23135,1106,22029
2022-12-12,19156,1421,17735
2022-12-13,19152,1302,17850
2022-12-14,17691,1298,16393
2022-12-15,21483,1386,20097
2022-12-16,27844,2007,25837
2022-12-17,28777,1565,27212
2022-12-18,26809,1343,25466
2022-12-19,26124,1709,24415
2022-12-20,26913,1478,25435
2022-12-21,25167,1440,23727
2022-12-22,27721,1637,26084
2022-12-23,35874,1716,34158
2022-12-24,45949,1906,44043
2022-12-25,36600,1576,35024
2022-12-26,33270,2013,31257
2022-12-27,31516,1983,29533
2022-12-28,29725,1967,27758
2022-12-29,29968,1983,27985
2022-12-30,34863,2290,32573
2022-12-31,47510,2145,45365
2023-01-01,42101,1930,40171
2023-01-02,35714,1780,33934
2023-01-03,31400,2358,29042
2023-01-04,28295,2022,26273
2023-01-05,28021,2043,25978
2023-01-06,27017,2203,24814
2023-01-07,24211,1476,22735
2023-01-08,23019,1228,21791
