Time,all,pc,wise
2022-10-01,29747,1302,28445
2022-10-02,32688,1319,31369
2022-10-03,35330,1421,33909
2022-10-04,36552,1627,34925
2022-10-05,35532,1527,34005
2022-10-06,37102,1696,35406
2022-10-07,35238,1721,33517
2022-10-08,26249,2173,24076
2022-10-09,24279,1965,22314
2022-10-10,25169,2020,23149
2022-10-11,27232,2190,25042
2022-10-12,29037,2425,26612
2022-10-13,27324,2300,25024
2022-10-14,25575,1922,23653
2022-10-15,27805,1373,26432
2022-10-16,26310,1263,25047
2022-10-17,22084,1916,20168
2022-10-18,20817,1874,18943
2022-10-19,20743,1807,18936
2022-10-20,21160,1835,19325
2022-10-21,20679,1715,18964
2022-10-22,23203,1318,21885
2022-10-23,24320,1272,23048
2022-10-24,21708,1842,19866
2022-10-25,19555,1850,17705
2022-10-26,18786,1718,17068
2022-10-27,17410,1578,15832
2022-10-28,18513,1620,16893
2022-10-29,20666,1186,19480
2022-10-30,19433,501,18932
2022-10-31,15722,1459,14263
2022-11-01,15783,1532,14251
2022-11-02,14678,1448,13230
2022-11-03,15496,1435,14061
2022-11-04,15907,1616,14291
2022-11-05,18392,1080,17312
2022-11-06,20766,998,19768
2022-11-07,15050,1267,13783
2022-11-08,14668,1295,13373
2022-11-09,15169,1357,13812
2022-11-10,18034,1446,16588
2022-11-11,19096,1483,17613
2022-11-12,17496,998,16498
2022-11-13,16500,986,15514
2022-11-14,13964,1361,12603
2022-11-15,13115,1362,11753
2022-11-16,14414,1501,12913
2022-11-17,13887,1269,12618
2022-11-18,17287,1325,15962
2022-11-19,28286,1262,27024
2022-11-20,24404,1212,23192
2022-11-21,19640,1588,18052
2022-11-22,17099,1414,15685
2022-11-23,16398,1451,14947
2022-11-24,16499,1329,15170
2022-11-25,15789,1247,14542
2022-11-26,16572,990,15582
2022-11-27,16570,959,15611
2022-11-28,15386,1252,14134
2022-11-29,14684,1155,13529
2022-11-30,19247,1934,17313
2022-12-01,16441,1706,14735
2022-12-02,15658,1384,14274
2022-12-03,16758,968,15790
2022-12-04,16405,952,15453
2022-12-05,15472,1212,14260
2022-12-06,16827,1382,15445
2022-12-07,14820,1351,13469
2022-12-08,14328,1237,13091
2022-12-09,15771,1216,14555
2022-12-10,15022,950,14072
2022-12-11,15440,960,14480
2022-12-12,14081,1334,12747
2022-12-13,13888,1229,12659
2022-12-14,15505,1110,14395
2022-12-15,14903,1158,13745
2022-12-16,15718,1151,14567
2022-12-17,20463,981,19482
2022-12-18,30723,1179,29544
2022-12-19,23004,1550,21454
2022-12-20,24937,1610,23327
2022-12-21,20790,1365,19425
2022-12-22,19114,1291,17823
2022-12-23,18978,1397,17581
2022-12-24,18195,1035,17160
2022-12-25,18452,975,17477
2022-12-26,19924,1399,18525
2022-12-27,20045,1473,18572
2022-12-28,21475,1479,19996
2022-12-29,23222,1588,21634
