Time,all,pc,wise
2022-10-01,2329,215,2114
2022-10-02,2857,260,2597
2022-10-03,2665,231,2434
2022-10-04,2476,264,2212
2022-10-05,2486,205,2281
2022-10-06,2684,301,2383
2022-10-07,3231,499,2732
2022-10-08,3230,741,2489
2022-10-09,2781,436,2345
2022-10-10,2550,364,2186
2022-10-11,2548,400,2148
2022-10-12,2596,352,2244
2022-10-13,3889,344,3545
2022-10-14,2558,364,2194
2022-10-15,2507,281,2226
2022-10-16,2542,247,2295
2022-10-17,2392,366,2026
2022-10-18,2418,375,2043
2022-10-19,2418,391,2027
2022-10-20,2637,352,2285
2022-10-21,2605,375,2230
2022-10-22,3175,324,2851
2022-10-23,3351,327,3024
2022-10-24,2961,391,2570
2022-10-25,3567,456,3111
2022-10-26,3954,467,3487
2022-10-27,4224,507,3717
2022-10-28,3768,448,3320
2022-10-29,4022,454,3568
2022-10-30,3548,165,3383
2022-10-31,4598,564,4034
2022-11-01,4625,575,4050
2022-11-02,3565,490,3075
2022-11-03,3745,492,3253
2022-11-04,3993,540,3453
2022-11-05,5398,451,4947
2022-11-06,4250,431,3819
2022-11-07,3216,459,2757
2022-11-08,3189,485,2704
2022-11-09,3039,456,2583
2022-11-10,3229,450,2779
2022-11-11,2977,445,2532
2022-11-12,3445,330,3115
2022-11-13,3456,310,3146
2022-11-14,3263,501,2762
2022-11-15,2930,422,2508
2022-11-16,3058,392,2666
2022-11-17,3346,595,2751
2022-11-18,2893,422,2471
2022-11-19,3087,332,2755
2022-11-20,3318,402,2916
2022-11-21,3533,537,2996
2022-11-22,3731,637,3094
2022-11-23,3001,487,2514
2022-11-24,2715,372,2343
2022-11-25,2734,383,2351
2022-11-26,2777,290,2487
2022-11-27,3263,403,2860
2022-11-28,3090,597,2493
2022-11-29,2890,484,2406
2022-11-30,2621,400,2221
2022-12-01,2412,357,2055
2022-12-02,2491,411,2080
2022-12-03,2651,304,2347
2022-12-04,2812,372,2440
2022-12-05,2928,490,2438
2022-12-06,3023,465,2558
2022-12-07,2841,431,2410
2022-12-08,2745,402,2343
2022-12-09,2696,433,2263
2022-12-10,3428,312,3116
2022-12-11,3043,330,2713
2022-12-12,4394,375,4019
2022-12-13,4267,352,3915
2022-12-14,3489,450,3039
2022-12-15,3468,372,3096
2022-12-16,3259,341,2918
2022-12-17,3004,290,2714
2022-12-18,2810,260,2550
2022-12-19,2698,309,2389
2022-12-20,2898,313,2585
2022-12-21,2781,330,2451
