Time,all,pc,wise
2022-10-01,1152,166,986
2022-10-02,1189,200,989
2022-10-03,1175,177,998
2022-10-04,1231,173,1058
2022-10-05,1277,188,1089
2022-10-06,1281,176,1105
2022-10-07,1201,213,988
2022-10-08,1167,220,947
2022-10-09,1182,222,960
2022-10-10,1164,226,938
2022-10-11,1183,247,936
2022-10-12,1216,253,963
2022-10-13,1166,219,947
2022-10-14,1245,262,983
2022-10-15,1211,184,1027
2022-10-16,1299,208,1091
2022-10-17,1179,223,956
2022-10-18,1250,251,999
2022-10-19,1218,248,970
2022-10-20,1181,226,955
2022-10-21,1188,220,968
2022-10-22,1189,200,989
2022-10-23,1149,180,969
2022-10-24,1197,228,969
2022-10-25,1175,222,953
2022-10-26,1140,205,935
2022-10-27,1163,207,956
2022-10-28,1148,197,951
2022-10-29,1158,188,970
2022-10-30,1052,99,953
2022-10-31,1168,229,939
2022-11-01,1276,229,1047
2022-11-02,1220,239,981
2022-11-03,1225,231,994
2022-11-04,1285,243,1042
2022-11-05,1480,198,1282
2022-11-06,1429,205,1224
2022-11-07,1317,240,1077
2022-11-08,1304,228,1076
2022-11-09,1317,204,1113
2022-11-10,1262,247,1015
2022-11-11,1235,237,998
2022-11-12,1420,226,1194
2022-11-13,1295,188,1107
2022-11-14,1241,229,1012
2022-11-15,1635,295,1340
2022-11-16,1381,243,1138
2022-11-17,1394,234,1160
2022-11-18,1493,247,1246
2022-11-19,1501,200,1301
2022-11-20,1467,187,1280
2022-11-21,1421,240,1181
2022-11-22,1320,229,1091
2022-11-23,1339,215,1124
2022-11-24,1424,191,1233
2022-11-25,1225,219,1006
2022-11-26,1299,184,1115
2022-11-27,1403,168,1235
2022-11-28,1293,242,1051
2022-11-29,1449,243,1206
2022-11-30,1399,207,1192
2022-12-01,1474,240,1234
2022-12-02,1462,218,1244
2022-12-03,1685,215,1470
2022-12-04,1740,218,1522
2022-12-05,1620,243,1377
2022-12-06,1817,243,1574
2022-12-07,1758,265,1493
2022-12-08,1696,254,1442
2022-12-09,1607,242,1365
2022-12-10,1514,200,1314
2022-12-11,1498,170,1328
2022-12-12,1435,233,1202
2022-12-13,1426,242,1184
2022-12-14,1372,233,1139
2022-12-15,1533,245,1288
2022-12-16,1386,240,1146
2022-12-17,1428,191,1237
2022-12-18,1397,183,1214
2022-12-19,1224,198,1026
2022-12-20,1722,223,1499
2022-12-21,1690,225,1465
2022-12-22,1506,215,1291
2022-12-23,1447,223,1224
2022-12-24,1423,186,1237
2022-12-25,1494,176,1318
2022-12-26,1671,220,1451
2022-12-27,1867,257,1610
2022-12-28,2074,281,1793
2022-12-29,1920,284,1636
2022-12-30,1758,257,1501
2022-12-31,1725,209,1516
2023-01-01,1713,191,1522
2023-01-02,1973,198,1775
2023-01-03,2169,278,1891
2023-01-04,1778,293,1485
2023-01-05,1901,304,1597
2023-01-06,1698,259,1439
2023-01-07,1917,223,1694
2023-01-08,1946,212,1734
2023-01-09,1703,295,1408
2023-01-10,1985,260,1725
2023-01-11,1920,313,1607
2023-01-12,1687,248,1439
2023-01-13,1593,225,1368
2023-01-14,1714,211,1503
2023-01-15,1622,194,1428
2023-01-16,1441,204,1237
2023-01-17,1397,236,1161
2023-01-18,1325,188,1137
2023-01-19,1268,186,1082
2023-01-20,1295,176,1119
2023-01-21,1113,150,963
2023-01-22,1172,161,1011
2023-01-23,1171,137,1034
2023-01-24,1224,166,1058
2023-01-25,1294,172,1122
2023-01-26,1400,166,1234
2023-01-27,1355,170,1185
2023-01-28,1313,202,1111
2023-01-29,1334,242,1092
