Time,all,pc,wise
2022-10-01,22644,933,21711
2022-10-02,23601,964,22637
2022-10-03,25648,980,24668
2022-10-04,24241,991,23250
2022-10-05,23540,1080,22460
2022-10-06,24291,1109,23182
2022-10-07,25637,1054,24583
2022-10-08,21513,1259,20254
2022-10-09,22524,1267,21257
2022-10-10,20313,1160,19153
2022-10-11,16931,1047,15884
2022-10-12,15562,1059,14503
2022-10-13,19540,1152,18388
2022-10-14,27790,1586,26204
2022-10-15,26206,1106,25100
2022-10-16,26216,1088,25128
2022-10-17,19603,1301,18302
2022-10-18,18408,1137,17271
2022-10-19,16726,1104,15622
2022-10-20,18439,1102,17337
2022-10-21,23387,1224,22163
2022-10-22,33480,1348,32132
2022-10-23,34687,1237,33450
2022-10-24,26378,1608,24770
2022-10-25,24774,1577,23197
2022-10-26,21521,1362,20159
2022-10-27,21007,1347,19660
2022-10-28,25195,1420,23775
2022-10-29,25434,1062,24372
2022-10-30,21588,582,21006
2022-10-31,17203,1208,15995
2022-11-01,15689,1107,14582
2022-11-02,15089,1030,14059
2022-11-03,14335,1058,13277
2022-11-04,13325,994,12331
2022-11-05,12521,880,11641
2022-11-06,12956,864,12092
2022-11-07,11093,941,10152
2022-11-08,11464,962,10502
2022-11-09,11127,1168,9959
2022-11-10,9667,937,8730
2022-11-11,9448,914,8534
2022-11-12,10496,828,9668
2022-11-13,10255,844,9411
2022-11-14,8672,881,7791
2022-11-15,8754,891,7863
2022-11-16,9352,874,8478
2022-11-17,9257,882,8375
2022-11-18,9373,876,8497
2022-11-19,9686,744,8942
2022-11-20,9026,678,8348
2022-11-21,9825,871,8954
2022-11-22,8566,858,7708
2022-11-23,7639,858,6781
2022-11-24,7419,844,6575
2022-11-25,7565,830,6735
2022-11-26,8383,760,7623
2022-11-27,8391,707,7684
2022-11-28,7563,882,6681
2022-11-29,7817,861,6956
2022-11-30,8109,898,7211
2022-12-01,7262,819,6443
2022-12-02,7257,844,6413
2022-12-03,7748,706,7042
2022-12-04,8107,760,7347
2022-12-05,7448,842,6606
2022-12-06,8086,860,7226
2022-12-07,6597,830,5767
2022-12-08,9491,1009,8482
2022-12-09,24080,6659,17421
2022-12-10,12706,1281,11425
2022-12-11,10226,892,9334
2022-12-12,8722,948,7774
2022-12-13,7183,867,6316
2022-12-14,6406,858,5548
2022-12-15,6712,822,5890
2022-12-16,6265,771,5494
2022-12-17,6316,658,5658
2022-12-18,6006,558,5448
2022-12-19,5735,712,5023
2022-12-20,5776,614,5162
2022-12-21,5820,695,5125
2022-12-22,5851,658,5193
2022-12-23,6397,637,5760
2022-12-24,6125,543,5582
2022-12-25,6611,620,5991
2022-12-26,6176,704,5472
2022-12-27,6899,847,6052
2022-12-28,6959,853,6106
2022-12-29,6368,789,5579
2022-12-30,6076,760,5316
2022-12-31,10364,692,9672
2023-01-01,7635,671,6964
2023-01-02,6810,670,6140
2023-01-03,5978,823,5155
2023-01-04,5942,785,5157
2023-01-05,5787,744,5043
2023-01-06,5456,713,4743
2023-01-07,5302,521,4781
2023-01-08,5693,523,5170
2023-01-09,5912,718,5194
2023-01-10,6194,716,5478
2023-01-11,5686,827,4859
2023-01-12,5427,761,4666
2023-01-13,5044,605,4439
2023-01-14,6491,611,5880
2023-01-15,5726,437,5289
2023-01-16,5343,647,4696
2023-01-17,4864,513,4351
2023-01-18,4541,516,4025
2023-01-19,4280,442,3838
2023-01-20,4260,430,3830
2023-01-21,4927,323,4604
2023-01-22,6383,395,5988
2023-01-23,8893,501,8392
2023-01-24,6105,516,5589
2023-01-25,5181,462,4719
2023-01-26,5152,436,4716
2023-01-27,5020,557,4463
2023-01-28,7138,846,6292
2023-01-29,5716,799,4917
2023-01-30,5722,693,5029
2023-01-31,5540,831,4709
2023-02-01,6006,843,5163
2023-02-02,5795,842,4953
2023-02-03,5551,676,4875
2023-02-04,5715,524,5191
2023-02-05,5481,426,5055
2023-02-06,5431,689,4742
2023-02-07,4726,658,4068
2023-02-08,4254,671,3583
2023-02-09,4235,658,3577
2023-02-10,4019,609,3410
2023-02-11,3931,386,3545
2023-02-12,4043,423,3620
2023-02-13,3806,588,3218
2023-02-14,3762,682,3080
2023-02-15,3615,589,3026
2023-02-16,3390,526,2864
2023-02-17,3405,547,2858
2023-02-18,3707,341,3366
2023-02-19,3745,355,3390
2023-02-20,3404,506,2898
2023-02-21,3225,510,2715
2023-02-22,3295,485,2810
2023-02-23,3327,465,2862
2023-02-24,3148,457,2691
2023-02-25,3389,381,3008
2023-02-26,3440,305,3135
2023-02-27,3268,399,2869
2023-02-28,3385,476,2909
2023-03-01,3120,416,2704
2023-03-02,3108,457,2651
2023-03-03,3430,516,2914
2023-03-04,3478,313,3165
2023-03-05,3499,344,3155
2023-03-06,3098,399,2699
2023-03-07,2886,423,2463
2023-03-08,2884,391,2493
2023-03-09,3143,426,2717
2023-03-10,3165,454,2711
2023-03-11,3975,364,3611
2023-03-12,4309,372,3937
2023-03-13,3755,506,3249
2023-03-14,3578,521,3057
2023-03-15,3897,512,3385
2023-03-16,4141,484,3657
2023-03-17,3997,498,3499
2023-03-18,4089,332,3757
2023-03-19,4023,358,3665
2023-03-20,3495,490,3005
2023-03-21,3474,482,2992
2023-03-22,3713,501,3212
2023-03-23,3454,456,2998
2023-03-24,3395,479,2916
2023-03-25,6363,535,5828
2023-03-26,6162,524,5638
2023-03-27,4885,752,4133
2023-03-28,4551,684,3867
2023-03-29,4310,670,3640
2023-03-30,4295,614,3681
2023-03-31,4473,617,3856
2023-04-01,6082,594,5488
2023-04-02,17205,1295,15910
2023-04-03,25642,3257,22385
2023-04-04,24377,2804,21573
2023-04-05,18945,1309,17636
2023-04-06,14332,1682,12650
2023-04-07,10787,1120,9667
2023-04-08,9017,806,8211
2023-04-09,8348,752,7596
2023-04-10,7070,923,6147
2023-04-11,6407,871,5536
2023-04-12,5700,841,4859
2023-04-13,5336,743,4593
2023-04-14,6007,857,5150
2023-04-15,5981,616,5365
2023-04-16,5621,526,5095
2023-04-17,6041,794,5247
2023-04-18,4770,619,4151
2023-04-19,4458,647,3811
2023-04-20,4461,630,3831
2023-04-21,4816,668,4148
2023-04-22,5319,527,4792
