Time,all,pc,wise
2022-10-01,17285,944,16341
2022-10-02,18004,954,17050
2022-10-03,16983,956,16027
2022-10-04,16688,990,15698
2022-10-05,17651,996,16655
2022-10-06,17171,1037,16134
2022-10-07,16914,1082,15832
2022-10-08,12498,1375,11123
2022-10-09,12148,1299,10849
2022-10-10,12208,1393,10815
2022-10-11,13236,1618,11618
2022-10-12,12303,1582,10721
2022-10-13,12308,1525,10783
2022-10-14,13008,1575,11433
2022-10-15,14969,963,14006
2022-10-16,14408,954,13454
2022-10-17,10985,1322,9663
2022-10-18,11283,1479,9804
2022-10-19,12105,1384,10721
2022-10-20,12436,1347,11089
2022-10-21,12689,1278,11411
2022-10-22,16857,1026,15831
2022-10-23,15613,977,14636
2022-10-24,12160,1295,10865
2022-10-25,12191,1357,10834
2022-10-26,11610,1391,10219
2022-10-27,12225,1328,10897
2022-10-28,12536,1316,11220
2022-10-29,14736,1008,13728
2022-10-30,13242,535,12707
2022-10-31,11862,1277,10585
2022-11-01,12527,1467,11060
2022-11-02,12161,1507,10654
2022-11-03,12049,1344,10705
2022-11-04,13174,1219,11955
2022-11-05,15353,966,14387
2022-11-06,14940,942,13998
2022-11-07,11978,1156,10822
2022-11-08,12179,1319,10860
2022-11-09,12604,1191,11413
2022-11-10,13711,1497,12214
2022-11-11,13154,1347,11807
2022-11-12,15752,1044,14708
2022-11-13,15702,994,14708
2022-11-14,12347,1397,10950
2022-11-15,12275,1394,10881
2022-11-16,12666,1325,11341
2022-11-17,12167,1323,10844
2022-11-18,13300,1219,12081
2022-11-19,16021,1024,14997
2022-11-20,16190,972,15218
2022-11-21,12893,1327,11566
2022-11-22,12597,1370,11227
2022-11-23,12557,1518,11039
2022-11-24,12853,1242,11611
2022-11-25,19267,1644,17623
2022-11-26,24003,1378,22625
2022-11-27,19768,1175,18593
2022-11-28,16492,1613,14879
2022-11-29,16867,1673,15194
2022-11-30,16296,1620,14676
2022-12-01,14659,1729,12930
2022-12-02,14186,1402,12784
2022-12-03,15522,1002,14520
2022-12-04,15636,977,14659
2022-12-05,14186,1272,12914
2022-12-06,15390,1264,14126
2022-12-07,13115,1234,11881
2022-12-08,13427,1278,12149
2022-12-09,14367,1194,13173
2022-12-10,14932,963,13969
2022-12-11,14344,930,13414
2022-12-12,12151,1223,10928
2022-12-13,12255,1194,11061
2022-12-14,12112,1133,10979
2022-12-15,16680,1470,15210
2022-12-16,16349,1378,14971
2022-12-17,16218,1037,15181
2022-12-18,15211,980,14231
2022-12-19,15286,1325,13961
2022-12-20,15725,1291,14434
2022-12-21,16143,1392,14751
2022-12-22,15485,1348,14137
2022-12-23,15427,1263,14164
2022-12-24,14259,966,13293
2022-12-25,14367,1019,13348
2022-12-26,15692,1344,14348
2022-12-27,16116,1361,14755
2022-12-28,15651,1287,14364
2022-12-29,16249,1369,14880
2022-12-30,16306,1452,14854
2022-12-31,26971,1438,25533
2023-01-01,32682,1554,31128
2023-01-02,24047,1344,22703
2023-01-03,21747,1665,20082
2023-01-04,20310,1594,18716
2023-01-05,19406,1745,17661
2023-01-06,18424,1447,16977
2023-01-07,16833,1061,15772
2023-01-08,17218,1024,16194
2023-01-09,17690,1365,16325
2023-01-10,17463,1390,16073
2023-01-11,17718,1350,16368
2023-01-12,17119,1317,15802
2023-01-13,17115,1297,15818
2023-01-14,18570,1002,17568
2023-01-15,18529,1062,17467
2023-01-16,15749,1127,14622
2023-01-17,14837,981,13856
2023-01-18,14460,940,13520
2023-01-19,14573,934,13639
2023-01-20,14503,902,13601
2023-01-21,17193,858,16335
2023-01-22,16600,868,15732
2023-01-23,15374,844,14530
2023-01-24,14413,872,13541
2023-01-25,14045,898,13147
2023-01-26,14475,898,13577
2023-01-27,14863,888,13975
2023-01-28,15315,956,14359
2023-01-29,14742,972,13770
2023-01-30,15521,1035,14486
2023-01-31,16056,1206,14850
2023-02-01,15455,1100,14355
2023-02-02,14763,997,13766
2023-02-03,14531,996,13535
2023-02-04,15814,950,14864
2023-02-05,14840,904,13936
2023-02-06,12883,1311,11572
2023-02-07,10881,1213,9668
2023-02-08,11858,1205,10653
2023-02-09,11457,1265,10192
2023-02-10,12645,1227,11418
2023-02-11,16753,1030,15723
2023-02-12,14014,926,13088
2023-02-13,10442,1334,9108
2023-02-14,10019,1304,8715
2023-02-15,10609,1329,9280
2023-02-16,9993,1464,8529
2023-02-17,10624,1288,9336
2023-02-18,14945,996,13949
2023-02-19,14298,1031,13267
2023-02-20,10425,1536,8889
2023-02-21,11204,1568,9636
2023-02-22,10779,1625,9154
2023-02-23,10632,1502,9130
2023-02-24,10814,1401,9413
2023-02-25,13261,957,12304
2023-02-26,11855,940,10915
2023-02-27,9087,1251,7836
2023-02-28,9515,1648,7867
2023-03-01,9274,1444,7830
2023-03-02,9767,1519,8248
2023-03-03,10300,1504,8796
2023-03-04,12437,962,11475
2023-03-05,11911,900,11011
2023-03-06,9809,1486,8323
2023-03-07,9645,1439,8206
2023-03-08,12150,1540,10610
2023-03-09,10737,1629,9108
2023-03-10,10769,1655,9114
2023-03-11,13466,958,12508
2023-03-12,12809,936,11873
2023-03-13,9285,1154,8131
2023-03-14,9159,1268,7891
2023-03-15,8951,1283,7668
2023-03-16,9679,1810,7869
2023-03-17,9460,1238,8222
2023-03-18,12584,933,11651
2023-03-19,11805,881,10924
2023-03-20,8843,1134,7709
2023-03-21,8677,1217,7460
2023-03-22,8920,1320,7600
2023-03-23,8770,1268,7502
2023-03-24,9342,1224,8118
2023-03-25,12321,949,11372
2023-03-26,12159,913,11246
2023-03-27,9124,1322,7802
2023-03-28,8536,1339,7197
2023-03-29,9003,1485,7518
2023-03-30,9450,1369,8081
2023-03-31,10750,1308,9442
2023-04-01,13094,984,12110
2023-04-02,12271,933,11338
2023-04-03,9763,1409,8354
2023-04-04,10731,1429,9302
2023-04-05,13502,977,12525
2023-04-06,9668,1407,8261
2023-04-07,9436,1259,8177
2023-04-08,11591,924,10667
2023-04-09,11567,924,10643
2023-04-10,8579,1252,7327
2023-04-11,8643,1303,7340
2023-04-12,9434,1342,8092
2023-04-13,9617,1440,8177
2023-04-14,9447,1176,8271
2023-04-15,11962,906,11056
2023-04-16,11123,893,10230
2023-04-17,8009,1094,6915
2023-04-18,7988,1252,6736
2023-04-19,8437,1278,7159
2023-04-20,9980,1415,8565
2023-04-21,9779,1281,8498
2023-04-22,11607,975,10632
