Time,all,pc,wise
2022-10-01,5424,344,5080
2022-10-02,5090,346,4744
2022-10-03,5952,389,5563
2022-10-04,5733,431,5302
2022-10-05,5994,412,5582
2022-10-06,5311,377,4934
2022-10-07,5178,419,4759
2022-10-08,4664,507,4157
2022-10-09,4380,461,3919
2022-10-10,4224,467,3757
2022-10-11,4216,419,3797
2022-10-12,3992,461,3531
2022-10-13,3847,470,3377
2022-10-14,4089,495,3594
2022-10-15,4995,419,4576
2022-10-16,4758,397,4361
2022-10-17,4641,443,4198
2022-10-18,4301,515,3786
2022-10-19,4260,473,3787
2022-10-20,4141,457,3684
2022-10-21,4249,443,3806
2022-10-22,4194,380,3814
2022-10-23,4776,414,4362
2022-10-24,4537,519,4018
2022-10-25,5184,885,4299
2022-10-26,5083,673,4410
2022-10-27,4338,464,3874
2022-10-28,4707,513,4194
2022-10-29,6130,431,5699
2022-10-30,6120,190,5930
2022-10-31,5188,502,4686
2022-11-01,4304,478,3826
2022-11-02,4323,485,3838
2022-11-03,4535,459,4076
2022-11-04,4031,405,3626
2022-11-05,4347,329,4018
2022-11-06,4479,422,4057
2022-11-07,4122,475,3647
2022-11-08,4276,453,3823
2022-11-09,4376,479,3897
2022-11-10,4082,475,3607
2022-11-11,3971,475,3496
2022-11-12,4209,358,3851
2022-11-13,4373,329,4044
2022-11-14,3962,402,3560
2022-11-15,3656,403,3253
2022-11-16,3487,426,3061
2022-11-17,3319,381,2938
2022-11-18,3358,408,2950
2022-11-19,4076,467,3609
2022-11-20,3936,417,3519
2022-11-21,3567,433,3134
2022-11-22,3524,436,3088
2022-11-23,3391,367,3024
2022-11-24,4269,375,3894
2022-11-25,4681,479,4202
2022-11-26,4700,343,4357
2022-11-27,5006,360,4646
2022-11-28,4680,422,4258
2022-11-29,4782,419,4363
2022-11-30,4456,437,4019
2022-12-01,4454,436,4018
2022-12-02,4613,487,4126
2022-12-03,5080,400,4680
2022-12-04,5561,369,5192
2022-12-05,4896,416,4480
2022-12-06,5124,481,4643
2022-12-07,4150,459,3691
2022-12-08,4485,445,4040
2022-12-09,4213,431,3782
2022-12-10,5471,411,5060
2022-12-11,6610,502,6108
2022-12-12,6145,533,5612
2022-12-13,5166,475,4691
2022-12-14,4732,386,4346
2022-12-15,4551,411,4140
2022-12-16,5195,465,4730
2022-12-17,7392,402,6990
2022-12-18,14426,789,13637
2022-12-19,9237,864,8373
2022-12-20,7929,794,7135
2022-12-21,7676,726,6950
2022-12-22,7018,723,6295
2022-12-23,6235,597,5638
2022-12-24,11921,679,11242
2022-12-25,16425,857,15568
2022-12-26,9028,827,8201
2022-12-27,7133,602,6531
2022-12-28,6592,622,5970
2022-12-29,6066,594,5472
2022-12-30,5566,600,4966
2022-12-31,5516,461,5055
2023-01-01,4827,378,4449
2023-01-02,5352,457,4895
2023-01-03,4761,471,4290
2023-01-04,4764,617,4147
2023-01-05,4656,622,4034
2023-01-06,4142,484,3658
2023-01-07,4341,481,3860
2023-01-08,4898,420,4478
2023-01-09,4309,488,3821
2023-01-10,4200,524,3676
2023-01-11,4630,473,4157
2023-01-12,4530,507,4023
2023-01-13,4184,453,3731
2023-01-14,4550,367,4183
2023-01-15,4595,408,4187
2023-01-16,3977,475,3502
2023-01-17,3827,388,3439
2023-01-18,3507,389,3118
2023-01-19,3371,381,2990
2023-01-20,3322,293,3029
2023-01-21,5355,288,5067
2023-01-22,14358,561,13797
2023-01-23,14147,709,13438
2023-01-24,8982,595,8387
2023-01-25,7161,465,6696
2023-01-26,6302,350,5952
2023-01-27,5890,377,5513
2023-01-28,4740,392,4348
2023-01-29,4355,428,3927
2023-01-30,4303,524,3779
2023-01-31,4528,644,3884
2023-02-01,4087,400,3687
2023-02-02,4102,495,3607
2023-02-03,3717,468,3249
2023-02-04,3968,366,3602
2023-02-05,4299,321,3978
2023-02-06,3922,502,3420
2023-02-07,3588,416,3172
2023-02-08,3547,473,3074
2023-02-09,3663,425,3238
2023-02-10,3408,475,2933
2023-02-11,3464,318,3146
2023-02-12,3708,350,3358
2023-02-13,3226,475,2751
2023-02-14,2796,416,2380
2023-02-15,2837,386,2451
2023-02-16,2876,426,2450
2023-02-17,3115,426,2689
2023-02-18,3726,364,3362
2023-02-19,3538,360,3178
2023-02-20,3098,409,2689
2023-02-21,2957,428,2529
2023-02-22,2860,402,2458
2023-02-23,2939,426,2513
2023-02-24,2888,399,2489
2023-02-25,3953,417,3536
2023-02-26,5031,392,4639
2023-02-27,3656,482,3174
2023-02-28,3363,399,2964
2023-03-01,3111,461,2650
2023-03-02,2992,420,2572
2023-03-03,3262,378,2884
2023-03-04,3403,369,3034
