Time,all,pc,wise
2022-10-01,6118,476,5642
2022-10-02,6160,451,5709
2022-10-03,6223,457,5766
2022-10-04,6587,515,6072
2022-10-05,7610,488,7122
2022-10-06,7742,578,7164
2022-10-07,7592,591,7001
2022-10-08,6077,726,5351
2022-10-09,5296,578,4718
2022-10-10,4920,627,4293
2022-10-11,4840,597,4243
2022-10-12,5064,664,4400
2022-10-13,5377,692,4685
2022-10-14,5744,823,4921
2022-10-15,5776,552,5224
2022-10-16,5932,453,5479
2022-10-17,5696,639,5057
2022-10-18,5619,830,4789
2022-10-19,5256,673,4583
2022-10-20,5851,667,5184
2022-10-21,5734,710,5024
2022-10-22,5621,464,5157
2022-10-23,6466,659,5807
2022-10-24,6381,864,5517
2022-10-25,5791,720,5071
2022-10-26,6003,619,5384
2022-10-27,7060,729,6331
2022-10-28,6415,797,5618
2022-10-29,6635,526,6109
2022-10-30,5922,168,5754
2022-10-31,5858,699,5159
2022-11-01,6125,709,5416
2022-11-02,6030,667,5363
2022-11-03,6329,682,5647
2022-11-04,6886,710,6176
2022-11-05,6823,538,6285
2022-11-06,6834,509,6325
2022-11-07,6521,718,5803
2022-11-08,7360,791,6569
2022-11-09,9062,806,8256
2022-11-10,8457,848,7609
2022-11-11,8940,852,8088
2022-11-12,16030,878,15152
2022-11-13,18575,857,17718
2022-11-14,17696,993,16703
2022-11-15,14451,951,13500
2022-11-16,11891,895,10996
2022-11-17,10992,880,10112
2022-11-18,9653,866,8787
2022-11-19,8766,723,8043
2022-11-20,8095,651,7444
2022-11-21,6771,828,5943
2022-11-22,6510,859,5651
2022-11-23,6179,777,5402
2022-11-24,6271,846,5425
2022-11-25,6694,865,5829
2022-11-26,6338,721,5617
2022-11-27,6500,530,5970
2022-11-28,13061,912,12149
2022-11-29,8355,844,7511
2022-11-30,6510,751,5759
2022-12-01,5947,684,5263
2022-12-02,5870,664,5206
2022-12-03,6186,475,5711
2022-12-04,6203,459,5744
2022-12-05,5305,661,4644
2022-12-06,6015,734,5281
2022-12-07,5285,600,4685
2022-12-08,6472,662,5810
2022-12-09,6872,771,6101
2022-12-10,6079,515,5564
2022-12-11,6001,499,5502
2022-12-12,5579,583,4996
2022-12-13,6000,639,5361
2022-12-14,5643,585,5058
2022-12-15,5396,637,4759
2022-12-16,5822,614,5208
2022-12-17,6094,470,5624
2022-12-18,5311,431,4880
2022-12-19,5246,538,4708
2022-12-20,5596,572,5024
2022-12-21,5510,617,4893
2022-12-22,5208,611,4597
2022-12-23,6525,837,5688
2022-12-24,5829,583,5246
2022-12-25,6085,513,5572
2022-12-26,6398,678,5720
2022-12-27,6053,670,5383
2022-12-28,6821,769,6052
2022-12-29,5970,737,5233
2022-12-30,5868,653,5215
2022-12-31,6336,510,5826
2023-01-01,6281,668,5613
2023-01-02,6326,634,5692
2023-01-03,6126,631,5495
2023-01-04,7613,840,6773
2023-01-05,7666,846,6820
2023-01-06,8024,810,7214
2023-01-07,7173,605,6568
2023-01-08,6940,574,6366
2023-01-09,8418,839,7579
2023-01-10,6835,817,6018
2023-01-11,6637,843,5794
2023-01-12,6364,803,5561
2023-01-13,6142,744,5398
2023-01-14,6099,572,5527
2023-01-15,6000,513,5487
2023-01-16,5423,668,4755
2023-01-17,6247,696,5551
2023-01-18,5515,690,4825
2023-01-19,13370,900,12470
2023-01-20,7966,734,7232
2023-01-21,6054,354,5700
2023-01-22,15694,496,15198
2023-01-23,5987,367,5620
2023-01-24,6333,386,5947
2023-01-25,5890,360,5530
2023-01-26,5888,400,5488
2023-01-27,5519,428,5091
2023-01-28,8587,668,7919
2023-01-29,6401,827,5574
2023-01-30,5928,822,5106
2023-01-31,6420,934,5486
2023-02-01,6111,857,5254
2023-02-02,6054,837,5217
2023-02-03,5974,769,5205
2023-02-04,5863,566,5297
2023-02-05,5602,502,5100
2023-02-06,5566,813,4753
2023-02-07,5677,869,4808
2023-02-08,5168,854,4314
2023-02-09,5187,761,4426
2023-02-10,5188,758,4430
2023-02-11,5195,572,4623
2023-02-12,5063,492,4571
2023-02-13,4872,752,4120
2023-02-14,5309,735,4574
2023-02-15,4374,645,3729
2023-02-16,4717,713,4004
2023-02-17,4631,732,3899
2023-02-18,4465,506,3959
2023-02-19,4609,471,4138
2023-02-20,4428,673,3755
2023-02-21,6067,866,5201
2023-02-22,4991,738,4253
2023-02-23,5074,823,4251
2023-02-24,4972,844,4128
2023-02-25,5095,644,4451
2023-02-26,4570,518,4052
2023-02-27,5193,847,4346
2023-02-28,7864,889,6975
2023-03-01,8220,861,7359
2023-03-02,5803,854,4949
2023-03-03,5586,875,4711
2023-03-04,5537,633,4904
2023-03-05,5142,475,4667
2023-03-06,5297,727,4570
2023-03-07,5913,856,5057
2023-03-08,4903,716,4187
2023-03-09,4524,684,3840
2023-03-10,4779,758,4021
2023-03-11,7470,532,6938
2023-03-12,7142,558,6584
2023-03-13,7727,794,6933
2023-03-14,6362,777,5585
2023-03-15,6879,819,6060
2023-03-16,6645,848,5797
2023-03-17,6422,799,5623
2023-03-18,6540,544,5996
2023-03-19,6477,516,5961
2023-03-20,6213,800,5413
2023-03-21,6051,852,5199
2023-03-22,6083,844,5239
2023-03-23,6502,842,5660
2023-03-24,6564,845,5719
2023-03-25,8765,617,8148
2023-03-26,8795,671,8124
2023-03-27,7599,898,6701
2023-03-28,7446,883,6563
2023-03-29,6625,852,5773
2023-03-30,6622,875,5747
2023-03-31,6444,823,5621
2023-04-01,7602,558,7044
2023-04-02,5688,529,5159
2023-04-03,6286,861,5425
2023-04-04,7878,908,6970
2023-04-05,7621,724,6897
2023-04-06,7224,908,6316
2023-04-07,5708,845,4863
2023-04-08,6007,597,5410
2023-04-09,6351,488,5863
2023-04-10,9890,903,8987
2023-04-11,7526,880,6646
2023-04-12,6266,885,5381
2023-04-13,6745,905,5840
2023-04-14,5965,854,5111
2023-04-15,5569,558,5011
2023-04-16,6478,574,5904
2023-04-17,5377,797,4580
2023-04-18,6010,843,5167
2023-04-19,6345,845,5500
2023-04-20,5283,782,4501
2023-04-21,5595,861,4734
2023-04-22,7200,490,6710
