Time,all,pc,wise
2022-10-01,2084,198,1886
2022-10-02,2076,208,1868
2022-10-03,2191,202,1989
2022-10-04,2598,330,2268
2022-10-05,2666,313,2353
2022-10-06,2506,313,2193
2022-10-07,3591,332,3259
2022-10-08,3053,419,2634
2022-10-09,3164,355,2809
2022-10-10,2572,355,2217
2022-10-11,2460,309,2151
2022-10-12,2642,273,2369
2022-10-13,2903,327,2576
2022-10-14,2775,299,2476
2022-10-15,3277,259,3018
2022-10-16,3624,243,3381
2022-10-17,3363,344,3019
2022-10-18,3450,350,3100
2022-10-19,2870,329,2541
2022-10-20,2568,287,2281
2022-10-21,3020,569,2451
2022-10-22,2760,431,2329
2022-10-23,2607,422,2185
2022-10-24,2427,381,2046
2022-10-25,2259,397,1862
2022-10-26,2495,377,2118
2022-10-27,2964,330,2634
2022-10-28,2370,319,2051
2022-10-29,2229,270,1959
2022-10-30,2130,137,1993
2022-10-31,2049,310,1739
2022-11-01,2105,291,1814
2022-11-02,2073,349,1724
2022-11-03,2235,343,1892
2022-11-04,2495,547,1948
2022-11-05,2324,338,1986
2022-11-06,2262,262,2000
2022-11-07,2107,319,1788
2022-11-08,2330,335,1995
2022-11-09,2369,318,2051
2022-11-10,2224,327,1897
2022-11-11,2205,310,1895
2022-11-12,2339,259,2080
2022-11-13,2675,245,2430
2022-11-14,2477,344,2133
2022-11-15,2100,267,1833
2022-11-16,1940,273,1667
2022-11-17,2220,268,1952
2022-11-18,2213,282,1931
2022-11-19,2249,213,2036
2022-11-20,2187,237,1950
2022-11-21,2091,290,1801
2022-11-22,2063,254,1809
2022-11-23,2022,285,1737
2022-11-24,1994,233,1761
2022-11-25,2115,242,1873
2022-11-26,2082,195,1887
2022-11-27,2343,229,2114
2022-11-28,2262,268,1994
2022-11-29,2252,287,1965
2022-11-30,2139,281,1858
2022-12-01,1980,254,1726
2022-12-02,2019,296,1723
2022-12-03,2016,234,1782
2022-12-04,2110,237,1873
2022-12-05,2055,262,1793
2022-12-06,2182,253,1929
2022-12-07,2125,321,1804
2022-12-08,2027,268,1759
