index,刘涛
2023-01-23,11275
2023-01-24,26954
2023-01-25,6587
2023-01-26,8909
2023-01-27,9328
2023-01-28,9140
2023-01-29,11361
2023-01-30,8704
2023-01-31,37259
2023-02-01,103204
2023-02-02,24398
2023-02-03,9137
2023-02-04,14942
2023-02-05,12691
2023-02-06,40091
2023-02-07,29918
2023-02-08,15385
2023-02-09,19169
2023-02-10,26162
2023-02-11,11746
2023-02-12,26397
2023-02-13,29039
2023-02-14,18688
2023-02-15,31883
2023-02-16,18560
2023-02-17,49868
2023-02-18,12149
2023-02-19,11915
2023-02-20,231358
2023-02-21,30694
2023-02-22,281060
2023-02-23,108455
2023-02-24,157300
2023-02-25,226155
2023-02-26,27521
2023-02-27,96233
2023-02-28,211501
2023-03-01,49874
2023-03-02,328887
2023-03-03,207663
2023-03-04,28529
2023-03-05,32583
2023-03-06,69410
2023-03-07,58090
2023-03-08,72384
2023-03-09,76556
2023-03-10,19103
2023-03-11,34681
2023-03-12,11574
2023-03-13,16192
2023-03-14,22464
2023-03-15,40563
2023-03-16,12380
2023-03-17,18993
2023-03-18,22612
2023-03-19,16158
2023-03-20,9449
2023-03-21,50815
2023-03-22,6936
2023-03-23,5985
2023-03-24,5795
2023-03-25,5385
2023-03-26,6776
2023-03-27,111104
2023-03-28,21881
2023-03-29,36393
2023-03-30,82213
2023-03-31,9795
2023-04-01,11696
2023-04-02,4118
2023-04-03,86394
2023-04-04,16810
2023-04-05,26756
2023-04-06,17498
2023-04-07,63902
2023-04-08,8000
2023-04-09,15246
2023-04-10,11953
2023-04-11,83043
2023-04-12,13005
2023-04-13,13607
2023-04-14,7959
2023-04-15,6931
2023-04-16,14274
2023-04-17,12618
2023-04-18,24666
2023-04-19,248590
2023-04-20,152338
2023-04-21,245840
2023-04-22,141305
2023-04-23,56244
