index,刘诗诗
2023-01-23,138215
2023-01-24,139965
2023-01-25,81475
2023-01-26,107237
2023-01-27,114725
2023-01-28,97159
2023-01-29,120009
2023-01-30,137163
2023-01-31,241684
2023-02-01,481295
2023-02-02,380409
2023-02-03,162883
2023-02-04,97392
2023-02-05,322155
2023-02-06,124860
2023-02-07,183567
2023-02-08,129692
2023-02-09,122421
2023-02-10,816783
2023-02-11,134821
2023-02-12,353984
2023-02-13,164777
2023-02-14,211355
2023-02-15,450296
2023-02-16,342459
2023-02-17,257006
2023-02-18,182100
2023-02-19,180683
2023-02-20,418716
2023-02-21,108038
2023-02-22,416204
2023-02-23,486775
2023-02-24,2947593
2023-02-25,533801
2023-02-26,564820
2023-02-27,472832
2023-02-28,259168
2023-03-01,136412
2023-03-02,269596
2023-03-03,107618
2023-03-04,110909
2023-03-05,115872
2023-03-06,160942
2023-03-07,185560
2023-03-08,164455
2023-03-09,362049
2023-03-10,2076808
2023-03-11,845878
2023-03-12,206976
2023-03-13,633767
2023-03-14,272292
2023-03-15,651028
2023-03-16,129435
2023-03-17,144543
2023-03-18,271661
2023-03-19,546315
2023-03-20,207646
2023-03-21,874186
2023-03-22,328290
2023-03-23,221216
2023-03-24,539000
2023-03-25,3259502
2023-03-26,1481234
2023-03-27,724891
2023-03-28,861426
2023-03-29,274280
2023-03-30,237407
2023-03-31,152226
2023-04-01,268254
2023-04-02,98033
2023-04-03,81208
2023-04-04,262269
2023-04-05,93908
2023-04-06,213553
2023-04-07,144717
2023-04-08,157931
2023-04-09,162695
2023-04-10,95235
2023-04-11,83090
2023-04-12,99648
2023-04-13,258560
2023-04-14,345270
2023-04-15,197126
2023-04-16,302177
2023-04-17,985296
2023-04-18,211187
2023-04-19,615748
2023-04-20,833571
2023-04-21,1121890
2023-04-22,296748
2023-04-23,553345
