index,宁静
2023-01-23,39649
2023-01-24,52502
2023-01-25,78063
2023-01-26,52578
2023-01-27,48068
2023-01-28,53341
2023-01-29,93278
2023-01-30,72766
2023-01-31,126532
2023-02-01,88523
2023-02-02,115291
2023-02-03,167153
2023-02-04,61171
2023-02-05,102766
2023-02-06,69355
2023-02-07,115445
2023-02-08,117396
2023-02-09,101788
2023-02-10,97541
2023-02-11,56100
2023-02-12,72946
2023-02-13,62811
2023-02-14,87977
2023-02-15,66868
2023-02-16,74544
2023-02-17,99597
2023-02-18,66577
2023-02-19,89023
2023-02-20,94260
2023-02-21,84498
2023-02-22,69519
2023-02-23,88397
2023-02-24,421403
2023-02-25,59922
2023-02-26,88595
2023-02-27,62525
2023-02-28,57386
2023-03-01,153996
2023-03-02,87923
2023-03-03,89151
2023-03-04,332970
2023-03-05,299333
2023-03-06,244684
2023-03-07,106664
2023-03-08,337110
2023-03-09,86292
2023-03-10,137214
2023-03-11,191686
2023-03-12,68125
2023-03-13,96003
2023-03-14,91858
2023-03-15,128443
2023-03-16,91554
2023-03-17,77539
2023-03-18,162399
2023-03-19,86569
2023-03-20,79117
2023-03-21,68114
2023-03-22,163825
2023-03-23,89828
2023-03-24,98708
2023-03-25,64774
2023-03-26,153710
2023-03-27,184155
2023-03-28,73749
2023-03-29,214441
2023-03-30,221690
2023-03-31,142490
2023-04-01,240892
2023-04-02,90984
2023-04-03,129596
2023-04-04,97773
2023-04-05,79742
2023-04-06,103052
2023-04-07,97066
2023-04-08,96977
2023-04-09,1639577
2023-04-10,555178
2023-04-11,119998
2023-04-12,164796
2023-04-13,121420
2023-04-14,260685
2023-04-15,104531
2023-04-16,117999
2023-04-17,181364
2023-04-18,134659
2023-04-19,139969
2023-04-20,87417
2023-04-21,104532
2023-04-22,162732
2023-04-23,99325
