index,巩俐
2023-01-23,3821
2023-01-24,13148
2023-01-25,17825
2023-01-26,8365
2023-01-27,7771
2023-01-28,4821
2023-01-29,71912
2023-01-30,21521
2023-01-31,7882
2023-02-01,116908
2023-02-02,4731
2023-02-03,4496
2023-02-04,4672
2023-02-05,3009
2023-02-06,4716
2023-02-07,6056
2023-02-08,7742
2023-02-09,10460
2023-02-10,9138
2023-02-11,22451
2023-02-12,8190
2023-02-13,9544
2023-02-14,7586
2023-02-15,12698
2023-02-16,19929
2023-02-17,10350
2023-02-18,7386
2023-02-19,8395
2023-02-20,28537
2023-02-21,9736
2023-02-22,19835
2023-02-23,6625
2023-02-24,2901
2023-02-25,10632
2023-02-26,4788
2023-02-27,2455
2023-02-28,3335
2023-03-01,3695
2023-03-02,2991
2023-03-03,6792
2023-03-04,1752
2023-03-05,7225
2023-03-06,3310
2023-03-07,3846
2023-03-08,5528
2023-03-09,1196
2023-03-10,4361
2023-03-11,4262
2023-03-12,2218
2023-03-13,22759
2023-03-14,19460
2023-03-15,5831
2023-03-16,80707
2023-03-17,13531
2023-03-18,44094
2023-03-19,19031
2023-03-20,43213
2023-03-21,6740
2023-03-22,1972
2023-03-23,2695
2023-03-24,2896
2023-03-25,1553
2023-03-26,3193
2023-03-27,6894
2023-03-28,3630
2023-03-29,18016
2023-03-30,2585
2023-03-31,7843
2023-04-01,8079
2023-04-02,5094
2023-04-03,17917
2023-04-04,3059
2023-04-05,95736
2023-04-06,186778
2023-04-07,48966
2023-04-08,15576
2023-04-09,8257
2023-04-10,221146
2023-04-11,74208
2023-04-12,24799
2023-04-13,8771
2023-04-14,6875
2023-04-15,4239
2023-04-16,2723
2023-04-17,13142
2023-04-18,630768
2023-04-19,20098
2023-04-20,8649
2023-04-21,37782
2023-04-22,10013
2023-04-23,5531
