index,张子枫
2023-01-23,38968
2023-01-24,100303
2023-01-25,85650
2023-01-26,49767
2023-01-27,95584
2023-01-28,83373
2023-01-29,104603
2023-01-30,175695
2023-01-31,92785
2023-02-01,62067
2023-02-02,57140
2023-02-03,56475
2023-02-04,49406
2023-02-05,478572
2023-02-06,453858
2023-02-07,74741
2023-02-08,88408
2023-02-09,89620
2023-02-10,74817
2023-02-11,49477
2023-02-12,87179
2023-02-13,48702
2023-02-14,733886
2023-02-15,92695
2023-02-16,64759
2023-02-17,75142
2023-02-18,61852
2023-02-19,58054
2023-02-20,72619
2023-02-21,62006
2023-02-22,67847
2023-02-23,433608
2023-02-24,91812
2023-02-25,59283
2023-02-26,66925
2023-02-27,39782
2023-02-28,45433
2023-03-01,53816
2023-03-02,62906
2023-03-03,64381
2023-03-04,55813
2023-03-05,100206
2023-03-06,148849
2023-03-07,52247
2023-03-08,109578
2023-03-09,53620
2023-03-10,37453
2023-03-11,40086
2023-03-12,51201
2023-03-13,202126
2023-03-14,75893
2023-03-15,71320
2023-03-16,72743
2023-03-17,71908
2023-03-18,75461
2023-03-19,63660
2023-03-20,100713
2023-03-21,68039
2023-03-22,42631
2023-03-23,49926
2023-03-24,78741
2023-03-25,75870
2023-03-26,165305
2023-03-27,90310
2023-03-28,114283
2023-03-29,64721
2023-03-30,70989
2023-03-31,83536
2023-04-01,87695
2023-04-02,72655
2023-04-03,58877
2023-04-04,33517
2023-04-05,13570
2023-04-06,32588
2023-04-07,48394
2023-04-08,36202
2023-04-09,29791
2023-04-10,42350
2023-04-11,32219
2023-04-12,25092
2023-04-13,41176
2023-04-14,23332
2023-04-15,10245
2023-04-16,12483
2023-04-17,26783
2023-04-18,185045
2023-04-19,673999
2023-04-20,112048
2023-04-21,1297140
2023-04-22,427659
2023-04-23,139146
