index,张小斐
2023-01-23,555766
2023-01-24,415236
2023-01-25,376177
2023-01-26,435567
2023-01-27,58664
2023-01-28,392061
2023-01-29,199142
2023-01-30,296757
2023-01-31,17027
2023-02-01,137253
2023-02-02,58522
2023-02-03,31581
2023-02-04,63514
2023-02-05,47500
2023-02-06,26746
2023-02-07,13898
2023-02-08,12751
2023-02-09,65943
2023-02-10,12633
2023-02-11,7545
2023-02-12,17506
2023-02-13,23965
2023-02-14,213334
2023-02-15,29169
2023-02-16,3472
2023-02-17,8584
2023-02-18,8821
2023-02-19,20318
2023-02-20,6747
2023-02-21,415312
2023-02-22,271380
2023-02-23,78416
2023-02-24,36607
2023-02-25,22327
2023-02-26,33040
2023-02-27,11529
2023-02-28,7986
2023-03-01,4612
2023-03-02,4061
2023-03-03,68374
2023-03-04,8864
2023-03-05,6859
2023-03-06,40734
2023-03-07,42494
2023-03-08,108533
2023-03-09,77227
2023-03-10,36349
2023-03-11,38752
2023-03-12,220864
2023-03-13,44938
2023-03-14,34942
2023-03-15,233959
2023-03-16,20847
2023-03-17,4349
2023-03-18,4331
2023-03-19,6583
2023-03-20,12680
2023-03-21,22173
2023-03-22,57348
2023-03-23,26139
2023-03-24,8089
2023-03-25,2721
2023-03-26,2326
2023-03-27,1446
2023-03-28,2508
2023-03-29,3321
2023-03-30,1907
2023-03-31,5151
2023-04-01,8780
2023-04-02,3917
2023-04-03,302206
2023-04-04,7777
2023-04-05,3386
2023-04-06,69297
2023-04-07,43719
2023-04-08,138756
2023-04-09,6676
2023-04-10,30947
2023-04-11,3204
2023-04-12,3100
2023-04-13,2194
2023-04-14,3045
2023-04-15,2660
2023-04-16,28994
2023-04-17,9575
2023-04-18,18128
2023-04-19,61030
2023-04-20,114400
2023-04-21,142766
2023-04-22,56076
2023-04-23,14756
