index,文淇
2023-01-23,8454
2023-01-24,5536
2023-01-25,11978
2023-01-26,10352
2023-01-27,3766
2023-01-28,5719
2023-01-29,3501
2023-01-30,5460
2023-01-31,5864
2023-02-01,6491
2023-02-02,3165
2023-02-03,3525
2023-02-04,7280
2023-02-05,5834
2023-02-06,69588
2023-02-07,9629
2023-02-08,55575
2023-02-09,2126
2023-02-10,7643
2023-02-11,4970
2023-02-12,4679
2023-02-13,4866
2023-02-14,3030487
2023-02-15,581686
2023-02-16,233056
2023-02-17,141407
2023-02-18,374232
2023-02-19,89487
2023-02-20,64643
2023-02-21,405799
2023-02-22,240869
2023-02-23,99942
2023-02-24,126498
2023-02-25,92222
2023-02-26,42455
2023-02-27,79903
2023-02-28,53949
2023-03-01,73330
2023-03-02,201642
2023-03-03,37262
2023-03-04,212026
2023-03-05,66733
2023-03-06,129600
2023-03-07,71688
2023-03-08,24265
2023-03-09,10889
2023-03-10,6507
2023-03-11,4158
2023-03-12,1843
2023-03-13,1910
2023-03-14,1703975
2023-03-15,318868
2023-03-16,78850
2023-03-17,14618
2023-03-18,8616
2023-03-19,10775
2023-03-20,36918
2023-03-21,27083
2023-03-22,8651
2023-03-23,157701
2023-03-24,340590
2023-03-25,23608
2023-03-26,3183
2023-03-27,3502
2023-03-28,1936
2023-03-29,3551
2023-03-30,2279
2023-03-31,22869
2023-04-01,66963
2023-04-02,3592
2023-04-03,718
2023-04-04,1788
2023-04-05,2510
2023-04-06,2283
2023-04-07,14475
2023-04-08,1130
2023-04-09,857
2023-04-10,10340
2023-04-11,5410
2023-04-12,1541
2023-04-13,1559
2023-04-14,6712
2023-04-15,580
2023-04-16,1393
2023-04-17,592
2023-04-18,1092
2023-04-19,3187
2023-04-20,1494
2023-04-21,2225
2023-04-22,8262
2023-04-23,1176
