index,李一桐
2023-01-23,342735
2023-01-24,266820
2023-01-25,328339
2023-01-26,201992
2023-01-27,402082
2023-01-28,639700
2023-01-29,966528
2023-01-30,399428
2023-01-31,894651
2023-02-01,563680
2023-02-02,505424
2023-02-03,421686
2023-02-04,1430289
2023-02-05,246277
2023-02-06,705769
2023-02-07,239847
2023-02-08,1023328
2023-02-09,324850
2023-02-10,133576
2023-02-11,344463
2023-02-12,334903
2023-02-13,774745
2023-02-14,432804
2023-02-15,157190
2023-02-16,133794
2023-02-17,504381
2023-02-18,307901
2023-02-19,216505
2023-02-20,463089
2023-02-21,150237
2023-02-22,335531
2023-02-23,130795
2023-02-24,323273
2023-02-25,2343399
2023-02-26,574553
2023-02-27,488836
2023-02-28,832069
2023-03-01,644368
2023-03-02,563932
2023-03-03,580313
2023-03-04,444941
2023-03-05,373343
2023-03-06,563491
2023-03-07,991692
2023-03-08,449820
2023-03-09,707803
2023-03-10,697691
2023-03-11,933558
2023-03-12,717868
2023-03-13,399825
2023-03-14,228711
2023-03-15,225447
2023-03-16,1873544
2023-03-17,591283
2023-03-18,576775
2023-03-19,177977
2023-03-20,174199
2023-03-21,319684
2023-03-22,2084635
2023-03-23,159344
2023-03-24,295947
2023-03-25,1076763
2023-03-26,400798
2023-03-27,197917
2023-03-28,246257
2023-03-29,352787
2023-03-30,730757
2023-03-31,137739
2023-04-01,191507
2023-04-02,147664
2023-04-03,236226
2023-04-04,1337641
2023-04-05,331671
2023-04-06,239023
2023-04-07,81865
2023-04-08,243387
2023-04-09,134409
2023-04-10,177233
2023-04-11,387246
2023-04-12,126582
2023-04-13,114182
2023-04-14,115707
2023-04-15,161791
2023-04-16,269186
2023-04-17,199308
2023-04-18,230261
2023-04-19,157880
2023-04-20,125648
2023-04-21,446427
2023-04-22,113547
2023-04-23,73452
