index,李沁
2023-01-23,75628
2023-01-24,47490
2023-01-25,41250
2023-01-26,31689
2023-01-27,77848
2023-01-28,55377
2023-01-29,192735
2023-01-30,133484
2023-01-31,89486
2023-02-01,138512
2023-02-02,74568
2023-02-03,56405
2023-02-04,73945
2023-02-05,166804
2023-02-06,153122
2023-02-07,177702
2023-02-08,130176
2023-02-09,111277
2023-02-10,54574
2023-02-11,57298
2023-02-12,59063
2023-02-13,249177
2023-02-14,47055
2023-02-15,45656
2023-02-16,128508
2023-02-17,56970
2023-02-18,51385
2023-02-19,46692
2023-02-20,53069
2023-02-21,114465
2023-02-22,84794
2023-02-23,88926
2023-02-24,204947
2023-02-25,68506
2023-02-26,218083
2023-02-27,57745
2023-02-28,207501
2023-03-01,78386
2023-03-02,405049
2023-03-03,198651
2023-03-04,53902
2023-03-05,60337
2023-03-06,247120
2023-03-07,73870
2023-03-08,115014
2023-03-09,53175
2023-03-10,51966
2023-03-11,98943
2023-03-12,236928
2023-03-13,58623
2023-03-14,66054
2023-03-15,40887
2023-03-16,42358
2023-03-17,55043
2023-03-18,957219
2023-03-19,153664
2023-03-20,703048
2023-03-21,518507
2023-03-22,247977
2023-03-23,166358
2023-03-24,126283
2023-03-25,89748
2023-03-26,170102
2023-03-27,119404
2023-03-28,215043
2023-03-29,353475
2023-03-30,664800
2023-03-31,431237
2023-04-01,592779
2023-04-02,250287
2023-04-03,208989
2023-04-04,343364
2023-04-05,264795
2023-04-06,366775
2023-04-07,455216
2023-04-08,186838
2023-04-09,123700
2023-04-10,332146
2023-04-11,281968
2023-04-12,235924
2023-04-13,323784
2023-04-14,74031
2023-04-15,45847
2023-04-16,43870
2023-04-17,52225
2023-04-18,84813
2023-04-19,71034
2023-04-20,90894
2023-04-21,56361
2023-04-22,40265
2023-04-23,35269
