index,杨紫
2023-01-23,1833896
2023-01-24,1661997
2023-01-25,1375186
2023-01-26,3283133
2023-01-27,1272549
2023-01-28,3967083
2023-01-29,2410838
2023-01-30,2179549
2023-01-31,2802132
2023-02-01,3361246
2023-02-02,1647853
2023-02-03,2261272
2023-02-04,3038064
2023-02-05,3223277
2023-02-06,2999250
2023-02-07,1900558
2023-02-08,1792512
2023-02-09,2738690
2023-02-10,2021090
2023-02-11,1931129
2023-02-12,4051190
2023-02-13,1720948
2023-02-14,5047480
2023-02-15,1995424
2023-02-16,4838923
2023-02-17,2275812
2023-02-18,1944092
2023-02-19,1189592
2023-02-20,4125954
2023-02-21,2868350
2023-02-22,1301967
2023-02-23,2653083
2023-02-24,1486534
2023-02-25,1398885
2023-02-26,1306243
2023-02-27,2245959
2023-02-28,2969811
2023-03-01,3080348
2023-03-02,3212921
2023-03-03,3688478
2023-03-04,2364137
2023-03-05,2031190
2023-03-06,3260617
2023-03-07,2195229
2023-03-08,3130569
2023-03-09,2690995
2023-03-10,1742520
2023-03-11,1848056
2023-03-12,1877143
2023-03-13,8654178
2023-03-14,3491935
2023-03-15,2726788
2023-03-16,3244098
2023-03-17,4006858
2023-03-18,3462294
2023-03-19,3009275
2023-03-20,6967014
2023-03-21,5496927
2023-03-22,12053829
2023-03-23,6079864
2023-03-24,2654754
2023-03-25,8591156
2023-03-26,6339143
2023-03-27,4187146
2023-03-28,4169935
2023-03-29,1550850
2023-03-30,1149656
2023-03-31,2257927
2023-04-01,2282903
2023-04-02,1562044
2023-04-03,1857815
2023-04-04,2908773
2023-04-05,3320983
2023-04-06,1822676
2023-04-07,2200457
2023-04-08,4403178
2023-04-09,3568768
2023-04-10,1493239
2023-04-11,1585321
2023-04-12,3854787
2023-04-13,1963043
2023-04-14,3266035
2023-04-15,1890670
2023-04-16,1243648
2023-04-17,1246445
2023-04-18,1125841
2023-04-19,2854447
2023-04-20,2071021
2023-04-21,3744502
2023-04-22,2481159
2023-04-23,2240875
