index,杨颖
2023-01-23,111430
2023-01-24,95796
2023-01-25,156146
2023-01-26,181136
2023-01-27,94517
2023-01-28,129411
2023-01-29,100748
2023-01-30,150531
2023-01-31,501437
2023-02-01,334934
2023-02-02,650954
2023-02-03,621299
2023-02-04,150383
2023-02-05,235520
2023-02-06,150743
2023-02-07,291779
2023-02-08,767272
2023-02-09,177069
2023-02-10,68072
2023-02-11,89894
2023-02-12,59200
2023-02-13,65557
2023-02-14,98361
2023-02-15,49576
2023-02-16,73386
2023-02-17,54761
2023-02-18,62903
2023-02-19,60598
2023-02-20,230036
2023-02-21,66742
2023-02-22,96331
2023-02-23,26646
2023-02-24,37274
2023-02-25,90877
2023-02-26,117938
2023-02-27,195313
2023-02-28,1282884
2023-03-01,564279
2023-03-02,153260
2023-03-03,189954
2023-03-04,234972
2023-03-05,83313
2023-03-06,108853
2023-03-07,128285
2023-03-08,101684
2023-03-09,170900
2023-03-10,198562
2023-03-11,110167
2023-03-12,73049
2023-03-13,276005
2023-03-14,108438
2023-03-15,341303
2023-03-16,464796
2023-03-17,72796
2023-03-18,181361
2023-03-19,245030
2023-03-20,123081
2023-03-21,210467
2023-03-22,513933
2023-03-23,70082
2023-03-24,169834
2023-03-25,1965312
2023-03-26,802064
2023-03-27,257109
2023-03-28,796770
2023-03-29,216507
2023-03-30,50378
2023-03-31,92470
2023-04-01,254681
2023-04-02,74732
2023-04-03,36981
2023-04-04,50051
2023-04-05,49204
2023-04-06,39298
2023-04-07,40759
2023-04-08,51357
2023-04-09,50823
2023-04-10,325256
2023-04-11,127691
2023-04-12,106943
2023-04-13,239118
2023-04-14,291566
2023-04-15,81655
2023-04-16,94068
2023-04-17,91115
2023-04-18,28379
2023-04-19,46763
2023-04-20,31892
2023-04-21,110951
2023-04-22,62588
2023-04-23,634933
